Mes y año	'Aragón'	Sexo	Nº parados
Septiembre 2019	Aragón	Hombres	25081
Septiembre 2019	Aragón	Mujeres	37782
Agosto 2019	Aragón	Hombres	24501
Agosto 2019	Aragón	Mujeres	36982
Julio 2019	Aragón	Hombres	23869
Julio 2019	Aragón	Mujeres	36585
Junio 2019	Aragón	Hombres	23360
Junio 2019	Aragón	Mujeres	36148
Mayo 2019	Aragón	Hombres	23786
Mayo 2019	Aragón	Mujeres	36945
Abril 2019	Aragón	Hombres	25502
Abril 2019	Aragón	Mujeres	38248
Marzo 2019	Aragón	Hombres	26099
Marzo 2019	Aragón	Mujeres	39313
Febrero 2019	Aragón	Hombres	26888
Febrero 2019	Aragón	Mujeres	40074
Enero 2019	Aragón	Hombres	27845
Enero 2019	Aragón	Mujeres	41214
Diciembre 2018	Aragón	Hombres	27088
Diciembre 2018	Aragón	Mujeres	39091
Noviembre 2018	Aragón	Hombres	26409
Noviembre 2018	Aragón	Mujeres	40075
Octubre 2018	Aragón	Hombres	26212
Octubre 2018	Aragón	Mujeres	39632
Septiembre 2018	Aragón	Hombres	25284
Septiembre 2018	Aragón	Mujeres	38387
Agosto 2018	Aragón	Hombres	24711
Agosto 2018	Aragón	Mujeres	37759
Julio 2018	Aragón	Hombres	23676
Julio 2018	Aragón	Mujeres	37130
Junio 2018	Aragón	Hombres	23598
Junio 2018	Aragón	Mujeres	37446
Mayo 2018	Aragón	Hombres	25266
Mayo 2018	Aragón	Mujeres	38940
Abril 2018	Aragón	Hombres	27456
Abril 2018	Aragón	Mujeres	40658
Marzo 2018	Aragón	Hombres	28384
Marzo 2018	Aragón	Mujeres	41323
Febrero 2018	Aragón	Hombres	28466
Febrero 2018	Aragón	Mujeres	41890
Enero 2018	Aragón	Hombres	29448
Enero 2018	Aragón	Mujeres	42633
Diciembre 2017	Aragón	Hombres	29417
Diciembre 2017	Aragón	Mujeres	41293
Noviembre 2017	Aragón	Hombres	28719
Noviembre 2017	Aragón	Mujeres	42272
Octubre 2017	Aragón	Hombres	29412
Octubre 2017	Aragón	Mujeres	42187
Septiembre 2017	Aragón	Hombres	28069
Septiembre 2017	Aragón	Mujeres	41169
Agosto 2017	Aragón	Hombres	27546
Agosto 2017	Aragón	Mujeres	40465
Julio 2017	Aragón	Hombres	27132
Julio 2017	Aragón	Mujeres	40079
Junio 2017	Aragón	Hombres	26636
Junio 2017	Aragón	Mujeres	39858
Mayo 2017	Aragón	Hombres	27784
Mayo 2017	Aragón	Mujeres	40978
Abril 2017	Aragón	Hombres	30727
Abril 2017	Aragón	Mujeres	42795
Marzo 2017	Aragón	Hombres	32971
Marzo 2017	Aragón	Mujeres	44562
Febrero 2017	Aragón	Hombres	33629
Febrero 2017	Aragón	Mujeres	45464
Enero 2017	Aragón	Hombres	35356
Enero 2017	Aragón	Mujeres	46555
Diciembre 2016	Aragón	Hombres	35148
Diciembre 2016	Aragón	Mujeres	44785
Noviembre 2016	Aragón	Hombres	35216
Noviembre 2016	Aragón	Mujeres	46267
Octubre 2016	Aragón	Hombres	35040
Octubre 2016	Aragón	Mujeres	46015
Septiembre 2016	Aragón	Hombres	34380
Septiembre 2016	Aragón	Mujeres	45743
Agosto 2016	Aragón	Hombres	33301
Agosto 2016	Aragón	Mujeres	44539
Julio 2016	Aragón	Hombres	33195
Julio 2016	Aragón	Mujeres	44575
Junio 2016	Aragón	Hombres	33700
Junio 2016	Aragón	Mujeres	45362
Mayo 2016	Aragón	Hombres	36127
Mayo 2016	Aragón	Mujeres	46959
Abril 2016	Aragón	Hombres	39033
Abril 2016	Aragón	Mujeres	48714
Marzo 2016	Aragón	Hombres	40442
Marzo 2016	Aragón	Mujeres	49199
Febrero 2016	Aragón	Hombres	40643
Febrero 2016	Aragón	Mujeres	50039
Enero 2016	Aragón	Hombres	40915
Enero 2016	Aragón	Mujeres	50430
Diciembre 2015	Aragón	Hombres	40592
Diciembre 2015	Aragón	Mujeres	48692
Noviembre 2015	Aragón	Hombres	40494
Noviembre 2015	Aragón	Mujeres	50625
Octubre 2015	Aragón	Hombres	40956
Octubre 2015	Aragón	Mujeres	50861
Septiembre 2015	Aragón	Hombres	40188
Septiembre 2015	Aragón	Mujeres	50238
Agosto 2015	Aragón	Hombres	40842
Agosto 2015	Aragón	Mujeres	51658
Julio 2015	Aragón	Hombres	40964
Julio 2015	Aragón	Mujeres	50840
Junio 2015	Aragón	Hombres	42037
Junio 2015	Aragón	Mujeres	50792
Mayo 2015	Aragón	Hombres	43487
Mayo 2015	Aragón	Mujeres	52060
Abril 2015	Aragón	Hombres	46504
Abril 2015	Aragón	Mujeres	53134
Marzo 2015	Aragón	Hombres	48267
Marzo 2015	Aragón	Mujeres	54101
Febrero 2015	Aragón	Hombres	48538
Febrero 2015	Aragón	Mujeres	54528
Enero 2015	Aragón	Hombres	48981
Enero 2015	Aragón	Mujeres	54313
Diciembre 2014	Aragón	Hombres	49137
Diciembre 2014	Aragón	Mujeres	52435
Noviembre 2014	Aragón	Hombres	49174
Noviembre 2014	Aragón	Mujeres	54491
Octubre 2014	Aragón	Hombres	50372
Octubre 2014	Aragón	Mujeres	55375
Septiembre 2014	Aragón	Hombres	48993
Septiembre 2014	Aragón	Mujeres	53911
Agosto 2014	Aragón	Hombres	48815
Agosto 2014	Aragón	Mujeres	54217
Julio 2014	Aragón	Hombres	48345
Julio 2014	Aragón	Mujeres	53808
Junio 2014	Aragón	Hombres	47089
Junio 2014	Aragón	Mujeres	51747
Mayo 2014	Aragón	Hombres	48540
Mayo 2014	Aragón	Mujeres	53402
Abril 2014	Aragón	Hombres	51301
Abril 2014	Aragón	Mujeres	54073
Marzo 2014	Aragón	Hombres	53033
Marzo 2014	Aragón	Mujeres	55829
Febrero 2014	Aragón	Hombres	53719
Febrero 2014	Aragón	Mujeres	56055
Enero 2014	Aragón	Hombres	56326
Enero 2014	Aragón	Mujeres	58493
Diciembre 2013	Aragón	Hombres	55206
Diciembre 2013	Aragón	Mujeres	55626
Noviembre 2013	Aragón	Hombres	55646
Noviembre 2013	Aragón	Mujeres	57611
Octubre 2013	Aragón	Hombres	55942
Octubre 2013	Aragón	Mujeres	58098
Septiembre 2013	Aragón	Hombres	54228
Septiembre 2013	Aragón	Mujeres	56040
Agosto 2013	Aragón	Hombres	54052
Agosto 2013	Aragón	Mujeres	56441
Julio 2013	Aragón	Hombres	53982
Julio 2013	Aragón	Mujeres	56280
Junio 2013	Aragón	Hombres	54509
Junio 2013	Aragón	Mujeres	55520
Mayo 2013	Aragón	Hombres	57291
Mayo 2013	Aragón	Mujeres	57472
Abril 2013	Aragón	Hombres	58828
Abril 2013	Aragón	Mujeres	57885
Marzo 2013	Aragón	Hombres	59132
Marzo 2013	Aragón	Mujeres	57723
Febrero 2013	Aragón	Hombres	58660
Febrero 2013	Aragón	Mujeres	57513
Enero 2013	Aragón	Hombres	57837
Enero 2013	Aragón	Mujeres	56868
Diciembre 2012	Aragón	Hombres	56095
Diciembre 2012	Aragón	Mujeres	54426
Noviembre 2012	Aragón	Hombres	55764
Noviembre 2012	Aragón	Mujeres	55672
Octubre 2012	Aragón	Hombres	55535
Octubre 2012	Aragón	Mujeres	55226
Septiembre 2012	Aragón	Hombres	53324
Septiembre 2012	Aragón	Mujeres	53506
Agosto 2012	Aragón	Hombres	52099
Agosto 2012	Aragón	Mujeres	52270
Julio 2012	Aragón	Hombres	52036
Julio 2012	Aragón	Mujeres	51748
Junio 2012	Aragón	Hombres	52339
Junio 2012	Aragón	Mujeres	52520
Mayo 2012	Aragón	Hombres	53805
Mayo 2012	Aragón	Mujeres	54097
Abril 2012	Aragón	Hombres	55196
Abril 2012	Aragón	Mujeres	53666
Marzo 2012	Aragón	Hombres	55703
Marzo 2012	Aragón	Mujeres	53544
Febrero 2012	Aragón	Hombres	54984
Febrero 2012	Aragón	Mujeres	52929
Enero 2012	Aragón	Hombres	53715
Enero 2012	Aragón	Mujeres	52038
Diciembre 2011	Aragón	Hombres	52383
Diciembre 2011	Aragón	Mujeres	49599
Noviembre 2011	Aragón	Hombres	50453
Noviembre 2011	Aragón	Mujeres	49625
Octubre 2011	Aragón	Hombres	49177
Octubre 2011	Aragón	Mujeres	48471
Septiembre 2011	Aragón	Hombres	47461
Septiembre 2011	Aragón	Mujeres	47240
Agosto 2011	Aragón	Hombres	46900
Agosto 2011	Aragón	Mujeres	45815
Julio 2011	Aragón	Hombres	46629
Julio 2011	Aragón	Mujeres	45243
Junio 2011	Aragón	Hombres	46014
Junio 2011	Aragón	Mujeres	45257
Mayo 2011	Aragón	Hombres	46787
Mayo 2011	Aragón	Mujeres	45698
Abril 2011	Aragón	Hombres	50163
Abril 2011	Aragón	Mujeres	47637
Marzo 2011	Aragón	Hombres	50584
Marzo 2011	Aragón	Mujeres	48256
Febrero 2011	Aragón	Hombres	49839
Febrero 2011	Aragón	Mujeres	47444
Enero 2011	Aragón	Hombres	48892
Enero 2011	Aragón	Mujeres	46387
Diciembre 2010	Aragón	Hombres	48419
Diciembre 2010	Aragón	Mujeres	44250
Noviembre 2010	Aragón	Hombres	46790
Noviembre 2010	Aragón	Mujeres	44733
Octubre 2010	Aragón	Hombres	46035
Octubre 2010	Aragón	Mujeres	44064
Septiembre 2010	Aragón	Hombres	45296
Septiembre 2010	Aragón	Mujeres	42798
Agosto 2010	Aragón	Hombres	46026
Agosto 2010	Aragón	Mujeres	42877
Julio 2010	Aragón	Hombres	46019
Julio 2010	Aragón	Mujeres	42421
Junio 2010	Aragón	Hombres	47156
Junio 2010	Aragón	Mujeres	43338
Mayo 2010	Aragón	Hombres	48983
Mayo 2010	Aragón	Mujeres	44431
Abril 2010	Aragón	Hombres	50979
Abril 2010	Aragón	Mujeres	45103
Marzo 2010	Aragón	Hombres	51035
Marzo 2010	Aragón	Mujeres	44798
Febrero 2010	Aragón	Hombres	49632
Febrero 2010	Aragón	Mujeres	43773
Enero 2010	Aragón	Hombres	48734
Enero 2010	Aragón	Mujeres	42538
Diciembre 2009	Aragón	Hombres	47407
Diciembre 2009	Aragón	Mujeres	40216
Noviembre 2009	Aragón	Hombres	44998
Noviembre 2009	Aragón	Mujeres	40198
Octubre 2009	Aragón	Hombres	44186
Octubre 2009	Aragón	Mujeres	39534
Septiembre 2009	Aragón	Hombres	43001
Septiembre 2009	Aragón	Mujeres	38445
Agosto 2009	Aragón	Hombres	42879
Agosto 2009	Aragón	Mujeres	37851
Julio 2009	Aragón	Hombres	42328
Julio 2009	Aragón	Mujeres	36842
Junio 2009	Aragón	Hombres	42534
Junio 2009	Aragón	Mujeres	36926
Mayo 2009	Aragón	Hombres	43576
Mayo 2009	Aragón	Mujeres	37758
Abril 2009	Aragón	Hombres	44202
Abril 2009	Aragón	Mujeres	37704
Marzo 2009	Aragón	Hombres	42873
Marzo 2009	Aragón	Mujeres	37050
Febrero 2009	Aragón	Hombres	41337
Febrero 2009	Aragón	Mujeres	35649
Enero 2009	Aragón	Hombres	39430
Enero 2009	Aragón	Mujeres	33861
Diciembre 2008	Aragón	Hombres	36631
Diciembre 2008	Aragón	Mujeres	30635
