Año	CCAA código	CCAA nombre	Superficie regada (has)	Superficie Agrícola Utilizada (SAU)	% superficie regada sobre SAU
1989	02	Aragón	322591,73	2460183	13,1125095165685
1999	02	Aragón	377685,19	2462700,86	15,336218707456
