Municipio código	Municipio nombre	Estado civil	Personas residentes viviendas familiares
22001	Abiego	Solteros/as	79
22001	Abiego	Casados/as	130
22001	Abiego	Viudos/as	44
22001	Abiego	Divorciados/as	1
22002	Abizanda	Solteros/as	50
22002	Abizanda	Casados/as	51
22002	Abizanda	Viudos/as	18
22002	Abizanda	Divorciados/as	1
22003	Adahuesca	Solteros/as	51
22003	Adahuesca	Casados/as	75
22003	Adahuesca	Viudos/as	17
22003	Adahuesca	Separados/as	1
22004	Agüero	Solteros/as	45
22004	Agüero	Casados/as	77
22004	Agüero	Viudos/as	21
22004	Agüero	Separados/as	1
22006	Aísa	Solteros/as	148
22006	Aísa	Casados/as	182
22006	Aísa	Viudos/as	21
22006	Aísa	Separados/as	7
22006	Aísa	Divorciados/as	5
22007	Albalate de Cinca	Solteros/as	322
22007	Albalate de Cinca	Casados/as	639
22007	Albalate de Cinca	Viudos/as	82
22007	Albalate de Cinca	Separados/as	10
22007	Albalate de Cinca	Divorciados/as	13
22008	Albalatillo	Solteros/as	60
22008	Albalatillo	Casados/as	146
22008	Albalatillo	Viudos/as	34
22008	Albalatillo	Separados/as	3
22009	Albelda	Solteros/as	219
22009	Albelda	Casados/as	468
22009	Albelda	Viudos/as	107
22009	Albelda	Separados/as	2
22009	Albelda	Divorciados/as	3
22011	Albero Alto	Solteros/as	33
22011	Albero Alto	Casados/as	46
22011	Albero Alto	Viudos/as	13
22012	Albero Bajo	Solteros/as	35
22012	Albero Bajo	Casados/as	47
22012	Albero Bajo	Viudos/as	11
22012	Albero Bajo	Separados/as	7
22012	Albero Bajo	Divorciados/as	2
22013	Alberuela de Tubo	Solteros/as	94
22013	Alberuela de Tubo	Casados/as	187
22013	Alberuela de Tubo	Viudos/as	35
22013	Alberuela de Tubo	Separados/as	3
22013	Alberuela de Tubo	Divorciados/as	1
22014	Alcalá de Gurrea	Solteros/as	86
22014	Alcalá de Gurrea	Casados/as	169
22014	Alcalá de Gurrea	Viudos/as	38
22014	Alcalá de Gurrea	Separados/as	3
22014	Alcalá de Gurrea	Divorciados/as	2
22015	Alcalá del Obispo	Solteros/as	95
22015	Alcalá del Obispo	Casados/as	195
22015	Alcalá del Obispo	Viudos/as	48
22015	Alcalá del Obispo	Separados/as	7
22015	Alcalá del Obispo	Divorciados/as	2
22016	Alcampell	Solteros/as	196
22016	Alcampell	Casados/as	477
22016	Alcampell	Viudos/as	130
22016	Alcampell	Separados/as	6
22016	Alcampell	Divorciados/as	3
22017	Alcolea de Cinca	Solteros/as	310
22017	Alcolea de Cinca	Casados/as	660
22017	Alcolea de Cinca	Viudos/as	96
22017	Alcolea de Cinca	Separados/as	8
22018	Alcubierre	Solteros/as	124
22018	Alcubierre	Casados/as	232
22018	Alcubierre	Viudos/as	49
22018	Alcubierre	Separados/as	5
22018	Alcubierre	Divorciados/as	2
22019	Alerre	Solteros/as	66
22019	Alerre	Casados/as	91
22019	Alerre	Viudos/as	11
22019	Alerre	Separados/as	3
22019	Alerre	Divorciados/as	5
22020	Alfántega	Solteros/as	32
22020	Alfántega	Casados/as	58
22020	Alfántega	Viudos/as	13
22021	Almudévar	Solteros/as	627
22021	Almudévar	Casados/as	1144
22021	Almudévar	Viudos/as	215
22021	Almudévar	Separados/as	22
22021	Almudévar	Divorciados/as	7
22022	Almunia de San Juan	Solteros/as	179
22022	Almunia de San Juan	Casados/as	343
22022	Almunia de San Juan	Viudos/as	80
22022	Almunia de San Juan	Separados/as	3
22022	Almunia de San Juan	Divorciados/as	4
22023	Almuniente	Solteros/as	188
22023	Almuniente	Casados/as	291
22023	Almuniente	Viudos/as	52
22023	Almuniente	Divorciados/as	3
22024	Alquézar	Solteros/as	97
22024	Alquézar	Casados/as	139
22024	Alquézar	Viudos/as	30
22025	Altorricón	Solteros/as	404
22025	Altorricón	Casados/as	706
22025	Altorricón	Viudos/as	136
22025	Altorricón	Separados/as	8
22025	Altorricón	Divorciados/as	13
22027	Angüés	Solteros/as	107
22027	Angüés	Casados/as	225
22027	Angüés	Viudos/as	42
22027	Angüés	Separados/as	4
22028	Ansó	Solteros/as	191
22028	Ansó	Casados/as	200
22028	Ansó	Viudos/as	43
22028	Ansó	Separados/as	7
22028	Ansó	Divorciados/as	2
22029	Antillón	Solteros/as	42
22029	Antillón	Casados/as	81
22029	Antillón	Viudos/as	23
22029	Antillón	Separados/as	1
22032	Aragüés del Puerto	Solteros/as	54
22032	Aragüés del Puerto	Casados/as	65
22032	Aragüés del Puerto	Viudos/as	13
22032	Aragüés del Puerto	Separados/as	3
22032	Aragüés del Puerto	Divorciados/as	6
22035	Arén	Solteros/as	111
22035	Arén	Casados/as	160
22035	Arén	Viudos/as	48
22035	Arén	Separados/as	4
22036	Argavieso	Solteros/as	28
22036	Argavieso	Casados/as	63
22036	Argavieso	Viudos/as	18
22036	Argavieso	Divorciados/as	1
22037	Arguis	Solteros/as	17
22037	Arguis	Casados/as	40
22037	Arguis	Viudos/as	4
22037	Arguis	Separados/as	1
22037	Arguis	Divorciados/as	2
