Municipio codigo	Municipio nombre	Grado, código	Grado	Sexo, código	Sexo	Personas
22001	Abiego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	23,4952528573
22001	Abiego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	82,741828287
22001	Abiego	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	21,3454703393
22001	Abiego	2	Analfabetos o sin estudios	1	Hombre	5,4174485166
22002	Abizanda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5,9864674658
22002	Abizanda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	41,6137514591
22002	Abizanda	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,8967700535
22002	Abizanda	2	Analfabetos o sin estudios	1	Hombre	2,9131195148
22003	Adahuesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	17,9748732275
22003	Adahuesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	43,3000043854
22003	Adahuesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	7,6422882866
22003	Adahuesca	2	Analfabetos o sin estudios	1	Hombre	6,024659278
22004	Agüero	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	23,1844613909
22004	Agüero	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	37,0323591629
22004	Agüero	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	6,8174489694
22004	Agüero	2	Analfabetos o sin estudios	1	Hombre	9,49632925
22006	Aísa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	35,80311237
22006	Aísa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	131,6208593585
22006	Aísa	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	18,0431769465
22006	Aísa	2	Analfabetos o sin estudios	1	Hombre	6,0816698269
22007	Albalate de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	84,6569340479
22007	Albalate de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	436,9887683938
22007	Albalate de Cinca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	24,1019489165
22007	Albalate de Cinca	2	Analfabetos o sin estudios	1	Hombre	40,0081747422
22008	Albalatillo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	25,1658388773
22008	Albalatillo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	61,7277874468
22008	Albalatillo	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5,0785624402
