Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Sexo	Personas
02	Aragón	2009	1	Europa	01	UE-27	102	Austria	Hombre	29
02	Aragón	2009	1	Europa	01	UE-27	102	Austria	Mujer	47
02	Aragón	2009	1	Europa	01	UE-27	103	Bélgica	Hombre	291
02	Aragón	2009	1	Europa	01	UE-27	103	Bélgica	Mujer	278
02	Aragón	2009	1	Europa	01	UE-27	104	Bulgaria	Hombre	3
02	Aragón	2009	1	Europa	01	UE-27	104	Bulgaria	Mujer	4
02	Aragón	2009	1	Europa	01	UE-27	106	Chipre	Hombre	3
02	Aragón	2009	1	Europa	01	UE-27	106	Chipre	Mujer	4
02	Aragón	2009	1	Europa	01	UE-27	107	Dinamarca	Hombre	14
02	Aragón	2009	1	Europa	01	UE-27	107	Dinamarca	Mujer	25
02	Aragón	2009	1	Europa	01	UE-27	109	Finlandia	Hombre	25
02	Aragón	2009	1	Europa	01	UE-27	109	Finlandia	Mujer	19
02	Aragón	2009	1	Europa	01	UE-27	110	Francia	Hombre	2922
02	Aragón	2009	1	Europa	01	UE-27	110	Francia	Mujer	2947
02	Aragón	2009	1	Europa	01	UE-27	111	Grecia	Hombre	16
02	Aragón	2009	1	Europa	01	UE-27	111	Grecia	Mujer	30
02	Aragón	2009	1	Europa	01	UE-27	112	Hungría	Hombre	11
02	Aragón	2009	1	Europa	01	UE-27	112	Hungría	Mujer	6
02	Aragón	2009	1	Europa	01	UE-27	113	Irlanda	Hombre	47
02	Aragón	2009	1	Europa	01	UE-27	113	Irlanda	Mujer	58
02	Aragón	2009	1	Europa	01	UE-27	115	Italia	Hombre	98
02	Aragón	2009	1	Europa	01	UE-27	115	Italia	Mujer	253
02	Aragón	2009	1	Europa	01	UE-27	117	Luxemburgo	Hombre	30
02	Aragón	2009	1	Europa	01	UE-27	117	Luxemburgo	Mujer	46
02	Aragón	2009	1	Europa	01	UE-27	118	Malta	Hombre	1
02	Aragón	2009	1	Europa	01	UE-27	121	Países Bajos	Hombre	111
02	Aragón	2009	1	Europa	01	UE-27	121	Países Bajos	Mujer	164
02	Aragón	2009	1	Europa	01	UE-27	122	Polonia	Hombre	13
02	Aragón	2009	1	Europa	01	UE-27	122	Polonia	Mujer	11
02	Aragón	2009	1	Europa	01	UE-27	123	Portugal	Hombre	63
02	Aragón	2009	1	Europa	01	UE-27	123	Portugal	Mujer	73
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Hombre	474
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Mujer	574
02	Aragón	2009	1	Europa	01	UE-27	126	Alemania	Hombre	839
02	Aragón	2009	1	Europa	01	UE-27	126	Alemania	Mujer	906
02	Aragón	2009	1	Europa	01	UE-27	128	Rumanía	Hombre	8
02	Aragón	2009	1	Europa	01	UE-27	128	Rumanía	Mujer	4
02	Aragón	2009	1	Europa	01	UE-27	131	Suecia	Hombre	49
02	Aragón	2009	1	Europa	01	UE-27	131	Suecia	Mujer	41
02	Aragón	2009	1	Europa	01	UE-27	136	Letonia	Mujer	1
02	Aragón	2009	1	Europa	01	UE-27	141	Estonia	Hombre	1
02	Aragón	2009	1	Europa	01	UE-27	141	Estonia	Mujer	1
02	Aragón	2009	1	Europa	01	UE-27	142	Lituania	Hombre	3
02	Aragón	2009	1	Europa	01	UE-27	143	República Checa	Hombre	8
02	Aragón	2009	1	Europa	01	UE-27	143	República Checa	Mujer	7
02	Aragón	2009	1	Europa	01	UE-27	144	Eslovaquia	Hombre	2
02	Aragón	2009	1	Europa	01	UE-27	144	Eslovaquia	Mujer	1
02	Aragón	2009	1	Europa	01	UE-27	147	Eslovenia	Hombre	2
02	Aragón	2009	1	Europa	01	UE-27	147	Eslovenia	Mujer	2
02	Aragón	2009	1	Europa	02	Resto de Europa	114	Islandia	Mujer	1
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Hombre	10
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Mujer	14
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Hombre	342
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Mujer	351
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Hombre	365
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Mujer	473
02	Aragón	2009	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	2
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	5
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	2
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Hombre	2
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Mujer	1
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Hombre	11
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Mujer	14
02	Aragón	2009	1	Europa	02	Resto de Europa	156	Macedonia	Mujer	1
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Hombre	4
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Mujer	2
