Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22025	Altorricón	2017	Secano	471	31	18	3	10	27	0	1	26	29	2	0	27	384	0	194	164	26
22027	Angüés	2017	Regadío	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22027	Angüés	2017	Secano	5628	3386	2882	403	101	614	0	10	604	1251	41	964	246	377	0	45	254	78
22028	Ansó	2017	Regadío	11	11	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22028	Ansó	2017	Secano	21269	59	11	48	0	192	192	0	0	17031	11400	1356	4275	3987	0	3645	130	212
22029	Antillón	2017	Regadío	8	8	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
22029	Antillón	2017	Secano	2227	1720	1512	69	139	229	0	3	226	218	40	71	107	60	0	11	37	12
22032	Aragüés del Puerto	2017	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22032	Aragüés del Puerto	2017	Secano	6441	124	26	95	3	115	115	0	0	5710	3189	954	1567	492	0	356	52	84
22035	Arén	2017	Regadío	82	82	63	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22035	Arén	2017	Secano	11830	1319	1098	207	14	363	363	0	0	9659	3634	1661	4364	489	0	143	166	180
22036	Argavieso	2017	Regadío	274	271	260	11	0	0	0	0	0	3	3	0	0	0	0	0	0	0
22036	Argavieso	2017	Secano	687	444	414	25	5	24	0	0	24	183	11	95	77	36	0	2	23	11
22037	Arguis	2017	Regadío	15	15	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
