Provincia código	Provincia nombre	Calefacción (agregado)	Calefacción (detalle)	Combustible usado	Número hogares
22	Huesca	Con calefacción	Con calefacción colectiva	Gas	1362
22	Huesca	Con calefacción	Con calefacción colectiva	Electricidad	299
22	Huesca	Con calefacción	Con calefacción colectiva	Derivados del petróleo	9406
22	Huesca	Con calefacción	Con calefacción colectiva	Madera	107
22	Huesca	Con calefacción	Con calefacción colectiva	Derivados del carbón	6
22	Huesca	Con calefacción	Con calefacción colectiva	Otros	50
22	Huesca	Con calefacción	Con calefacción individual	Gas	19629
22	Huesca	Con calefacción	Con calefacción individual	Electricidad	3802
22	Huesca	Con calefacción	Con calefacción individual	Derivados del petróleo	19721
22	Huesca	Con calefacción	Con calefacción individual	Madera	1786
22	Huesca	Con calefacción	Con calefacción individual	Derivados del carbón	97
22	Huesca	Con calefacción	Con calefacción individual	Otros	96
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	3088
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	5105
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	1239
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	4287
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	24
22	Huesca	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	75
22	Huesca	Sin calefacción	Sin ningún medio	 No aplicable	3607
44	Teruel	Con calefacción	Con calefacción colectiva	Gas	736
44	Teruel	Con calefacción	Con calefacción colectiva	Electricidad	163
44	Teruel	Con calefacción	Con calefacción colectiva	Derivados del petróleo	3770
44	Teruel	Con calefacción	Con calefacción colectiva	Madera	72
44	Teruel	Con calefacción	Con calefacción colectiva	Derivados del carbón	37
44	Teruel	Con calefacción	Con calefacción colectiva	Otros	15
44	Teruel	Con calefacción	Con calefacción individual	Gas	4244
44	Teruel	Con calefacción	Con calefacción individual	Electricidad	3888
44	Teruel	Con calefacción	Con calefacción individual	Derivados del petróleo	16195
44	Teruel	Con calefacción	Con calefacción individual	Madera	1794
44	Teruel	Con calefacción	Con calefacción individual	Derivados del carbón	671
44	Teruel	Con calefacción	Con calefacción individual	Otros	361
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	1668
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	4066
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	626
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	10365
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	263
44	Teruel	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	266
44	Teruel	Sin calefacción	Sin ningún medio	 No aplicable	1870
50	Zaragoza	Con calefacción	Con calefacción colectiva	Gas	19751
50	Zaragoza	Con calefacción	Con calefacción colectiva	Electricidad	2214
50	Zaragoza	Con calefacción	Con calefacción colectiva	Derivados del petróleo	60364
50	Zaragoza	Con calefacción	Con calefacción colectiva	Madera	370
50	Zaragoza	Con calefacción	Con calefacción colectiva	Derivados del carbón	9891
50	Zaragoza	Con calefacción	Con calefacción colectiva	Otros	785
50	Zaragoza	Con calefacción	Con calefacción individual	Gas	91124
50	Zaragoza	Con calefacción	Con calefacción individual	Electricidad	20292
50	Zaragoza	Con calefacción	Con calefacción individual	Derivados del petróleo	39761
50	Zaragoza	Con calefacción	Con calefacción individual	Madera	3256
50	Zaragoza	Con calefacción	Con calefacción individual	Derivados del carbón	776
50	Zaragoza	Con calefacción	Con calefacción individual	Otros	461
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Gas	12893
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Electricidad	31681
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del petróleo	4120
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Madera	8337
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Derivados del carbón	501
50	Zaragoza	Sin calefacción	Sin instalación pero con aparatos que permiten calentar alguna habitación	Otros	342
50	Zaragoza	Sin calefacción	Sin ningún medio	 No aplicable	11468
