Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2008	50	Zaragoza	756	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	50	Zaragoza	722	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2006	50	Zaragoza	684	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2008	50	Zaragoza	673	85	Actividades sanitarias y veterinarias, servicio social
2005	50	Zaragoza	671	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	50	Zaragoza	656	85	Actividades sanitarias y veterinarias, servicio social
2004	50	Zaragoza	607	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2003	50	Zaragoza	602	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2005	50	Zaragoza	582	85	Actividades sanitarias y veterinarias, servicio social
2006	50	Zaragoza	548	85	Actividades sanitarias y veterinarias, servicio social
2008	50	Zaragoza	547	55	Hostelería
2004	50	Zaragoza	527	85	Actividades sanitarias y veterinarias, servicio social
2007	50	Zaragoza	462	55	Hostelería
2003	50	Zaragoza	430	85	Actividades sanitarias y veterinarias, servicio social
2006	50	Zaragoza	414	55	Hostelería
2005	50	Zaragoza	391	55	Hostelería
2003	50	Zaragoza	389	55	Hostelería
2003	50	Zaragoza	383	74	Otras actividades empresariales
2008	50	Zaragoza	381	74	Otras actividades empresariales
2004	50	Zaragoza	370	55	Hostelería
2007	50	Zaragoza	317	74	Otras actividades empresariales
2004	50	Zaragoza	289	74	Otras actividades empresariales
2006	50	Zaragoza	277	74	Otras actividades empresariales
2005	50	Zaragoza	270	74	Otras actividades empresariales
2005	50	Zaragoza	261	75	Administración pública, defensa y seguridad social obligatoria
2006	50	Zaragoza	250	75	Administración pública, defensa y seguridad social obligatoria
2007	50	Zaragoza	237	25	Fabricacion de productos de caucho y materias plasticas
2006	50	Zaragoza	213	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2006	50	Zaragoza	212	25	Fabricacion de productos de caucho y materias plasticas
2005	50	Zaragoza	208	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	50	Zaragoza	206	75	Administración pública, defensa y seguridad social obligatoria
2008	50	Zaragoza	199	25	Fabricacion de productos de caucho y materias plasticas
2008	50	Zaragoza	196	75	Administración pública, defensa y seguridad social obligatoria
2004	50	Zaragoza	193	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	50	Zaragoza	192	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2007	50	Zaragoza	190	15	Industria de productos alimenticios y bebidas
2006	50	Zaragoza	190	15	Industria de productos alimenticios y bebidas
2004	50	Zaragoza	188	34	Fabricación de vehículos de motor, remolques y semirremolques
2004	50	Zaragoza	185	75	Administración pública, defensa y seguridad social obligatoria
2003	50	Zaragoza	184	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	50	Zaragoza	183	34	Fabricación de vehículos de motor, remolques y semirremolques
2003	50	Zaragoza	182	75	Administración pública, defensa y seguridad social obligatoria
2008	50	Zaragoza	179	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2008	50	Zaragoza	162	15	Industria de productos alimenticios y bebidas
2005	50	Zaragoza	162	15	Industria de productos alimenticios y bebidas
2003	50	Zaragoza	161	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2003	50	Zaragoza	159	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	156	55	Hostelería
2005	50	Zaragoza	150	25	Fabricacion de productos de caucho y materias plasticas
2006	50	Zaragoza	149	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	22	Huesca	139	85	Actividades sanitarias y veterinarias, servicio social
2008	50	Zaragoza	138	34	Fabricación de vehículos de motor, remolques y semirremolques
2007	22	Huesca	137	55	Hostelería
2008	22	Huesca	134	85	Actividades sanitarias y veterinarias, servicio social
2004	50	Zaragoza	134	15	Industria de productos alimenticios y bebidas
2007	50	Zaragoza	133	31	Fabricación de maquinaria y material eléctrico
2005	50	Zaragoza	133	34	Fabricación de vehículos de motor, remolques y semirremolques
2004	50	Zaragoza	127	25	Fabricacion de productos de caucho y materias plasticas
2005	50	Zaragoza	125	31	Fabricación de maquinaria y material eléctrico
2004	50	Zaragoza	124	31	Fabricación de maquinaria y material eléctrico
2003	50	Zaragoza	123	25	Fabricacion de productos de caucho y materias plasticas
2006	22	Huesca	122	55	Hostelería
2008	22	Huesca	112	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	22	Huesca	110	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2006	50	Zaragoza	108	31	Fabricación de maquinaria y material eléctrico
2003	22	Huesca	106	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2005	22	Huesca	101	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2005	22	Huesca	101	55	Hostelería
2006	22	Huesca	97	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2003	50	Zaragoza	93	31	Fabricación de maquinaria y material eléctrico
2008	50	Zaragoza	92	80	Educación
2003	22	Huesca	92	55	Hostelería
2006	22	Huesca	88	85	Actividades sanitarias y veterinarias, servicio social
2008	44	Teruel	81	85	Actividades sanitarias y veterinarias, servicio social
2004	22	Huesca	81	55	Hostelería
2005	22	Huesca	80	85	Actividades sanitarias y veterinarias, servicio social
2004	22	Huesca	79	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2004	22	Huesca	74	85	Actividades sanitarias y veterinarias, servicio social
2006	22	Huesca	66	15	Industria de productos alimenticios y bebidas
2008	22	Huesca	61	75	Administración pública, defensa y seguridad social obligatoria
2005	22	Huesca	58	75	Administración pública, defensa y seguridad social obligatoria
2007	22	Huesca	57	75	Administración pública, defensa y seguridad social obligatoria
2008	44	Teruel	55	55	Hostelería
2007	44	Teruel	55	15	Industria de productos alimenticios y bebidas
2003	22	Huesca	55	85	Actividades sanitarias y veterinarias, servicio social
2006	22	Huesca	54	75	Administración pública, defensa y seguridad social obligatoria
2007	44	Teruel	52	55	Hostelería
2008	44	Teruel	51	15	Industria de productos alimenticios y bebidas
2005	44	Teruel	51	55	Hostelería
2006	44	Teruel	49	55	Hostelería
2003	44	Teruel	48	75	Administración pública, defensa y seguridad social obligatoria
2007	44	Teruel	47	85	Actividades sanitarias y veterinarias, servicio social
2006	44	Teruel	47	75	Administración pública, defensa y seguridad social obligatoria
2005	44	Teruel	47	15	Industria de productos alimenticios y bebidas
2004	22	Huesca	47	75	Administración pública, defensa y seguridad social obligatoria
2003	22	Huesca	45	74	Otras actividades empresariales
2008	44	Teruel	44	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2007	22	Huesca	43	15	Industria de productos alimenticios y bebidas
2006	44	Teruel	43	85	Actividades sanitarias y veterinarias, servicio social
2005	44	Teruel	43	75	Administración pública, defensa y seguridad social obligatoria
2008	22	Huesca	42	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2008	44	Teruel	42	75	Administración pública, defensa y seguridad social obligatoria
2007	44	Teruel	42	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2003	22	Huesca	41	75	Administración pública, defensa y seguridad social obligatoria
2005	44	Teruel	39	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2004	22	Huesca	39	74	Otras actividades empresariales
2003	44	Teruel	39	55	Hostelería
2006	44	Teruel	38	15	Industria de productos alimenticios y bebidas
2004	44	Teruel	38	15	Industria de productos alimenticios y bebidas
