Provincia codigo	Provincia nombre	Estado del edificio	Estado del edificio, código	Nº edificios
22	Huesca	Bueno	4	58391
22	Huesca	Deficiente	3	5729
22	Huesca	Malo	2	1383
22	Huesca	Ruinoso	1	374
44	Teruel	Bueno	4	65091
44	Teruel	Deficiente	3	7057
44	Teruel	Malo	2	1781
44	Teruel	Ruinoso	1	534
50	Zaragoza	Bueno	4	141872
50	Zaragoza	Deficiente	3	12555
50	Zaragoza	Malo	2	3050
50	Zaragoza	Ruinoso	1	1225
