Mes y año	Dirección provincial (código)	Dirección provincial nombre	Número Empresas	Estrato
Septiembre 2012	44	Teruel	12	05 De 100 a 199 afiliados
Septiembre 2012	44	Teruel	11	06 De 200 a 499 afiliados
Septiembre 2012	44	Teruel	1	08 De 1000 a 4999 afiliados
Septiembre 2012	50	Zaragoza	25119	01 De 1 a 9 afiliados
Septiembre 2012	50	Zaragoza	2136	02 De 10 a 19 afiliados
Septiembre 2012	50	Zaragoza	1358	03 De 20 a 49 afiliados
Septiembre 2012	50	Zaragoza	428	04 De 50 a 99 afiliados
Septiembre 2012	50	Zaragoza	183	05 De 100 a 199 afiliados
Septiembre 2012	50	Zaragoza	120	06 De 200 a 499 afiliados
Septiembre 2012	50	Zaragoza	37	07 De 500 a 999 afiliados
Septiembre 2012	50	Zaragoza	13	08 De 1000 a 4999 afiliados
Septiembre 2012	50	Zaragoza	4	09 De 5000 o más afiliados
Junio 2012	22	Huesca	8757	01 De 1 a 9 afiliados
Junio 2012	44	Teruel	4832	01 De 1 a 9 afiliados
Junio 2012	44	Teruel	2	02 De 10 a 19 afiliados
Junio 2012	44	Teruel	2	03 De 20 a 49 afiliados
Junio 2012	44	Teruel	1	04 De 50 a 99 afiliados
Junio 2012	44	Teruel	1	06 De 200 a 499 afiliados
Junio 2012	50	Zaragoza	29890	01 De 1 a 9 afiliados
Junio 2012	50	Zaragoza	1	03 De 20 a 49 afiliados
Marzo 2012	22	Huesca	8398	01 De 1 a 9 afiliados
Marzo 2012	44	Teruel	4737	01 De 1 a 9 afiliados
Marzo 2012	50	Zaragoza	29442	01 De 1 a 9 afiliados
Diciembre 2011	22	Huesca	6735	01 De 1 a 9 afiliados
Diciembre 2011	22	Huesca	549	02 De 10 a 19 afiliados
Diciembre 2011	22	Huesca	281	03 De 20 a 49 afiliados
Diciembre 2011	22	Huesca	83	04 De 50 a 99 afiliados
Diciembre 2011	22	Huesca	21	05 De 100 a 199 afiliados
Diciembre 2011	22	Huesca	13	06 De 200 a 499 afiliados
Diciembre 2011	44	Teruel	3976	01 De 1 a 9 afiliados
Diciembre 2011	44	Teruel	270	02 De 10 a 19 afiliados
Diciembre 2011	44	Teruel	161	03 De 20 a 49 afiliados
Diciembre 2011	44	Teruel	34	04 De 50 a 99 afiliados
Diciembre 2011	44	Teruel	11	05 De 100 a 199 afiliados
Diciembre 2011	44	Teruel	10	06 De 200 a 499 afiliados
Diciembre 2011	44	Teruel	1	08 De 1000 a 4999 afiliados
Diciembre 2011	50	Zaragoza	24381	01 De 1 a 9 afiliados
Diciembre 2011	50	Zaragoza	2138	02 De 10 a 19 afiliados
Diciembre 2011	50	Zaragoza	1366	03 De 20 a 49 afiliados
Diciembre 2011	50	Zaragoza	428	04 De 50 a 99 afiliados
Diciembre 2011	50	Zaragoza	185	05 De 100 a 199 afiliados
Diciembre 2011	50	Zaragoza	113	06 De 200 a 499 afiliados
Diciembre 2011	50	Zaragoza	40	07 De 500 a 999 afiliados
Diciembre 2011	50	Zaragoza	13	08 De 1000 a 4999 afiliados
Diciembre 2011	50	Zaragoza	4	09 De 5000 o más afiliados
Septiembre 2011	22	Huesca	7697	01 De 1 a 9 afiliados
Septiembre 2011	44	Teruel	4498	01 De 1 a 9 afiliados
Septiembre 2011	44	Teruel	2	02 De 10 a 19 afiliados
Septiembre 2011	44	Teruel	1	03 De 20 a 49 afiliados
Septiembre 2011	44	Teruel	1	04 De 50 a 99 afiliados
Septiembre 2011	50	Zaragoza	28882	01 De 1 a 9 afiliados
Septiembre 2011	50	Zaragoza	1	03 De 20 a 49 afiliados
Junio 2011	22	Huesca	8338	01 De 1 a 9 afiliados
Junio 2011	44	Teruel	4912	01 De 1 a 9 afiliados
Junio 2011	50	Zaragoza	32854	01 De 1 a 9 afiliados
Marzo 2011	22	Huesca	8270	01 De 1 a 9 afiliados
Marzo 2011	44	Teruel	4846	01 De 1 a 9 afiliados
Marzo 2011	50	Zaragoza	32855	01 De 1 a 9 afiliados
Diciembre 2010	22	Huesca	7395	01 De 1 a 9 afiliados
Diciembre 2010	22	Huesca	570	02 De 10 a 19 afiliados
Diciembre 2010	22	Huesca	307	03 De 20 a 49 afiliados
Diciembre 2010	22	Huesca	78	04 De 50 a 99 afiliados
Diciembre 2010	22	Huesca	24	05 De 100 a 199 afiliados
Diciembre 2010	22	Huesca	15	06 De 200 a 499 afiliados
Diciembre 2010	22	Huesca	2	07 De 500 a 999 afiliados
Diciembre 2010	44	Teruel	4393	01 De 1 a 9 afiliados
Diciembre 2010	44	Teruel	288	02 De 10 a 19 afiliados
Diciembre 2010	44	Teruel	163	03 De 20 a 49 afiliados
Diciembre 2010	44	Teruel	44	04 De 50 a 99 afiliados
Diciembre 2010	44	Teruel	10	05 De 100 a 199 afiliados
Diciembre 2010	44	Teruel	12	06 De 200 a 499 afiliados
Diciembre 2010	44	Teruel	1	08 De 1000 a 4999 afiliados
Diciembre 2010	50	Zaragoza	28363	01 De 1 a 9 afiliados
Diciembre 2010	50	Zaragoza	2257	02 De 10 a 19 afiliados
Diciembre 2010	50	Zaragoza	1438	03 De 20 a 49 afiliados
Diciembre 2010	50	Zaragoza	458	04 De 50 a 99 afiliados
Diciembre 2010	50	Zaragoza	199	05 De 100 a 199 afiliados
Diciembre 2010	50	Zaragoza	110	06 De 200 a 499 afiliados
Diciembre 2010	50	Zaragoza	38	07 De 500 a 999 afiliados
Diciembre 2010	50	Zaragoza	13	08 De 1000 a 4999 afiliados
Diciembre 2010	50	Zaragoza	4	09 De 5000 o más afiliados
Septiembre 2010	22	Huesca	8395	01 De 1 a 9 afiliados
Septiembre 2010	44	Teruel	4968	01 De 1 a 9 afiliados
Septiembre 2010	50	Zaragoza	32932	01 De 1 a 9 afiliados
Junio 2010	22	Huesca	7491	01 De 1 a 9 afiliados
Junio 2010	22	Huesca	598	02 De 10 a 19 afiliados
Junio 2010	22	Huesca	336	03 De 20 a 49 afiliados
Junio 2010	22	Huesca	77	04 De 50 a 99 afiliados
Junio 2010	22	Huesca	27	05 De 100 a 199 afiliados
Junio 2010	22	Huesca	13	06 De 200 a 499 afiliados
Junio 2010	22	Huesca	1	07 De 500 a 999 afiliados
Junio 2010	44	Teruel	4490	01 De 1 a 9 afiliados
Junio 2010	44	Teruel	288	02 De 10 a 19 afiliados
Junio 2010	44	Teruel	178	03 De 20 a 49 afiliados
Junio 2010	44	Teruel	38	04 De 50 a 99 afiliados
Junio 2010	44	Teruel	10	05 De 100 a 199 afiliados
Junio 2010	44	Teruel	12	06 De 200 a 499 afiliados
Junio 2010	44	Teruel	1	08 De 1000 a 4999 afiliados
Junio 2010	50	Zaragoza	28615	01 De 1 a 9 afiliados
Junio 2010	50	Zaragoza	2364	02 De 10 a 19 afiliados
Junio 2010	50	Zaragoza	1460	03 De 20 a 49 afiliados
Junio 2010	50	Zaragoza	450	04 De 50 a 99 afiliados
Junio 2010	50	Zaragoza	194	05 De 100 a 199 afiliados
Junio 2010	50	Zaragoza	112	06 De 200 a 499 afiliados
Junio 2010	50	Zaragoza	33	07 De 500 a 999 afiliados
Junio 2010	50	Zaragoza	16	08 De 1000 a 4999 afiliados
Junio 2010	50	Zaragoza	4	09 De 5000 o más afiliados
Marzo 2010	22	Huesca	8476	01 De 1 a 9 afiliados
Marzo 2010	44	Teruel	4943	01 De 1 a 9 afiliados
Marzo 2010	50	Zaragoza	33161	01 De 1 a 9 afiliados
