Mes y año	Mes (código)	Mes nombre	Año	Sexo	Provincia código	Provincia nombre	Temporalidad	Modalidad	Grupo de tipo de contrato	Número de contratos
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	876
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	928
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Fomento	698
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Indefinido	Indef. Ordinario	714
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	9
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Indefinido	Discapacitados	Minusválidos	13
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	5704
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Obra o servicio	Obra o servicio	3570
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	8922
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Eventual por circunstancias de la producción	Eventual producción	7898
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Interinidad	Interinidad	634
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Interinidad	Interinidad	2404
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	29
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Discapacitados	Temp. Minusv	17
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	26
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	20
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Jubilación parcial	5
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la jubilación	Relevo	2
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Formación	81
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	45
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Formación	132
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Ligados a la formación	Prácticas	40
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Otros	Otros	25
Febrero 2020	202002	Febrero	2020	Hombres	50	Zaragoza	Temporal	Otros	Temp. Inserción	5
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Otros	Otros	11
Febrero 2020	202002	Febrero	2020	Mujeres	50	Zaragoza	Temporal	Otros	Temp. Inserción	2
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	309
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	284
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Fomento	161
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Indefinido	Indefinido	Indef. Ordinario	207
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Indefinido	Discapacitados	Minusválidos	3
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Indefinido	Discapacitados	Minusválidos	3
Enero 2020	202001	Enero	2020	Hombres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	1495
Enero 2020	202001	Enero	2020	Mujeres	22	Huesca	Temporal	Obra o servicio	Obra o servicio	892
