Año	Población	Comarca código	Comarca nombre
2001	9516	18	Ribera Baja del Ebro
2001	12741	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2001	39834	20	Comunidad de Calatayud
2001	10068	21	Campo de Cariñena
2001	5610	22	Campo de Belchite
2001	7415	23	Bajo Martín
2001	6749	24	Campo de Daroca
2001	13877	25	Jiloca
2001	9696	26	Cuencas Mineras
2001	11172	27	Andorra-Sierra de Arcos
2001	26413	28	Bajo Aragón
2001	42660	29	Comunidad de Teruel
2001	3621	30	Maestrazgo
2001	4973	31	Sierra de Albarracín
2001	7772	32	Gúdar-Javalambre
2001	8634	33	Matarraña / Matarranya
2002	17207	01	La Jacetania
2002	12320	02	Alto Gállego
2002	6854	03	Sobrarbe
2002	12129	04	La Ribagorza
2002	32669	05	Cinco Villas
2002	60525	06	Hoya de Huesca / Plana de Uesca
2002	22740	07	Somontano de Barbastro
2002	22441	08	Cinca Medio
2002	18666	09	La Litera / La Llitera
2002	21240	10	Los Monegros
2002	22688	11	Bajo Cinca / Baix Cinca
2002	14287	12	Tarazona y el Moncayo
2002	14326	13	Campo de Borja
2002	8018	14	Aranda
2002	22564	15	Ribera Alta del Ebro
2002	23721	16	Valdejalón
2002	662941	17	D.C. Zaragoza
2002	9418	18	Ribera Baja del Ebro
2002	12604	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2002	40185	20	Comunidad de Calatayud
2002	10501	21	Campo de Cariñena
2002	5505	22	Campo de Belchite
2002	7383	23	Bajo Martín
2002	6623	24	Campo de Daroca
2002	13829	25	Jiloca
2002	9604	26	Cuencas Mineras
2002	11165	27	Andorra-Sierra de Arcos
2002	26853	28	Bajo Aragón
2002	43273	29	Comunidad de Teruel
2002	3700	30	Maestrazgo
2002	4961	31	Sierra de Albarracín
2002	7892	32	Gúdar-Javalambre
2002	8682	33	Matarraña / Matarranya
2003	17299	01	La Jacetania
2003	12593	02	Alto Gállego
2003	6903	03	Sobrarbe
2003	12263	04	La Ribagorza
2003	32599	05	Cinco Villas
2003	61659	06	Hoya de Huesca / Plana de Uesca
2003	23141	07	Somontano de Barbastro
2003	22683	08	Cinca Medio
2003	18720	09	La Litera / La Llitera
2003	20972	10	Los Monegros
2003	22961	11	Bajo Cinca / Baix Cinca
2003	14346	12	Tarazona y el Moncayo
2003	14344	13	Campo de Borja
2003	8054	14	Aranda
2003	23114	15	Ribera Alta del Ebro
2003	24579	16	Valdejalón
2003	670239	17	D.C. Zaragoza
2003	9292	18	Ribera Baja del Ebro
2003	12658	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2003	40484	20	Comunidad de Calatayud
2003	10715	21	Campo de Cariñena
2003	5336	22	Campo de Belchite
2003	7290	23	Bajo Martín
2003	6450	24	Campo de Daroca
2003	13800	25	Jiloca
2003	9477	26	Cuencas Mineras
2003	11138	27	Andorra-Sierra de Arcos
2003	27705	28	Bajo Aragón
2003	43854	29	Comunidad de Teruel
2003	3691	30	Maestrazgo
2003	4939	31	Sierra de Albarracín
2003	8053	32	Gúdar-Javalambre
2003	8739	33	Matarraña / Matarranya
2004	17622	01	La Jacetania
2004	12749	02	Alto Gállego
2004	6953	03	Sobrarbe
2004	12549	04	La Ribagorza
2004	33029	05	Cinco Villas
2004	62417	06	Hoya de Huesca / Plana de Uesca
2004	23215	07	Somontano de Barbastro
2004	22609	08	Cinca Medio
2004	18730	09	La Litera / La Llitera
2004	20871	10	Los Monegros
2004	23071	11	Bajo Cinca / Baix Cinca
2004	14382	12	Tarazona y el Moncayo
2004	14330	13	Campo de Borja
2004	7992	14	Aranda
2004	23554	15	Ribera Alta del Ebro
2004	25177	16	Valdejalón
