Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Año
2009	22	Huesca	63	Servicios de información	28
2009	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	359
2009	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	37
2009	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	476
2009	22	Huesca	68	Actividades inmobiliarias	2517
2009	22	Huesca	69	Actividades jurídicas y de contabilidad	613
2009	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	964
2009	22	Huesca	72	Investigación y desarrollo	88
2009	22	Huesca	73	Publicidad y estudios de mercado	143
2009	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	342
2009	22	Huesca	75	Actividades veterinarias	115
2009	22	Huesca	77	Actividades de alquiler	433
2009	22	Huesca	78	Actividades relacionadas con el empleo	24
2009	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	105
2009	22	Huesca	80	Actividades de seguridad e investigación	25
2009	22	Huesca	81	Servicios a edificios y actividades de jardinería	312
2009	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	449
2009	22	Huesca	85	Educación	805
2009	22	Huesca	86	Actividades sanitarias	508
2009	22	Huesca	87	Asistencia en establecimientos residenciales	39
2009	22	Huesca	88	Actividades de servicios sociales sin alojamiento	39
2009	22	Huesca	90	Actividades de creación, artísticas y espectáculos	246
2009	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	46
2009	22	Huesca	92	Actividades de juegos de azar y apuestas	146
2009	22	Huesca	93	Actividades deportivas, recreativas y de entretenimiento	237
2009	22	Huesca	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	264
2009	22	Huesca	96	Otros servicios personales	1004
2009	44	Teruel	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	1283
2009	44	Teruel	02	Silvicultura y explotación forestal	51
2009	44	Teruel	05	Extracción de antracita, hulla y lignito	17
2009	44	Teruel	08	Otras industrias extractivas	131
2009	44	Teruel	10	Industria de la alimentación	416
2009	44	Teruel	11	Fabricación de bebidas	32
2009	44	Teruel	13	Industria textil	25
2009	44	Teruel	14	Confección de prendas de vestir	32
2009	44	Teruel	15	Industria del cuero y del calzado	4
