Año	Código de la provincia	Provincia	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuyo titular es una sociedad	Explotaciones cuyo titular es una entidad pública	Explotaciones cuyo titular es una cooperativa de producción	Explotaciones con otra condición jurídica	Explotaciones con experiencia práctica exclusiva del titular	Explotaciones con formación universitaria del titular	Explotaciones con formación profesional del titular	Explotaciones con otra formación agrícola del titular
1989	22	Huesca	23425	22267	356	423	11	368	22596	234	338	257
1989	44	Teruel	25692	24635	124	754	9	170	24802	590	107	193
1989	50	Zaragoza	51614	50570	269	532	23	220	50244	413	311	646
1999	22	Huesca	21318	19311	481	379	12	1135	18576	280	1459	1003
1999	44	Teruel	17926	16779	166	529	25	427	16871	354	284	417
1999	50	Zaragoza	40777	38454	448	414	44	1417	37701	309	1068	1699
