Comarca codigo	Comarca nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
01	La Jacetania	0	Menor de 16	1	Hombre	1369,2706717068	1156,0492602377	213,2214114691
02	Alto Gállego	0	Menor de 16	1	Hombre	1076,7919482403	828,948986892	247,8429613483
03	Sobrarbe	0	Menor de 16	1	Hombre	519,6095006962	353,0254647486	166,5840359476
04	La Ribagorza	0	Menor de 16	1	Hombre	782,8938620018	694,6861709072	88,2076910946
05	Cinco Villas	0	Menor de 16	1	Hombre	2255,5099221818	1754,6397380558	500,870184126
06	Hoya de Huesca / Plana de Uesca	0	Menor de 16	1	Hombre	5305,4292197184	4764,3990242154	541,030195503
07	Somontano de Barbastro	0	Menor de 16	1	Hombre	1744,4403226752	1656,904278657	87,5360440182
08	Cinca Medio	0	Menor de 16	1	Hombre	1909,4553831207	1612,228975069	297,2264080517
09	La Litera / La Llitera	0	Menor de 16	1	Hombre	1460,0242591665	1012,5935410497	447,4307181168
10	Los Monegros	0	Menor de 16	1	Hombre	1191,5571200975	844,7411502488	346,8159698487
11	Bajo Cinca / Baix Cinca	0	Menor de 16	1	Hombre	1725,1054901897	1366,5947978583	358,5106923314
12	Tarazona y el Moncayo	0	Menor de 16	1	Hombre	1160,9327468173	1058,7992413931	102,1335054242
13	Campo de Borja	0	Menor de 16	1	Hombre	1151,5444198612	980,273796269	171,2706235922
14	Aranda	0	Menor de 16	1	Hombre	488,3341813463	393,9824684528	94,3517128935
15	Ribera Alta del Ebro	0	Menor de 16	1	Hombre	2341,0341474365	2051,1458362916	289,8883111449
16	Valdejalón	0	Menor de 16	1	Hombre	2511,7371256986	1824,2860025682	687,4511231304
17	D.C. Zaragoza	0	Menor de 16	1	Hombre	60072,9664552923	50120,5027085499	9952,4637467424
18	Ribera Baja del Ebro	0	Menor de 16	1	Hombre	673,7956210669	581,414862302	92,3807587649
