Comarca codigo	Comarca nombre	Superficie agrícola utilizada código	Superficie agrícola utilizada	Explotaciones
01	La Jacetania	01	a) Sin SAU	13
01	La Jacetania	02	b) <2 Ha de SAU	5
01	La Jacetania	03	b) <2 Ha de SAU	2
01	La Jacetania	04	b) <2 Ha de SAU	3
01	La Jacetania	05	b) <2 Ha de SAU	30
01	La Jacetania	06	c) >=2 a <5 Ha de SAU	15
01	La Jacetania	07	c) >=2 a <5 Ha de SAU	17
01	La Jacetania	08	c) >=2 a <5 Ha de SAU	18
01	La Jacetania	09	d) >=5 a < 10 Ha de SAU	81
01	La Jacetania	10	e) >=10 a <20 Ha de SAU	102
01	La Jacetania	11	f) >=20 a < 30 Ha de SAU	81
01	La Jacetania	12	g) >=30 a < 50 Ha de SAU	87
01	La Jacetania	13	h) >=50 a < 100 Ha de SAU	57
01	La Jacetania	14	h) >=50 a < 100 Ha de SAU	59
01	La Jacetania	15	i) >=100 Ha de SAU	49
01	La Jacetania	16	i) >=100 Ha de SAU	30
01	La Jacetania	17	i) >=100 Ha de SAU	23
01	La Jacetania	18	i) >=100 Ha de SAU	13
01	La Jacetania	19	i) >=100 Ha de SAU	6
01	La Jacetania	20	i) >=100 Ha de SAU	4
01	La Jacetania	21	i) >=100 Ha de SAU	4
02	Alto Gállego	01	a) Sin SAU	14
02	Alto Gállego	02	b) <2 Ha de SAU	2
02	Alto Gállego	04	b) <2 Ha de SAU	2
02	Alto Gállego	05	b) <2 Ha de SAU	16
02	Alto Gállego	06	c) >=2 a <5 Ha de SAU	13
02	Alto Gállego	07	c) >=2 a <5 Ha de SAU	19
02	Alto Gállego	08	c) >=2 a <5 Ha de SAU	12
02	Alto Gállego	09	d) >=5 a < 10 Ha de SAU	53
02	Alto Gállego	10	e) >=10 a <20 Ha de SAU	59
02	Alto Gállego	11	f) >=20 a < 30 Ha de SAU	33
02	Alto Gállego	12	g) >=30 a < 50 Ha de SAU	78
02	Alto Gállego	13	h) >=50 a < 100 Ha de SAU	23
02	Alto Gállego	14	h) >=50 a < 100 Ha de SAU	33
02	Alto Gállego	15	i) >=100 Ha de SAU	22
02	Alto Gállego	16	i) >=100 Ha de SAU	14
02	Alto Gállego	17	i) >=100 Ha de SAU	18
02	Alto Gállego	18	i) >=100 Ha de SAU	12
02	Alto Gállego	19	i) >=100 Ha de SAU	8
02	Alto Gállego	20	i) >=100 Ha de SAU	2
02	Alto Gállego	21	i) >=100 Ha de SAU	2
03	Sobrarbe	01	a) Sin SAU	34
03	Sobrarbe	02	b) <2 Ha de SAU	15
03	Sobrarbe	03	b) <2 Ha de SAU	1
03	Sobrarbe	04	b) <2 Ha de SAU	2
03	Sobrarbe	05	b) <2 Ha de SAU	25
03	Sobrarbe	06	c) >=2 a <5 Ha de SAU	29
03	Sobrarbe	07	c) >=2 a <5 Ha de SAU	21
03	Sobrarbe	08	c) >=2 a <5 Ha de SAU	22
03	Sobrarbe	09	d) >=5 a < 10 Ha de SAU	97
03	Sobrarbe	10	e) >=10 a <20 Ha de SAU	125
03	Sobrarbe	11	f) >=20 a < 30 Ha de SAU	79
03	Sobrarbe	12	g) >=30 a < 50 Ha de SAU	138
03	Sobrarbe	13	h) >=50 a < 100 Ha de SAU	63
03	Sobrarbe	14	h) >=50 a < 100 Ha de SAU	46
03	Sobrarbe	15	i) >=100 Ha de SAU	41
03	Sobrarbe	16	i) >=100 Ha de SAU	23
03	Sobrarbe	17	i) >=100 Ha de SAU	21
03	Sobrarbe	18	i) >=100 Ha de SAU	15
03	Sobrarbe	19	i) >=100 Ha de SAU	7
03	Sobrarbe	20	i) >=100 Ha de SAU	3
03	Sobrarbe	21	i) >=100 Ha de SAU	5
04	La Ribagorza	01	a) Sin SAU	46
04	La Ribagorza	02	b) <2 Ha de SAU	6
04	La Ribagorza	03	b) <2 Ha de SAU	1
04	La Ribagorza	05	b) <2 Ha de SAU	77
04	La Ribagorza	06	c) >=2 a <5 Ha de SAU	50
04	La Ribagorza	07	c) >=2 a <5 Ha de SAU	57
04	La Ribagorza	08	c) >=2 a <5 Ha de SAU	38
04	La Ribagorza	09	d) >=5 a < 10 Ha de SAU	164
04	La Ribagorza	10	e) >=10 a <20 Ha de SAU	237
04	La Ribagorza	11	f) >=20 a < 30 Ha de SAU	177
04	La Ribagorza	12	g) >=30 a < 50 Ha de SAU	297
04	La Ribagorza	13	h) >=50 a < 100 Ha de SAU	124
04	La Ribagorza	14	h) >=50 a < 100 Ha de SAU	92
04	La Ribagorza	15	i) >=100 Ha de SAU	96
04	La Ribagorza	16	i) >=100 Ha de SAU	52
04	La Ribagorza	17	i) >=100 Ha de SAU	37
04	La Ribagorza	18	i) >=100 Ha de SAU	21
04	La Ribagorza	19	i) >=100 Ha de SAU	12
04	La Ribagorza	20	i) >=100 Ha de SAU	2
05	Cinco Villas	01	a) Sin SAU	118
05	Cinco Villas	02	b) <2 Ha de SAU	10
05	Cinco Villas	03	b) <2 Ha de SAU	9
05	Cinco Villas	04	b) <2 Ha de SAU	5
05	Cinco Villas	05	b) <2 Ha de SAU	158
05	Cinco Villas	06	c) >=2 a <5 Ha de SAU	116
05	Cinco Villas	07	c) >=2 a <5 Ha de SAU	120
05	Cinco Villas	08	c) >=2 a <5 Ha de SAU	105
05	Cinco Villas	09	d) >=5 a < 10 Ha de SAU	352
05	Cinco Villas	10	e) >=10 a <20 Ha de SAU	692
05	Cinco Villas	11	f) >=20 a < 30 Ha de SAU	426
05	Cinco Villas	12	g) >=30 a < 50 Ha de SAU	476
05	Cinco Villas	13	h) >=50 a < 100 Ha de SAU	263
05	Cinco Villas	14	h) >=50 a < 100 Ha de SAU	228
05	Cinco Villas	15	i) >=100 Ha de SAU	177
05	Cinco Villas	16	i) >=100 Ha de SAU	99
05	Cinco Villas	17	i) >=100 Ha de SAU	71
05	Cinco Villas	18	i) >=100 Ha de SAU	53
05	Cinco Villas	19	i) >=100 Ha de SAU	11
05	Cinco Villas	20	i) >=100 Ha de SAU	1
05	Cinco Villas	21	i) >=100 Ha de SAU	1
06	Hoya de Huesca / Plana de Uesca	01	a) Sin SAU	63
06	Hoya de Huesca / Plana de Uesca	02	b) <2 Ha de SAU	8
06	Hoya de Huesca / Plana de Uesca	03	b) <2 Ha de SAU	16
06	Hoya de Huesca / Plana de Uesca	04	b) <2 Ha de SAU	23
06	Hoya de Huesca / Plana de Uesca	05	b) <2 Ha de SAU	224
06	Hoya de Huesca / Plana de Uesca	06	c) >=2 a <5 Ha de SAU	119
06	Hoya de Huesca / Plana de Uesca	07	c) >=2 a <5 Ha de SAU	110
06	Hoya de Huesca / Plana de Uesca	08	c) >=2 a <5 Ha de SAU	75
06	Hoya de Huesca / Plana de Uesca	09	d) >=5 a < 10 Ha de SAU	269
