Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2008	62954	PSOE	2
22	Huesca	2008	49748	PP	1
22	Huesca	2008	6665	PAR	0
22	Huesca	2008	3892	CHA	0
22	Huesca	2008	3815	IU	0
22	Huesca	2008	1719	UPyD	0
22	Huesca	2008	561	LV	0
22	Huesca	2008	179	PACMA	0
22	Huesca	2008	129	C's	0
22	Huesca	2008	169	Cenb	0
22	Huesca	2008	95	PUM+J	0
22	Huesca	2008	52	pCUA	0
22	Huesca	2008	76	DN	0
22	Huesca	2008	79	PSD-FIA	0
22	Huesca	2008	61	FE de las JONS	0
22	Huesca	2008	50	PFyV	0
22	Huesca	2008	65	PCPE	0
22	Huesca	2008	98	AuN	0
22	Huesca	2008	38	FA	0
22	Huesca	2008	30	PH	0
22	Huesca	2008	21	AES	0
44	Teruel	2008	38617	PSOE	2
44	Teruel	2008	34386	PP	1
44	Teruel	2008	7440	PAR	0
44	Teruel	2008	2029	CHA	0
44	Teruel	2008	2270	IU	0
44	Teruel	2008	388	UPyD	0
44	Teruel	2008	170	LV	0
44	Teruel	2008	93	PACMA	0
44	Teruel	2008	113	C's	0
44	Teruel	2008	30	PUM+J	0
44	Teruel	2008	43	pCUA	0
44	Teruel	2008	34	DN	0
44	Teruel	2008	30	PSD-FIA	0
44	Teruel	2008	55	FE de las JONS	0
44	Teruel	2008	18	PFyV	0
44	Teruel	2008	49	PCPE	0
44	Teruel	2008	13	AuN	0
44	Teruel	2008	17	FA	0
44	Teruel	2008	21	AES	0
44	Teruel	2008	16	E-2000	0
44	Teruel	2008	10	PCTR	0
50	Zaragoza	2008	254479	PSOE	4
50	Zaragoza	2008	199934	PP	3
50	Zaragoza	2008	25949	PAR	0
50	Zaragoza	2008	32281	CHA	0
50	Zaragoza	2008	15731	IU	0
50	Zaragoza	2008	6621	UPyD	0
50	Zaragoza	2008	1758	LV	0
50	Zaragoza	2008	958	PACMA	0
50	Zaragoza	2008	755	C's	0
50	Zaragoza	2008	376	Cenb	0
50	Zaragoza	2008	372	PUM+J	0
50	Zaragoza	2008	380	pCUA	0
50	Zaragoza	2008	323	DN	0
50	Zaragoza	2008	286	PSD-FIA	0
50	Zaragoza	2008	236	FE de las JONS	0
50	Zaragoza	2008	262	PFyV	0
50	Zaragoza	2008	200	PCPE	0
50	Zaragoza	2008	133	AuN	0
50	Zaragoza	2008	135	FA	0
50	Zaragoza	2008	91	PH	0
50	Zaragoza	2008	76	AES	0
50	Zaragoza	2008	113	FRENTE	0
50	Zaragoza	2008	73	E-2000	0
