Municipio código	Municipio nombre	Refrigeración	Número hogares
22001	Abiego	Con refrigeración	6
22001	Abiego	Sin refrigeración	98
22002	Abizanda	Sin refrigeración	46
22003	Adahuesca	Con refrigeración	3
22003	Adahuesca	Sin refrigeración	64
22004	Agüero	Sin refrigeración	72
22006	Aísa	Sin refrigeración	149
22007	Albalate de Cinca	Con refrigeración	49
22007	Albalate de Cinca	Sin refrigeración	349
22008	Albalatillo	Con refrigeración	3
22008	Albalatillo	Sin refrigeración	98
22009	Albelda	Con refrigeración	16
22009	Albelda	Sin refrigeración	311
22011	Albero Alto	Sin refrigeración	37
22012	Albero Bajo	Sin refrigeración	40
22013	Alberuela de Tubo	Sin refrigeración	113
22014	Alcalá de Gurrea	Con refrigeración	2
22014	Alcalá de Gurrea	Sin refrigeración	130
22015	Alcalá del Obispo	Con refrigeración	1
22015	Alcalá del Obispo	Sin refrigeración	144
22016	Alcampell	Con refrigeración	19
22016	Alcampell	Sin refrigeración	311
22017	Alcolea de Cinca	Con refrigeración	53
22017	Alcolea de Cinca	Sin refrigeración	360
22018	Alcubierre	Con refrigeración	5
22018	Alcubierre	Sin refrigeración	169
22019	Alerre	Con refrigeración	2
22019	Alerre	Sin refrigeración	64
22020	Alfántega	Con refrigeración	4
22020	Alfántega	Sin refrigeración	37
22021	Almudévar	Con refrigeración	30
22021	Almudévar	Sin refrigeración	790
22022	Almunia de San Juan	Con refrigeración	10
22022	Almunia de San Juan	Sin refrigeración	227
22023	Almuniente	Con refrigeración	10
22023	Almuniente	Sin refrigeración	194
22024	Alquézar	Con refrigeración	1
22024	Alquézar	Sin refrigeración	117
22025	Altorricón	Con refrigeración	55
22025	Altorricón	Sin refrigeración	443
22027	Angüés	Con refrigeración	1
22027	Angüés	Sin refrigeración	171
22028	Ansó	Con refrigeración	3
22028	Ansó	Sin refrigeración	201
22029	Antillón	Sin refrigeración	48
22032	Aragüés del Puerto	Sin refrigeración	62
22035	Arén	Sin refrigeración	143
22036	Argavieso	Sin refrigeración	40
22037	Arguis	Sin refrigeración	29
22039	Ayerbe	Con refrigeración	14
22039	Ayerbe	Sin refrigeración	433
22040	Azanuy-Alins	Con refrigeración	2
22040	Azanuy-Alins	Sin refrigeración	74
22041	Azara	Con refrigeración	1
22041	Azara	Sin refrigeración	70
22042	Azlor	Con refrigeración	1
22042	Azlor	Sin refrigeración	58
22043	Baells	Sin refrigeración	61
22044	Bailo	Con refrigeración	3
22044	Bailo	Sin refrigeración	109
22045	Baldellou	Con refrigeración	4
22045	Baldellou	Sin refrigeración	51
22046	Ballobar	Con refrigeración	48
22046	Ballobar	Sin refrigeración	281
22047	Banastás	Con refrigeración	5
22047	Banastás	Sin refrigeración	55
22048	Barbastro	Con refrigeración	650
22048	Barbastro	Sin refrigeración	4661
22049	Barbués	Con refrigeración	3
22049	Barbués	Sin refrigeración	35
22050	Barbuñales	Sin refrigeración	51
22051	Bárcabo	Con refrigeración	1
22051	Bárcabo	Sin refrigeración	46
22052	Belver de Cinca	Con refrigeración	41
22052	Belver de Cinca	Sin refrigeración	406
22053	Benabarre	Con refrigeración	10
22053	Benabarre	Sin refrigeración	405
22054	Benasque	Con refrigeración	16
22054	Benasque	Sin refrigeración	614
22055	Berbegal	Con refrigeración	4
22055	Berbegal	Sin refrigeración	171
22057	Bielsa	Con refrigeración	5
22057	Bielsa	Sin refrigeración	167
22058	Bierge	Con refrigeración	2
22058	Bierge	Sin refrigeración	94
22059	Biescas	Con refrigeración	7
22059	Biescas	Sin refrigeración	480
22060	Binaced	Con refrigeración	48
22060	Binaced	Sin refrigeración	464
22061	Binéfar	Con refrigeración	471
