Año	Código del municipio	Nombre del municipio	Superficie total de las explotaciones	Superficie Agrícola Utilizada (SAU)	Hectáreas de SAU en propiedad	Hectáreas de SAU en arrendamiento	Hectáreas de SAU en aparcería	Hectáreas de SAU en otros regímenes de tenencia de las tierras
1989	22001	Abiego	3053	2306	1622	70	605	9
1989	22002	Abizanda	4392	935	746	104	0	85
1989	22003	Adahuesca	5483	1713	1371	262	80	0
1989	22004	Agüero	9007	595	273	307	15	0
1989	22006	Aísa	7897	2265	2198	67	0	0
1989	22007	Albalate de Cinca	4310	3540	2751	700	74	15
1989	22008	Albalatillo	519	281	159	69	29	24
1989	22009	Albelda	5258	3768	3228	350	190	0
1989	22011	Albero Alto	1841	1593	1408	54	131	0
1989	22012	Albero Bajo	1481	1408	968	236	167	37
1989	22013	Alberuela de Tubo	2313	1922	599	1065	225	33
1989	22014	Alcalá de Gurrea	4936	3943	2520	730	308	384
1989	22015	Alcalá del Obispo	4425	3791	2553	1007	231	0
1989	22016	Alcampell	5234	3680	2550	152	953	24
1989	22017	Alcolea de Cinca	7698	5831	2995	790	639	1407
1989	22018	Alcubierre	11003	5965	4463	1055	329	118
1989	22019	Alerre	740	738	481	99	0	159
1989	22020	Alfántega	568	307	249	54	5	0
1989	22021	Almudévar	18182	17641	14228	1181	2214	18
1989	22022	Almunia de San Juan	2401	1878	1117	201	560	0
1989	22023	Almuniente	3110	2721	2335	250	132	4
1989	22024	Alquézar	3060	1215	943	273	0	0
1989	22025	Altorricón	2410	2251	2040	170	40	0
1989	22027	Angüés	4175	3214	2518	460	237	0
1989	22028	Ansó	25725	44	26	18	0	0
1989	22029	Antillón	2080	1967	1432	189	346	0
1989	22032	Aragüés del Puerto	7386	2127	2053	73	0	0
1989	22035	Arén	10681	4989	3618	1371	0	0
1989	22036	Argavieso	957	770	599	144	5	22
1989	22037	Arguis	6331	233	208	25	0	0
1989	22039	Ayerbe	5541	3262	1880	1122	260	0
1989	22040	Azanuy-Alins	4494	2976	1885	1028	64	0
1989	22041	Azara	1421	939	864	0	76	0
1989	22042	Azlor	1342	992	799	22	172	0
1989	22043	Baells	2713	1473	1046	102	326	0
1989	22044	Bailo	17150	2748	2014	700	34	0
1989	22045	Baldellou	2550	580	497	83	0	0
1989	22046	Ballobar	11295	6364	4173	360	1741	90
1989	22047	Banastás	601	559	422	137	0	0
1989	22048	Barbastro	8104	6663	4921	1317	425	0
1989	22049	Barbués	1730	1569	1288	198	83	0
1989	22050	Barbuñales	1753	1718	1461	62	196	0
1989	22051	Bárcabo	8187	1281	745	536	0	0
1989	22052	Belver de Cinca	7189	5700	5430	90	180	2
1989	22053	Benabarre	11855	5229	3623	1495	111	0
1989	22054	Benasque	22800	16454	16234	220	0	0
1989	22055	Berbegal	4061	4061	2949	228	614	269
1989	22057	Bielsa	19540	5887	5634	253	0	0
1989	22058	Bierge	13313	1590	1325	0	265	0
1989	22059	Biescas	19058	5634	5285	348	1	0
1989	22060	Binaced	5377	4631	3970	253	408	0
1989	22061	Binéfar	1639	1501	1048	147	299	7
1989	22062	Bisaurri	5831	2265	1922	343	0	0
1989	22063	Biscarrués	2638	1767	1334	426	4	2
1989	22064	Blecua y Torres	3274	2854	1374	1479	0	0
1989	22066	Boltaña	12228	1720	1517	188	15	0
1989	22067	Bonansa	3545	990	703	287	0	0
1989	22068	Borau	4066	1245	1231	14	0	0
1989	22069	Broto	12591	5047	4855	189	3	0
1989	22072	Caldearenas	20063	3180	2796	384	0	0
1989	22074	Campo	2491	336	252	83	0	0
1989	22075	Camporrells	2544	920	767	147	6	0
1989	22076	Canal de Berdún	13636	4003	2219	1193	591	0
1989	22077	Candasnos	11975	8881	4579	1822	2480	0
1989	22078	Canfranc	6904	5110	5075	35	0	0
1989	22079	Capdesaso	1366	1176	534	610	32	0
1989	22080	Capella	4913	1788	1296	488	4	0
1989	22081	Casbas de Huesca	12343	4122	2721	71	1330	0
1989	22082	Castejón del Puente	2474	1907	1257	273	338	39
