Mes y año	Sexo	Provincia código	Provincia nombre	Sector de actividad	Afiliaciones en alta
Febrero 2021	Hombres	22	Huesca	Agricultura, ganadería y pesca	11353
Febrero 2021	Hombres	22	Huesca	Industria y energía	11242
Febrero 2021	Hombres	22	Huesca	Construcción	7017
Febrero 2021	Hombres	22	Huesca	Servicios	24999
Febrero 2021	Hombres	44	Teruel	Agricultura, ganadería y pesca	4997
Febrero 2021	Hombres	44	Teruel	Industria y energía	7041
Febrero 2021	Hombres	44	Teruel	Construcción	4054
Febrero 2021	Hombres	44	Teruel	Servicios	14013
Febrero 2021	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	14034
Febrero 2021	Hombres	50	Zaragoza	Industria y energía	56837
Febrero 2021	Hombres	50	Zaragoza	Construcción	20701
Febrero 2021	Hombres	50	Zaragoza	Servicios	130274
Febrero 2021	Mujeres	22	Huesca	Agricultura, ganadería y pesca	2568
Febrero 2021	Mujeres	22	Huesca	Industria y energía	3499
Febrero 2021	Mujeres	22	Huesca	Construcción	759
Febrero 2021	Mujeres	22	Huesca	Servicios	34552
Febrero 2021	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1493
Febrero 2021	Mujeres	44	Teruel	Industria y energía	2048
Febrero 2021	Mujeres	44	Teruel	Construcción	331
Febrero 2021	Mujeres	44	Teruel	Servicios	19240
Febrero 2021	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	3931
Febrero 2021	Mujeres	50	Zaragoza	Industria y energía	20632
Febrero 2021	Mujeres	50	Zaragoza	Construcción	2830
Febrero 2021	Mujeres	50	Zaragoza	Servicios	166422
Enero 2021	Hombres	22	Huesca	Agricultura, ganadería y pesca	11041
Enero 2021	Hombres	22	Huesca	Industria y energía	11258
Enero 2021	Hombres	22	Huesca	Construcción	6841
Enero 2021	Hombres	22	Huesca	Servicios	25049
Enero 2021	Hombres	44	Teruel	Agricultura, ganadería y pesca	4751
Enero 2021	Hombres	44	Teruel	Industria y energía	6974
Enero 2021	Hombres	44	Teruel	Construcción	4006
Enero 2021	Hombres	44	Teruel	Servicios	14095
Enero 2021	Hombres	50	Zaragoza	Agricultura, ganadería y pesca	13792
Enero 2021	Hombres	50	Zaragoza	Industria y energía	56807
Enero 2021	Hombres	50	Zaragoza	Construcción	20217
Enero 2021	Hombres	50	Zaragoza	Servicios	130417
Enero 2021	Mujeres	22	Huesca	Agricultura, ganadería y pesca	2506
Enero 2021	Mujeres	22	Huesca	Industria y energía	3522
Enero 2021	Mujeres	22	Huesca	Construcción	744
Enero 2021	Mujeres	22	Huesca	Servicios	34535
Enero 2021	Mujeres	44	Teruel	Agricultura, ganadería y pesca	1452
Enero 2021	Mujeres	44	Teruel	Industria y energía	2053
Enero 2021	Mujeres	44	Teruel	Construcción	333
Enero 2021	Mujeres	44	Teruel	Servicios	19447
Enero 2021	Mujeres	50	Zaragoza	Agricultura, ganadería y pesca	3878
Enero 2021	Mujeres	50	Zaragoza	Industria y energía	20608
Enero 2021	Mujeres	50	Zaragoza	Construcción	2826
Enero 2021	Mujeres	50	Zaragoza	Servicios	166639
Diciembre 2020	Hombres	22	Huesca	Agricultura, ganadería y pesca	10829
Diciembre 2020	Hombres	22	Huesca	Industria y energía	11209
Diciembre 2020	Hombres	22	Huesca	Construcción	6800
Diciembre 2020	Hombres	22	Huesca	Servicios	25200
