Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	22080	Capella	2185	80	0	80	1716	4	6575	872	5703	0	41	183
1989	22081	Casbas de Huesca	749	79	44	35	1373	68	1958	261	1697	1	1	17
1989	22082	Castejón del Puente	1058	0	0	0	2364	62	2552	251	2301	0	0	0
1989	22083	Castejón de Monegros	1414	0	0	0	5718	179	2931	665	2266	0	10	576
1989	22084	Castejón de Sos	670	577	0	577	2656	31	0	0	0	2	0	66
1989	22085	Castelflorite	268	49	19	30	470	25	1115	27	1088	0	0	3
1989	22086	Castiello de Jaca	276	20	2	18	1016	64	499	90	409	2	3	26
1989	22087	Castigaleu	235	0	0	0	904	36	670	174	496	0	0	23
1989	22088	Castillazuelo	136	97	11	86	90	0	354	43	311	0	0	0
1989	22089	Castillonroy	1837	280	27	253	1205	6	5321	297	5024	0	10	346
1989	22090	Colungo	135	0	0	0	341	80	437	136	301	6	0	323
1989	22094	Chalamera	1265	809	98	711	890	9	2286	75	2211	1	20	0
1989	22095	Chía	350	358	12	346	679	53	0	0	0	8	0	142
1989	22096	Chimillas	0	0	0	0	0	0	0	0	0	0	0	0
1989	22099	Esplús	7768	5182	55	5127	6916	5	15662	418	15244	0	3	347
1989	22102	Estada	1388	140	0	140	187	4	3241	324	2917	1	52	250
1989	22103	Estadilla	3986	1688	94	1594	4180	78	10137	876	9261	2	1	873
1989	22105	Estopiñán del Castillo	667	530	0	530	2969	237	749	198	551	2	1	68
1989	22106	Fago	64	82	0	82	0	23	0	0	0	0	0	3
1989	22107	Fanlo	389	201	0	201	2151	172	0	0	0	4	0	8
1989	22109	Fiscal	878	825	15	810	1855	93	229	83	146	2	0	35
1989	22110	Fonz	13394	1663	54	1609	3026	225	16035	1227	14808	5	375	524
1989	22111	Foradada del Toscar	2078	430	203	227	7520	156	1437	212	1225	2	88	99
1989	22112	Fraga	37273	2888	63	2825	11234	122	55321	3677	51644	9	991	180
1989	22113	Fueva (La)	4192	775	116	659	8095	232	13342	2342	11000	13	3	509
1989	22114	Gistaín	824	419	10	409	4585	358	3	0	3	43	1	84
1989	22115	Grado (El)	1193	110	10	100	2270	31	3418	326	3092	8	4	86
1989	22116	Grañén	4990	2596	176	2420	11204	49	5715	338	5377	0	55	502
1989	22117	Graus	4554	442	71	371	9661	292	9163	1777	7386	3	150	657
1989	22119	Gurrea de Gállego	2285	597	26	571	11677	127	1730	47	1683	3	35	24
1989	22122	Hoz de Jaca	213	245	0	245	450	0	2	0	2	1	0	430
1989	22124	Huerto	607	25	8	17	1240	50	1516	134	1382	0	11	10
1989	22125	Huesca	8582	1088	130	958	7382	75	20573	2858	17715	2	250	13
1989	22126	Ibieca	183	0	0	0	1775	12	2	0	2	0	0	24
1989	22127	Igriés	364	32	15	17	845	0	820	60	760	0	0	0
1989	22128	Ilche	885	349	20	329	2912	24	1722	158	1564	0	0	0
1989	22129	Isábena	739	118	10	108	4783	76	955	297	658	1	1	102
1989	22130	Jaca	4313	800	141	659	22222	678	5221	780	4441	75	11	613
1989	22131	Jasa	117	132	0	132	82	43	6	0	6	4	0	11
1989	22133	Labuerda	105	54	24	30	437	0	18	8	10	1	0	119
1989	22135	Laluenga	609	6	5	1	1148	3	2161	469	1692	0	0	2
1989	22136	Lalueza	6063	1896	502	1394	11592	179	12732	1087	11645	0	0	2
1989	22137	Lanaja	4599	722	226	496	9091	138	11423	647	10776	1	0	0
1989	22139	Laperdiguera	601	455	0	455	0	0	1405	75	1330	0	0	13
1989	22141	Lascellas-Ponzano	245	192	9	183	465	7	424	79	345	0	0	6
1989	22142	Lascuarre	1033	0	0	0	3865	37	2047	397	1650	0	16	72
1989	22143	Laspaúles	1676	959	0	959	9498	154	0	0	0	27	1	144
