Año	Código del municipio	Nombre del municipio	Unidades ganaderas	Ganado bovino (cabezas)	Ganado bovino-vacas lecheras (cabezas)	Ganado bovino-resto bovino (cabezas)	Ganado ovino (cabezas)	Ganado caprino (cabezas)	Ganado porcino (cabezas)	Ganado porcino-cerdas madres (cabezas)	Ganado porcino-resto porcino (cabezas)	Ganado equino (cabezas)	Miles de aves	Conejas madres (cabezas)
1989	44137	Linares de Mora	1579	601	2	599	5328	190	1918	222	1696	25	1	44
1989	44138	Loscos	405	50	0	50	3544	134	8	2	6	0	1	61
1989	44141	Lledó	464	0	0	0	154	4	1300	0	1300	2	8	80
1989	44142	Maicas	94	0	0	0	903	15	0	0	0	2	0	1
1989	44143	Manzanera	957	40	3	37	7153	216	838	300	538	13	1	337
1989	44144	Martín del Río	246	0	0	0	2001	37	65	0	65	1	1	670
1989	44145	Mas de las Matas	1627	177	70	107	3154	12	3641	695	2946	21	6	401
1989	44146	Mata de los Olmos (La)	1251	0	0	0	1570	16	2961	1000	1961	1	0	46
1989	44147	Mazaleón	295	0	0	0	2052	58	0	0	0	5	11	85
1989	44148	Mezquita de Jarque	232	0	0	0	2184	31	17	0	17	0	0	40
1989	44149	Mirambel	1411	225	22	203	2012	68	3172	329	2843	14	0	7
1989	44150	Miravete de la Sierra	216	6	0	6	1597	57	85	66	19	7	0	20
1989	44151	Molinos	832	10	4	6	5663	327	1176	355	821	14	0	206
1989	44152	Monforte de Moyuela	425	0	0	0	4071	75	7	0	7	0	0	40
1989	44153	Monreal del Campo	4714	0	0	0	41610	346	3157	437	2720	25	3	316
1989	44154	Monroyo	2374	0	0	0	650	6	6056	465	5591	22	57	202
1989	44155	Montalbán	625	0	0	0	3477	13	519	11	508	8	1	254
1989	44156	Monteagudo del Castillo	290	127	14	113	1635	27	50	33	17	5	0	25
1989	44157	Monterde de Albarracín	260	0	0	0	2384	180	6	0	6	0	0	4
1989	44158	Mora de Rubielos	1180	856	6	850	4153	272	236	194	42	24	0	67
1989	44159	Moscardón	123	0	0	0	929	75	21	8	13	8	0	604
1989	44160	Mosqueruela	1936	304	2	302	14346	399	948	237	711	67	2	369
1989	44161	Muniesa	1349	30	0	30	7155	77	2172	140	2032	3	1	51
1989	44163	Noguera de Albarracín	320	0	0	0	2670	374	23	22	1	7	0	0
1989	44164	Nogueras	91	0	0	0	837	54	0	0	0	0	0	0
1989	44165	Nogueruelas	269	84	0	84	1546	95	95	37	58	16	0	55
1989	44167	Obón	198	0	0	0	1860	85	0	0	0	2	0	8
1989	44168	Odón	927	0	0	0	5347	142	1277	253	1024	0	0	575
1989	44169	Ojos Negros	1049	0	0	0	9071	531	437	90	347	0	1	71
1989	44171	Olba	54	0	0	0	305	69	9	0	9	12	0	33
1989	44172	Oliete	760	171	8	163	5851	74	290	105	185	34	1	112
1989	44173	Olmos (Los)	283	0	0	0	2420	86	46	43	3	0	1	155
1989	44174	Orihuela del Tremedal	514	92	0	92	4291	104	16	1	15	0	0	0
1989	44175	Orrios	598	54	31	23	5277	32	52	10	42	1	0	85
1989	44176	Palomar de Arroyos	202	0	0	0	1810	17	40	0	40	2	0	69
1989	44177	Pancrudo	828	0	0	0	7929	26	44	0	44	0	1	235
1989	44178	Parras de Castellote (Las)	348	0	0	0	1112	51	99	96	3	3	25	269
1989	44179	Peñarroya de Tastavins	9713	0	0	0	1986	91	33653	3101	30552	10	14	805
1989	44180	Peracense	214	0	0	0	1474	337	96	38	58	0	0	16
1989	44181	Peralejos	206	0	0	0	1998	0	8	2	6	1	0	47
1989	44182	Perales del Alfambra	666	0	0	0	6239	35	85	12	73	0	1	93
1989	44183	Pitarque	164	5	0	5	1317	70	29	6	23	19	0	122
1989	44184	Plou	122	0	0	0	1191	3	4	0	4	0	0	9
1989	44185	Pobo (El)	532	229	28	201	2261	28	709	156	553	3	1	112
1989	44187	Portellada (La)	1322	0	0	0	506	7	3800	297	3503	4	12	60
1989	44189	Pozondón	181	0	0	0	1520	23	79	23	56	0	0	264
1989	44190	Pozuel del Campo	301	0	0	0	2678	18	106	28	78	0	0	53
1989	44191	Puebla de Híjar (La)	2530	1441	58	1383	7292	79	4766	281	4485	6	1	27
1989	44192	Puebla de Valverde (La)	1309	103	0	103	11810	250	67	9	58	2	1	93
1989	44193	Puertomingalvo	672	40	0	40	5736	128	52	23	29	44	1	82
1989	44194	Ráfales	136	0	0	0	431	9	38	38	0	5	10	0
1989	44195	Rillo	384	0	0	0	3634	27	39	0	39	0	0	78
1989	44196	Riodeva	232	0	0	0	1683	5	49	0	49	68	0	72
1989	44197	Ródenas	297	20	15	5	2376	63	211	36	175	0	0	2
1989	44198	Royuela	370	40	10	30	2790	174	72	72	0	2	0	160
1989	44199	Rubiales	39	0	0	0	355	0	2	0	2	0	0	175
1989	44200	Rubielos de la Cérida	287	0	0	0	2787	21	13	0	13	0	0	4
1989	44201	Rubielos de Mora	1536	178	0	178	995	106	4719	798	3921	9	0	22
1989	44203	Salcedillo	57	0	0	0	551	11	2	0	2	0	0	5
1989	44204	Saldón	32	0	0	0	244	0	11	0	11	4	0	1
1989	44205	Samper de Calanda	1745	160	110	50	8013	238	2200	210	1990	4	10	315
1989	44206	San Agustín	321	30	0	30	2704	90	22	1	21	25	0	56
1989	44207	San Martín del Río	682	25	15	10	249	1	199	37	162	1	43	29
1989	44208	Santa Cruz de Nogueras	84	0	0	0	721	93	2	0	2	0	0	3
1989	44209	Santa Eulalia	1133	74	42	32	9521	66	488	151	337	5	0	631
1989	44210	Sarrión	876	0	0	0	8560	123	2	0	2	10	0	52
1989	44211	Segura de los Baños	150	0	0	0	1403	36	12	0	12	1	0	12
1989	44212	Seno	136	0	0	0	1230	15	15	0	15	6	0	24
1989	44213	Singra	489	0	0	0	4695	25	24	11	13	7	0	16
1989	44215	Terriente	424	0	0	0	3775	57	59	15	44	21	0	129
1989	44216	Teruel	5731	1862	323	1539	29018	413	3548	356	3192	27	6	523
1989	44217	Toril y Masegoso	198	0	0	0	1856	46	7	0	7	3	0	13
1989	44218	Tormón	4	0	0	0	0	0	4	0	4	3	0	19
1989	44219	Tornos	416	56	0	56	2477	31	389	153	236	0	1	107
1989	44220	Torralba de los Sisones	1169	0	0	0	5503	295	1710	238	1472	1	9	222
1989	44221	Torrecilla de Alcañiz	1699	260	0	260	1227	27	2756	180	2576	2	95	21
1989	44222	Torrecilla del Rebollar	422	0	0	0	4028	16	31	0	31	0	0	339
1989	44223	Torre de Arcas	286	0	0	0	667	0	354	54	300	3	14	0
1989	44224	Torre de las Arcas	150	1	1	0	1170	300	3	0	3	0	0	20
1989	44225	Torre del Compte	100	0	0	0	774	196	0	0	0	3	0	12
1989	44226	Torrelacárcel	895	25	13	12	8101	18	121	48	73	20	1	61
1989	44227	Torre los Negros	201	0	0	0	1914	9	10	5	5	0	0	68
1989	44228	Torremocha de Jiloca	428	0	0	0	3798	24	122	50	72	5	0	13
1989	44229	Torres de Albarracín	432	39	39	0	1025	140	1497	457	1040	5	0	0
1989	44230	Torrevelilla	876	0	0	0	469	219	2290	186	2104	0	29	14
1989	44231	Torrijas	209	0	0	0	1976	37	0	0	0	8	0	7
1989	44232	Torrijo del Campo	2198	41	23	18	6287	10	6282	996	5286	37	1	849
1989	44234	Tramacastiel	130	0	0	0	1182	16	1	1	0	11	0	27
1989	44235	Tramacastilla	277	0	0	0	2372	166	45	45	0	1	0	0
1989	44236	Tronchón	642	349	0	349	1127	96	1186	292	894	17	0	51
1989	44237	Urrea de Gaén	186	0	0	0	1207	6	143	77	66	1	0	863
1989	44238	Utrillas	270	3	0	3	2481	51	22	9	13	0	0	46
1989	44239	Valacloche	57	0	0	0	474	0	9	3	6	9	0	0
1989	44240	Valbona	556	33	22	11	1141	62	1583	179	1404	10	0	61
1989	44241	Valdealgorfa	1074	0	0	0	604	76	1701	200	1501	2	35	8
1989	44243	Valdecuenca	2	0	0	0	8	0	2	0	2	0	0	18
1989	44244	Valdelinares	908	332	0	332	6146	90	10	3	7	25	0	143
1989	44245	Valdeltormo	9	0	0	0	79	0	0	0	0	1	0	11
1989	44246	Valderrobres	3409	562	4	558	4054	395	6968	594	6374	6	110	850
1989	44247	Valjunquera	762	0	0	0	568	16	1101	0	1101	0	53	27
1989	44249	Vallecillo (El)	55	0	0	0	500	0	10	10	0	0	0	0
1989	44250	Veguillas de la Sierra	54	0	0	0	489	18	8	0	8	0	0	9
1989	44251	Villafranca del Campo	1005	0	0	0	9230	92	171	67	104	4	1	88
1989	44252	Villahermosa del Campo	633	0	0	0	828	4	1095	241	854	0	0	21
1989	44256	Villanueva del Rebollar de la Sierra	135	0	0	0	1307	0	15	0	15	0	0	106
1989	44257	Villar del Cobo	1036	64	3	61	9507	140	0	0	0	28	0	200
1989	44258	Villar del Salz	178	0	0	0	1530	76	45	3	42	0	0	22
1989	44260	Villarluengo	1232	420	0	420	5548	270	1240	171	1069	30	1	141
1989	44261	Villarquemado	1866	840	462	378	7373	5	1207	534	673	20	1	576
1989	44262	Villarroya de los Pinares	475	57	0	57	3994	82	42	5	37	5	0	26
1989	44263	Villastar	310	66	31	35	1901	8	134	41	93	16	1	270
1989	44264	Villel	350	140	0	140	2624	1	55	2	53	11	0	172
1989	44265	Vinaceite	2849	596	0	596	4808	37	7316	480	6836	0	31	4
1989	44266	Visiedo	516	36	25	11	4273	44	145	32	113	0	1	88
1989	44267	Vivel del Río Martín	371	0	0	0	2324	6	492	80	412	1	0	24
1989	44268	Zoma (La)	36	0	0	0	338	1	3	0	3	0	0	8
1989	50001	Abanto	212	55	0	55	1246	21	266	80	186	1	0	0
1989	50002	Acered	85	4	0	4	720	9	0	0	0	18	0	0
1989	50003	Agón	189	36	24	12	1514	16	5	5	0	0	0	7
1989	50004	Aguarón	923	0	0	0	680	19	0	0	0	5	122	0
1989	50005	Aguilón	418	0	0	0	2411	152	0	0	0	1	23	0
1989	50006	Ainzón	784	57	5	52	2445	91	1824	90	1734	6	1	116
1989	50007	Aladrén	89	0	0	0	591	274	0	0	0	3	0	0
1989	50008	Alagón	3580	1633	394	1239	3865	8	9742	1820	7922	2	28	2
1989	50009	Alarba	8	0	0	0	0	7	0	0	0	12	0	0
1989	50010	Alberite de San Juan	51	0	0	0	468	6	2	0	2	0	0	121
1989	50011	Albeta	0	0	0	0	0	0	0	0	0	0	0	0
1989	50012	Alborge	4	0	0	0	40	0	0	0	0	0	0	2
1989	50013	Alcalá de Ebro	14	30	0	30	0	0	2	0	2	1	0	14
1989	50014	Alcalá de Moncayo	373	0	0	0	930	38	970	161	809	13	0	0
1989	50015	Alconchel de Ariza	673	37	0	37	4530	55	648	0	648	1	0	13
1989	50016	Aldehuela de Liestos	102	0	0	0	838	3	98	18	80	0	0	11
1989	50017	Alfajarín	1643	755	80	675	9818	154	1214	119	1095	4	0	426
1989	50018	Alfamén	1266	0	0	0	4684	26	0	0	0	2	93	140
1989	50019	Alforque	4246	0	0	0	1047	0	1801	0	1801	0	120	30
1989	50020	Alhama de Aragón	238	286	3	283	1181	2	0	0	0	5	0	2
1989	50021	Almochuel	253	0	0	0	969	2	520	0	520	0	0	1
1989	50022	Almolda (La)	3603	250	0	250	6042	122	8830	611	8219	0	52	25
1989	50023	Almonacid de la Cuba	1951	99	77	22	2479	0	3880	150	3730	0	74	357
1989	50024	Almonacid de la Sierra	441	100	70	30	782	23	1053	135	918	13	0	0
1989	50025	Almunia de Doña Godina (La)	2184	1218	7	1211	3580	12	1241	140	1101	0	138	2000
1989	50026	Alpartir	2757	0	0	0	1151	49	2246	100	2146	1	257	0
1989	50027	Ambel	544	303	3	300	1100	0	1644	492	1152	0	0	0
1989	50028	Anento	122	0	0	0	1042	3	83	26	57	0	0	3
1989	50029	Aniñón	329	30	17	13	1746	18	0	0	0	35	15	0
1989	50030	Añón de Moncayo	783	40	0	40	1707	144	2348	268	2080	25	0	10
1989	50031	Aranda de Moncayo	440	19	10	9	3460	228	245	22	223	13	0	12
1989	50032	Arándiga	774	0	0	0	4152	125	4	0	4	54	44	24
1989	50033	Ardisa	14	0	0	0	49	4	23	10	13	0	0	0
1989	50034	Ariza	988	454	36	418	6555	42	4	0	4	13	0	350
1989	50035	Artieda	461	0	0	0	0	0	2025	200	1825	0	0	2
1989	50036	Asín	1	0	0	0	0	0	0	0	0	1	0	5
1989	50037	Atea	434	0	0	0	1337	148	2	0	2	4	40	2
1989	50038	Ateca	485	21	9	12	1471	5	100	0	100	20	40	0
1989	50039	Azuara	1477	34	22	12	8601	142	890	90	800	1	62	1149
1989	50040	Badules	132	0	0	0	849	22	198	46	152	2	0	10
1989	50041	Bagüés	39	44	0	44	41	0	2	0	2	0	0	4
1989	50042	Balconchán	24	0	0	0	184	17	2	0	2	3	0	34
1989	50043	Bárboles	414	38	4	34	917	0	1275	100	1175	0	0	0
1989	50044	Bardallur	580	494	12	482	2289	33	0	0	0	0	0	0
1989	50045	Belchite	2253	555	24	531	13379	264	1954	248	1706	21	26	514
1989	50046	Belmonte de Gracián	436	4	4	0	1345	4	1146	140	1006	7	0	0
1989	50047	Berdejo	51	0	0	0	493	0	0	0	0	3	0	0
1989	50048	Berrueco	80	0	0	0	764	0	2	0	2	1	0	10
1989	50050	Bijuesca	200	2	0	2	1874	21	8	0	8	7	0	7
1989	50051	Biota	1787	19	13	6	12018	132	1535	452	1083	0	1	140
1989	50052	Bisimbre	94	0	0	0	713	11	0	0	0	0	2	9
1989	50053	Boquiñeni	6232	0	0	0	2166	17	20854	813	20041	2	0	3
1989	50054	Bordalba	135	0	0	0	1302	35	0	0	0	1	0	0
1989	50055	Borja	2357	1547	150	1397	7875	148	1334	216	1118	25	23	735
1989	50056	Botorrita	335	0	0	0	792	27	0	0	0	1	36	0
1989	50057	Brea de Aragón	80	12	12	0	571	1	0	0	0	17	0	0
1989	50058	Bubierca	79	0	0	0	747	0	0	0	0	5	0	0
1989	50059	Bujaraloz	7102	25	0	25	3458	74	10352	860	9492	1	329	368
1989	50060	Bulbuente	840	30	0	30	833	7	283	39	244	12	46	0
1989	50061	Bureta	140	70	0	70	850	12	51	49	2	1	0	0
1989	50062	Burgo de Ebro (El)	2453	0	0	0	3505	395	4557	570	3987	0	90	0
1989	50063	Buste (El)	35	0	0	0	334	5	0	0	0	1	0	0
1989	50064	Cabañas de Ebro	170	133	40	93	0	0	0	0	0	1	12	0
1989	50065	Cabolafuente	241	0	0	0	2378	0	5	0	5	0	0	90
1989	50066	Cadrete	615	0	0	0	817	125	1410	430	980	1	9	0
1989	50067	Calatayud	729	326	5	321	5089	9	72	62	10	37	1	610
1989	50068	Calatorao	2791	198	105	93	7158	0	8852	1180	7672	1	0	0
1989	50069	Calcena	102	0	0	0	853	96	7	6	1	6	0	0
1989	50070	Calmarza	175	0	0	0	1486	129	4	4	0	12	0	79
1989	50071	Campillo de Aragón	275	0	0	0	2594	40	8	0	8	9	0	12
1989	50072	Carenas	117	0	0	0	1059	10	0	0	0	15	0	0
1989	50073	Cariñena	2828	34	4	30	2961	200	4289	720	3569	1	210	916
1989	50074	Caspe	13829	387	51	336	30340	2036	32404	3474	28930	27	305	1620
1989	50075	Castejón de Alarba	17	0	0	0	120	0	6	6	0	2	0	0
1989	50076	Castejón de las Armas	8	0	0	0	0	0	5	0	5	6	0	9
1989	50077	Castejón de Valdejasa	776	0	0	0	2978	141	1522	111	1411	2	5	40
1989	50078	Castiliscar	469	98	60	38	3530	45	89	16	73	1	0	42
1989	50079	Cervera de la Cañada	311	0	0	0	1788	17	277	40	237	10	0	0
1989	50080	Cerveruela	36	0	0	0	353	2	0	0	0	0	0	0
1989	50081	Cetina	852	267	20	247	5485	85	453	0	453	28	0	13
1989	50082	Cimballa	183	26	0	26	1246	24	82	54	28	5	0	2
1989	50083	Cinco Olivas	18	0	0	0	183	0	0	0	0	0	0	0
1989	50084	Clarés de Ribota	141	0	0	0	1353	41	0	0	0	3	0	0
1989	50085	Codo	285	0	0	0	2740	69	4	0	4	2	0	0
1989	50086	Codos	682	9	6	3	4269	165	600	0	600	29	5	0
1989	50087	Contamina	36	24	1	23	242	2	0	0	0	0	0	0
1989	50088	Cosuenda	1543	0	0	0	1052	4	0	0	0	2	103	0
1989	50089	Cuarte de Huerva	107	0	0	0	1070	0	0	0	0	0	0	0
1989	50090	Cubel	393	55	0	55	1692	13	812	160	652	1	0	0
1989	50091	Cuerlas (Las)	117	0	0	0	1027	22	34	9	25	0	0	7
1989	50092	Chiprana	864	0	0	0	8556	26	2	0	2	2	0	29
1989	50093	Chodes	45	0	0	0	360	43	2	0	2	4	0	54
1989	50094	Daroca	887	8	8	0	2141	4	1697	201	1496	17	14	571
1989	50095	Ejea de los Caballeros	25390	829	162	667	67515	778	72944	7074	65870	33	47	2062
1989	50096	Embid de Ariza	178	0	0	0	1300	0	282	80	202	2	0	12
1989	50098	Encinacorba	335	0	0	0	455	249	1120	300	820	4	12	0
1989	50099	Épila	5146	169	81	88	23811	332	8456	955	7501	4	7	31
1989	50100	Erla	2340	0	0	0	2702	68	7535	744	6791	0	0	0
1989	50101	Escatrón	378	0	0	0	3537	100	8	8	0	8	0	34
1989	50102	Fabara	7485	540	0	540	2336	354	11361	2110	9251	0	150	2214
1989	50104	Farlete	921	0	0	0	6773	235	315	211	104	0	15	0
1989	50105	Fayón	39	0	0	0	0	0	1300	0	1300	1	0	20
1989	50106	Fayos (Los)	25	1	0	1	183	1	8	7	1	2	0	8
1989	50107	Figueruelas	1603	39	39	0	1286	0	2159	250	1909	0	60	4
1989	50108	Fombuena	142	137	0	137	419	24	1	0	1	1	0	0
1989	50109	Frago (El)	59	0	0	0	530	47	0	0	0	0	0	3
1989	50110	Frasno (El)	144	0	0	0	599	45	0	0	0	12	10	0
1989	50111	Fréscano	32	0	0	0	305	10	0	0	0	0	0	0
1989	50113	Fuendejalón	810	0	0	0	4267	135	1679	244	1435	0	0	27
1989	50114	Fuendetodos	641	0	0	0	2427	1039	803	200	603	2	9	250
1989	50115	Fuentes de Ebro	2683	399	64	335	9642	131	5375	304	5071	3	3	111
1989	50116	Fuentes de Jiloca	1437	42	5	37	1314	18	2473	311	2162	29	52	1868
1989	50117	Gallocanta	590	0	0	0	1112	10	2066	374	1692	0	0	8
1989	50118	Gallur	1520	348	49	299	5045	75	2852	346	2506	5	1	41
1989	50119	Gelsa	7777	1304	10	1294	3014	8	9486	400	9086	0	256	0
1989	50120	Godojos	790	0	0	0	685	156	0	0	0	9	50	0
1989	50121	Gotor	40	0	0	0	341	12	3	0	3	2	0	5
1989	50122	Grisel	8	0	0	0	0	0	0	0	0	1	0	451
1989	50123	Grisén	57	0	0	0	565	0	0	0	0	0	0	0
1989	50124	Herrera de los Navarros	1806	8	5	3	7378	287	2078	337	1741	10	96	79
1989	50125	Ibdes	274	4	4	0	2125	259	4	4	0	46	0	42
1989	50126	Illueca	40	30	0	30	153	0	1	0	1	14	0	9
1989	50128	Isuerre	198	0	0	0	1221	745	0	0	0	1	0	0
1989	50129	Jaraba	243	0	0	0	2285	29	0	0	0	13	0	44
1989	50130	Jarque de Moncayo	268	0	0	0	1283	25	1043	40	1003	26	0	37
1989	50131	Jaulín	754	0	0	0	2590	50	302	0	302	0	57	0
1989	50132	Joyosa (La)	691	1166	187	979	0	0	0	0	0	0	0	0
1989	50133	Lagata	1641	44	26	18	1975	48	4658	20	4638	6	0	43
1989	50134	Langa del Castillo	862	0	0	0	1543	17	2358	250	2108	1	0	16
1989	50135	Layana	103	0	0	0	1012	17	0	0	0	0	0	0
1989	50136	Lécera	2089	70	40	30	7406	640	3028	138	2890	31	44	0
1989	50137	Leciñena	3775	270	0	270	9825	1762	7348	150	7198	0	58	24
1989	50138	Lechón	123	0	0	0	654	3	170	86	84	0	0	345
1989	50139	Letux	1124	421	163	258	3823	66	647	245	402	12	41	83
1989	50140	Litago	230	0	0	0	1643	46	106	88	18	10	0	36
1989	50141	Lituénigo	108	0	0	0	462	25	91	84	7	15	0	48
1989	50142	Lobera de Onsella	229	0	0	0	2133	136	2	0	2	0	0	4
1989	50143	Longares	252	40	0	40	1763	18	165	23	142	4	0	265
1989	50144	Longás	155	0	0	0	1178	363	0	0	0	0	0	0
1989	50146	Lucena de Jalón	150	96	3	93	27	0	263	60	203	0	0	0
1989	50147	Luceni	786	863	34	829	2704	123	187	124	63	2	0	66
1989	50148	Luesia	1406	138	3	135	2323	848	3365	184	3181	45	0	285
1989	50149	Luesma	105	0	0	0	847	192	3	0	3	0	0	2
1989	50150	Lumpiaque	648	0	0	0	3313	43	674	80	594	0	0	0
1989	50151	Luna	2708	382	0	382	14319	661	7370	157	7213	8	8	732
1989	50152	Maella	1455	0	0	0	4058	364	2423	142	2281	8	19	591
1989	50153	Magallón	1314	0	0	0	3295	46	3400	420	2980	0	0	130
1989	50154	Mainar	927	0	0	0	2084	10	38	31	7	0	50	1
1989	50155	Malanquilla	73	0	0	0	706	23	0	0	0	0	0	0
1989	50156	Maleján	0	0	0	0	0	0	0	0	0	0	0	0
1989	50157	Malón	1248	0	0	0	639	7	2369	320	2049	0	35	32
1989	50159	Maluenda	789	74	7	67	571	263	2	0	2	35	45	0
1989	50160	Mallén	1252	497	104	393	2873	102	3896	255	3641	0	15	1
1989	50161	Manchones	114	27	20	7	800	8	12	8	4	7	0	11
1989	50162	Mara	190	0	0	0	1154	11	304	38	266	3	0	8
1989	50163	María de Huerva	2973	0	0	0	3953	77	6241	300	5941	1	87	10
1989	50164	Mediana de Aragón	1250	263	39	224	9147	45	352	20	332	5	2	200
1989	50165	Mequinenza	5204	33	16	17	4246	659	10883	702	10181	1	227	817
1989	50166	Mesones de Isuela	990	1	1	0	6380	215	386	177	209	23	30	453
1989	50167	Mezalocha	587	4	4	0	2695	63	240	65	175	4	37	12
1989	50168	Mianos	42	0	0	0	282	7	21	20	1	0	0	3
1989	50169	Miedes de Aragón	525	26	12	14	2544	35	367	86	281	11	22	449
1989	50170	Monegrillo	1501	0	0	0	14457	485	14	13	1	0	0	0
1989	50171	Moneva	353	0	0	0	3415	63	0	0	0	6	0	0
1989	50172	Monreal de Ariza	874	396	24	372	6235	33	185	57	128	5	0	426
1989	50173	Monterde	194	20	0	20	1641	16	10	10	0	6	0	0
1989	50174	Montón	33	0	0	0	262	0	10	8	2	3	0	7
1989	50175	Morata de Jalón	792	25	22	3	1823	71	1343	106	1237	31	15	19
1989	50176	Morata de Jiloca	137	26	13	13	1123	8	8	0	8	3	0	4
1989	50177	Morés	230	0	0	0	1472	11	2	0	2	13	10	54
1989	50178	Moros	337	0	0	0	2488	8	240	40	200	56	0	14
1989	50179	Moyuela	1176	261	130	131	4313	58	1923	187	1736	1	8	69
1989	50180	Mozota	97	0	0	0	957	16	0	0	0	0	0	0
1989	50181	Muel	1533	57	0	57	4754	62	900	400	500	3	57	2
1989	50182	Muela (La)	1314	59	33	26	7507	29	2015	215	1800	0	0	1774
1989	50183	Munébrega	138	77	18	59	771	13	14	0	14	15	0	5
1989	50184	Murero	248	0	0	0	1084	116	822	200	622	6	0	14
1989	50185	Murillo de Gállego	146	0	0	0	1129	195	30	26	4	0	0	5
1989	50186	Navardún	185	0	0	0	1699	135	0	0	0	0	0	0
1989	50187	Nigüella	155	1	1	0	1241	46	89	36	53	6	0	62
1989	50188	Nombrevilla	36	0	0	0	250	1	22	0	22	0	0	0
1989	50189	Nonaspe	2415	0	0	0	1850	466	6895	575	6320	5	48	1069
1989	50190	Novallas	723	34	6	28	753	0	700	51	649	1	52	5
1989	50191	Novillas	1431	315	7	308	2826	33	2916	143	2773	2	9	0
1989	50192	Nuévalos	1073	0	0	0	1582	29	0	0	0	3	130	0
1989	50193	Nuez de Ebro	114	0	0	0	1137	0	0	0	0	0	0	0
1989	50194	Olvés	76	0	0	0	634	2	4	0	4	17	0	2
1989	50195	Orcajo	60	0	0	0	580	20	0	0	0	0	0	0
1989	50196	Orera	123	0	0	0	954	195	0	0	0	10	0	2
1989	50197	Orés	173	0	0	0	1698	19	0	0	0	1	0	0
1989	50198	Oseja	1	0	0	0	0	0	0	0	0	1	0	0
1989	50199	Osera de Ebro	193	100	0	100	0	0	1	1	0	0	15	0
1989	50200	Paniza	198	0	0	0	1213	76	0	0	0	4	8	701
1989	50201	Paracuellos de Jiloca	26	0	0	0	242	0	0	0	0	1	0	60
1989	50202	Paracuellos de la Ribera	74	0	0	0	549	11	0	0	0	30	0	3
1989	50203	Pastriz	389	0	0	0	2169	37	9	0	9	3	23	2
1989	50204	Pedrola	1978	519	116	403	10553	88	759	122	637	3	60	45
1989	50205	Pedrosas (Las)	84	0	0	0	823	21	0	0	0	0	0	0
1989	50206	Perdiguera	1567	0	0	0	4347	132	2711	30	2681	0	46	73
1989	50207	Piedratajada	592	185	0	185	958	33	974	67	907	0	0	2
1989	50208	Pina de Ebro	4641	3098	103	2995	15075	15	4513	193	4320	0	20	50
1989	50209	Pinseque	1477	2234	253	1981	2840	334	12	1	11	2	0	62
1989	50210	Pintanos (Los)	481	77	0	77	4029	149	5	0	5	0	0	8
1989	50211	Plasencia de Jalón	1236	0	0	0	4505	22	1158	30	1128	0	66	83
1989	50212	Pleitas	116	106	24	82	520	7	0	0	0	1	0	5
1989	50213	Plenas	490	0	0	0	2242	0	618	15	603	9	11	53
1989	50214	Pomer	43	0	0	0	405	17	0	0	0	0	0	0
1989	50215	Pozuel de Ariza	70	0	0	0	675	3	18	0	18	0	0	2
1989	50216	Pozuelo de Aragón	820	0	0	0	5715	58	1289	382	907	0	0	15
1989	50217	Pradilla de Ebro	612	309	4	305	3459	52	325	110	215	0	10	18
1989	50218	Puebla de Albortón	315	0	0	0	2770	300	0	0	0	6	0	10
1989	50219	Puebla de Alfindén (La)	724	296	39	257	1778	78	4	0	4	1	55	6
1989	50220	Puendeluna	63	0	0	0	0	0	203	0	203	0	0	1
1989	50221	Purujosa	165	0	0	0	1628	17	0	0	0	1	0	0
1989	50222	Quinto	5375	1942	354	1588	10845	146	12702	1254	11448	0	0	150
1989	50223	Remolinos	1137	122	30	92	1503	14	3062	33	3029	1	0	10
1989	50224	Retascón	124	0	0	0	1226	4	0	0	0	0	0	7
1989	50225	Ricla	1468	147	45	102	7189	78	1364	200	1164	8	23	356
1989	50227	Romanos	783	0	0	0	2282	31	2438	307	2131	0	0	16
1989	50228	Rueda de Jalón	669	16	3	13	5609	0	334	10	324	0	0	7
1989	50229	Ruesca	36	0	0	0	331	0	2	0	2	3	0	0
1989	50230	Sádaba	1993	6	6	0	7422	41	3328	249	3079	1	35	279
1989	50231	Salillas de Jalón	280	49	0	49	2265	0	135	27	108	4	0	10
1989	50232	Salvatierra de Esca	580	204	0	204	2220	276	550	50	500	19	0	0
1989	50233	Samper del Salz	89	40	20	20	534	12	4	0	4	1	0	15
1989	50234	San Martín de la Virgen de Moncayo	127	3	2	1	614	9	167	114	53	3	0	6
1989	50235	San Mateo de Gállego	7073	1176	38	1138	5898	290	14179	1430	12749	8	337	27
1989	50236	Santa Cruz de Grío	126	0	0	0	1066	21	0	0	0	28	0	0
1989	50237	Santa Cruz de Moncayo	107	0	0	0	0	0	1	0	1	3	15	0
1989	50238	Santa Eulalia de Gállego	151	0	0	0	1189	87	753	0	753	0	0	16
1989	50239	Santed	62	0	0	0	582	18	6	0	6	0	0	3
1989	50240	Sástago	4193	166	5	161	12439	491	1670	1	1669	0	205	146
1989	50241	Saviñán	203	45	25	20	894	0	264	36	228	3	1	140
1989	50242	Sediles	28	0	0	0	202	0	0	0	0	11	0	0
1989	50243	Sestrica	348	25	0	25	1410	35	0	0	0	29	25	16
1989	50244	Sierra de Luna	271	6	3	3	2561	65	0	0	0	0	0	0
1989	50245	Sigüés	173	0	0	0	1563	152	0	0	0	0	0	0
1989	50246	Sisamón	138	0	0	0	1309	49	1	0	1	1	0	0
