Provincia código	Provincia nombre	Nacionalidad Continente codigo	Nacionalidad Continente	Tipo variación	Sexo	Año	Variaciones
22	Huesca	1	Europa	Externa	Hombres	2016	1850
22	Huesca	1	Europa	Externa	Mujeres	2016	1702
22	Huesca	1	Europa	Interna	Hombres	2016	1689
22	Huesca	1	Europa	Interna	Mujeres	2016	1647
22	Huesca	2	África	Externa	Hombres	2016	492
22	Huesca	2	África	Externa	Mujeres	2016	206
22	Huesca	2	África	Interna	Hombres	2016	144
22	Huesca	2	África	Interna	Mujeres	2016	69
22	Huesca	3	América	Externa	Hombres	2016	245
22	Huesca	3	América	Externa	Mujeres	2016	369
22	Huesca	3	América	Interna	Hombres	2016	46
22	Huesca	3	América	Interna	Mujeres	2016	108
22	Huesca	4	Asia	Externa	Hombres	2016	71
22	Huesca	4	Asia	Externa	Mujeres	2016	47
22	Huesca	4	Asia	Interna	Hombres	2016	28
22	Huesca	4	Asia	Interna	Mujeres	2016	15
22	Huesca	5	Otros continentes	Externa	Hombres	2016	6
22	Huesca	5	Otros continentes	Externa	Mujeres	2016	1
22	Huesca	5	Otros continentes	Interna	Hombres	2016	1
22	Huesca	5	Otros continentes	Interna	Mujeres	2016	1
44	Teruel	1	Europa	Externa	Hombres	2016	887
44	Teruel	1	Europa	Externa	Mujeres	2016	878
44	Teruel	1	Europa	Interna	Hombres	2016	964
44	Teruel	1	Europa	Interna	Mujeres	2016	929
44	Teruel	2	África	Externa	Hombres	2016	257
44	Teruel	2	África	Externa	Mujeres	2016	172
44	Teruel	2	África	Interna	Hombres	2016	198
44	Teruel	2	África	Interna	Mujeres	2016	126
44	Teruel	3	América	Externa	Hombres	2016	105
44	Teruel	3	América	Externa	Mujeres	2016	147
44	Teruel	3	América	Interna	Hombres	2016	27
44	Teruel	3	América	Interna	Mujeres	2016	52
44	Teruel	4	Asia	Externa	Hombres	2016	43
44	Teruel	4	Asia	Externa	Mujeres	2016	31
44	Teruel	4	Asia	Interna	Hombres	2016	19
44	Teruel	4	Asia	Interna	Mujeres	2016	14
44	Teruel	5	Otros continentes	Externa	Hombres	2016	1
50	Zaragoza	1	Europa	Externa	Hombres	2016	6193
50	Zaragoza	1	Europa	Externa	Mujeres	2016	5883
50	Zaragoza	1	Europa	Interna	Hombres	2016	5875
