Comarca codigo	Comarca nombre	Estado del edificio	Estado del edificio, código	Nº edificios
01	La Jacetania	Ruinoso	1	31
01	La Jacetania	Malo	2	59
01	La Jacetania	Deficiente	3	375
01	La Jacetania	Bueno	4	5373
02	Alto Gállego	Ruinoso	1	9
02	Alto Gállego	Malo	2	28
02	Alto Gállego	Deficiente	3	165
02	Alto Gállego	Bueno	4	4021
03	Sobrarbe	Ruinoso	1	30
03	Sobrarbe	Malo	2	83
03	Sobrarbe	Deficiente	3	286
03	Sobrarbe	Bueno	4	3574
04	La Ribagorza	Ruinoso	1	34
04	La Ribagorza	Malo	2	187
04	La Ribagorza	Deficiente	3	501
04	La Ribagorza	Bueno	4	6181
05	Cinco Villas	Ruinoso	1	72
05	Cinco Villas	Malo	2	197
05	Cinco Villas	Deficiente	3	765
05	Cinco Villas	Bueno	4	11281
06	Hoya de Huesca / Plana de Uesca	Ruinoso	1	61
06	Hoya de Huesca / Plana de Uesca	Malo	2	209
06	Hoya de Huesca / Plana de Uesca	Deficiente	3	1019
06	Hoya de Huesca / Plana de Uesca	Bueno	4	11350
07	Somontano de Barbastro	Ruinoso	1	47
07	Somontano de Barbastro	Malo	2	175
07	Somontano de Barbastro	Deficiente	3	870
07	Somontano de Barbastro	Bueno	4	5776
08	Cinca Medio	Ruinoso	1	45
08	Cinca Medio	Malo	2	222
08	Cinca Medio	Deficiente	3	675
08	Cinca Medio	Bueno	4	5809
09	La Litera / La Llitera	Ruinoso	1	27
09	La Litera / La Llitera	Malo	2	128
09	La Litera / La Llitera	Deficiente	3	489
09	La Litera / La Llitera	Bueno	4	6129
10	Los Monegros	Ruinoso	1	80
10	Los Monegros	Malo	2	230
10	Los Monegros	Deficiente	3	1112
10	Los Monegros	Bueno	4	8091
11	Bajo Cinca / Baix Cinca	Ruinoso	1	44
11	Bajo Cinca / Baix Cinca	Malo	2	108
11	Bajo Cinca / Baix Cinca	Deficiente	3	475
11	Bajo Cinca / Baix Cinca	Bueno	4	5508
12	Tarazona y el Moncayo	Ruinoso	1	100
12	Tarazona y el Moncayo	Malo	2	289
12	Tarazona y el Moncayo	Deficiente	3	803
12	Tarazona y el Moncayo	Bueno	4	5126
