Año	CCAA código	CCAA nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2016	02	Aragón	473364	37399,09	1294749	69285207,14	39064203,23	30221003,8
2015	02	Aragón	473364	37399,09	1294749	69285207,14	39064203,23	30221003,8
2014	02	Aragón	473459	37376,61	1284232	68204253,08	38189168,98	30015084,18
2013	02	Aragón	470137	36965,36	1270786	67319834,67	37520739,8	29799094,74
2012	02	Aragón	468396	36553,4	1266174	49293720,22	27617518,97	21676201,1
2011	02	Aragón	472276	39056,04	1248680	48191168,15	26973973,47	21217194,8
2010	02	Aragón	470298	38410,69	1225636	46820122,11	26127264,32	20692857,86
2009	02	Aragón	467962	37691,17	1192065	43681924,36	24352751,68	19329172,59
2008	02	Aragón	464158	35751,02	1152429	39579746,96	22300112,32	17279634,69
2007	02	Aragón	462681	34020,11	1122074	37181635,37	20967350,45	16214284,77
2006	02	Aragón	460971	34446,43	1105421	34525980,88	19584124,05	14941857,13
2005	02	Aragón	457993	40384,91	1084090			
2004	02	Aragón	455613	39605,45	1065056			
2003	02	Aragón	452763	38807,76	1045831			
2002	02	Aragón	449953	37413,45	1030483			
2001	02	Aragón	448024	36366,12	1016545			
