Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22001	Abiego	352777,84	44200	6000	44600	75384,64	16800	15000	89861,81	0	60931,39	Presupuestos	Consolidada
2004	22002	Abizanda	568291,66	150400	1500	41110	96700	23212	0	255369,66	0	0	Presupuestos	Consolidada
2004	22003	Adahuesca	424902,02	26700	0	51700	40962,59	44481,8	0	184560	0	76497,63	Presupuestos	Consolidada
2004	22004	Agüero	380270	19500	11000	213020	77200	20170	0	39380	0	0	Presupuestos	Consolidada
2004	22006	Aísa	1207722,34	490499,52	45000	116725,06	147473	28288,76	0	379736	0	0	Presupuestos	Consolidada
2004	22007	Albalate de Cinca	910336,57	170123,19	23000	112650	228939,85	1100	0	249523,53	0	125000	Presupuestos	Consolidada
2004	22008	Albalatillo	174730	29890	3000	20750	49640	150	0	71300	0	0	Presupuestos	Consolidada
2004	22009	Albelda	1079167,58	156680,48	17000	124167,82	235684,19	14150	120202,42	342571,95	0	68710,72	Presupuestos	Consolidada
2004	22011	Albero Alto	379816,48	12538,19	2500	9221,36	32058,62	7900,66	0	315597,65	0	0	Presupuestos	Consolidada
2004	22012	Albero Bajo	195640	32500	8000	16225	29730	12850	10000	86335	0	0	Presupuestos	Consolidada
2004	22013	Alberuela de Tubo	500220	52730	950	23730	119160	9650	0	294000	0	0	Presupuestos	Consolidada
2004	22014	Alcalá de Gurrea											Presupuestos	Sin información
2004	22015	Alcalá del Obispo											Presupuestos	Sin información
2004	22016	Alcampell	934727,63	148421,38	10000	110774,06	149800	27732,02	0	42580	0	445420,17	Presupuestos	Consolidada
2004	22017	Alcolea de Cinca	1632534,62	255733,57	22000	167397,38	285240,48	21700	0	880463,19	0	0	Presupuestos	Consolidada
2004	22018	Alcubierre	341152	77500	7000	75263	81176	22001	14881	33331	0	30000	Presupuestos	Consolidada
2004	22019	Alerre	275000	33100	10000	16600	51100	600	0	163600	0	0	Presupuestos	Consolidada
2004	22020	Alfántega	140390	21830	7800	10616	34275,89	5739,91	0	60128,2	0	0	Presupuestos	Consolidada
2004	22021	Almudévar	2076403,43	463054	90763	313907,73	490910,76	9202,73	57550,85	349727	1287,36	300000	Presupuestos	Consolidada
2004	22022	Almunia de San Juan											Presupuestos	Sin información
2004	22023	Almuniente	419891,44	99197,13	0	42033,21	125459,28	7721,01	30103,09	57500	0	57877,72	Presupuestos	Consolidada
2004	22024	Alquézar	1192770	43717	17000	72700	260954	21400	372000	404999	0	0	Presupuestos	Consolidada
2004	22025	Altorricón	1286045	253737	38200	314508	281000	3000	6000	389600	0	0	Presupuestos	Consolidada
2004	22027	Angüés	331870,3	54103,18	0	65595,49	90207,76	6968,46	0	114995,41	0	0	Presupuestos	Consolidada
2004	22028	Ansó	1411548,49	54850	5820	15055	324590	84783,49	0	809600	0	116850	Presupuestos	Consolidada
2004	22029	Antillón	177811	21051	0	27760	43146	21890	0	63964	0	0	Presupuestos	Consolidada
2004	22032	Aragüés del Puerto	167700	19500	6700	7400	34500	24600	0	75000	0	0	Presupuestos	Consolidada
2004	22035	Arén	540200	56000	0	52700	111200	300	0	320000	0	0	Presupuestos	Consolidada
2004	22036	Argavieso											Presupuestos	Sin información
2004	22037	Arguis	223387	25228	10219	10000	30836	64947	36857	45300	0	0	Presupuestos	Consolidada
2004	22039	Ayerbe	969040	186000	15400	108710	287620	13800	0	297510	0	60000	Presupuestos	Consolidada
2004	22040	Azanuy-Alins	204072	29704	5100	34449	64648	30	0	70141	0	0	Presupuestos	Consolidada
2004	22041	Azara	212840	17100	3000	20250	53400	600	0	118490	0	0	Presupuestos	Consolidada
2004	22042	Azlor	449101	16195	2500	10590	48670	3460	0	367686	0	0	Presupuestos	Consolidada
2004	22043	Baells											Presupuestos	Sin información
