Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas mano obra familiar sólo trabajan en la explotación	Personas mano obra familiar trabajan también en otra activ. lucrativa	Personas mano obra familiar trabajan en otra actividad como principal	Personas mano obra familiar trabajan en otra actividad como secundaria	Personas mano obra familiar titulares que sólo trabajan en la explotación	Personas mano obra familiar titulares que trabajan también en otra activ. lucrativa	Personas mano obra familiar titulares que trabajan en otra actividad como principal	Personas mano obra familiar titulares que trabajan en otra actividad como secundaria	Personas mano obra familiar cónyuges que sólo trabajan en la explotación	Personas mano obra familiar cónyuges que trabajan también en otra activ. Lucrativa	Personas mano obra familiar cónyuges que trabajan en otra actividad como principal	Personas mano obra familiar cónyuges que trabajan en otra actividad como secundaria	Personas mano obra familiar otros, que sólo trabajan en la explotación	Personas mano obra familiar otros, que  trabajan también en otra activ. lucrativa	Personas mano obra familiar otros,  trabajan en otra actividad como principal	Personas mano obra familiar otros, que trabajan en otra actividad como secundaria	Personas mano obra familiar con <25% trabajando en explotación	Personas mano obra familiar con >24,99 y <50% trabajando en explotación	Personas mano obra familiar con >49,99 y <75% trabajando en explotación	Personas mano obra familiar con >74,99 y <100% trabajando en explotación	Personas mano obra familiar con 100% trabajando en explotación
1989	22001	Abiego	124	100	24	21	3	63	20	18	2	30	2	1	1	7	2	2	0	37	37	0	7	43
1989	22002	Abizanda	53	32	21	20	1	25	14	13	1	1	0	0	0	6	7	7	0	25	10	0	0	18
1989	22003	Adahuesca	69	51	18	17	1	48	18	17	1	1	0	0	0	2	0	0	0	32	15	13	1	8
1989	22004	Agüero	62	46	16	15	1	44	15	15	0	0	0	0	0	2	1	0	1	48	5	0	3	6
1989	22006	Aísa	63	46	17	15	2	32	13	11	2	13	1	1	0	1	3	3	0	27	13	5	2	16
1989	22007	Albalate de Cinca	448	297	151	121	30	195	93	76	17	49	13	6	7	53	45	39	6	231	58	21	23	115
1989	22008	Albalatillo	24	16	8	7	1	15	8	7	1	1	0	0	0	0	0	0	0	16	2	2	1	3
1989	22009	Albelda	595	474	121	83	38	216	64	42	22	121	13	11	2	137	44	30	14	226	94	46	13	216
1989	22011	Albero Alto	29	27	2	2	0	22	1	1	0	0	0	0	0	5	1	1	0	4	16	8	1	0
1989	22012	Albero Bajo	53	31	22	16	6	21	15	11	4	6	0	0	0	4	7	5	2	34	5	5	6	3
1989	22013	Alberuela de Tubo	102	88	14	11	3	63	9	7	2	12	0	0	0	13	5	4	1	25	34	16	16	11
1989	22014	Alcalá de Gurrea	39	30	9	7	2	24	7	5	2	0	0	0	0	6	2	2	0	14	1	3	2	19
1989	22015	Alcalá del Obispo	108	87	21	21	0	81	18	18	0	1	0	0	0	5	3	3	0	57	11	13	25	2
1989	22016	Alcampell	426	352	74	44	30	194	44	26	18	102	7	4	3	56	23	14	9	191	73	49	84	29
1989	22017	Alcolea de Cinca	373	229	144	131	13	179	111	98	13	18	2	2	0	32	31	31	0	215	34	13	11	100
1989	22018	Alcubierre	148	129	19	14	5	108	15	13	2	7	0	0	0	14	4	1	3	80	6	1	0	61
1989	22019	Alerre	17	6	11	9	2	6	11	9	2	0	0	0	0	0	0	0	0	10	2	4	1	0
1989	22020	Alfántega	44	29	15	12	3	17	12	10	2	8	1	1	0	4	2	1	1	25	3	2	3	11
1989	22021	Almudévar	622	344	278	268	10	284	241	234	7	17	5	5	0	43	32	29	3	417	50	20	85	50
1989	22022	Almunia de San Juan	124	86	38	37	1	69	35	34	1	8	0	0	0	9	3	3	0	71	15	8	5	25
1989	22023	Almuniente	149	101	48	42	6	84	41	35	6	5	2	2	0	12	5	5	0	69	17	13	34	16
1989	22024	Alquézar	112	89	23	22	1	79	17	16	1	4	0	0	0	6	6	6	0	43	29	17	7	16
1989	22025	Altorricón	531	370	161	148	13	198	94	86	8	101	16	14	2	71	51	48	3	243	47	31	34	176
1989	22027	Angüés	127	110	17	17	0	95	12	12	0	1	0	0	0	14	5	5	0	80	9	24	14	0
1989	22028	Ansó	33	31	2	2	0	24	1	1	0	1	0	0	0	6	1	1	0	5	1	0	1	26
1989	22029	Antillón	48	41	7	6	1	32	6	5	1	6	0	0	0	3	1	1	0	21	10	10	2	5
1989	22032	Aragüés del Puerto	38	27	11	11	0	19	4	4	0	2	2	2	0	6	5	5	0	9	2	6	4	17
1989	22035	Arén	108	89	19	18	1	61	16	15	1	11	0	0	0	17	3	3	0	27	19	8	0	54
1989	22036	Argavieso	45	36	9	9	0	32	8	8	0	1	0	0	0	3	1	1	0	18	10	8	9	0
1989	22037	Arguis	16	10	6	6	0	10	5	5	0	0	1	1	0	0	0	0	0	11	0	1	0	4
1989	22039	Ayerbe	245	138	107	99	8	125	90	84	6	0	0	0	0	13	17	15	2	170	20	15	34	6
1989	22040	Azanuy-Alins	100	74	26	22	4	71	25	21	4	1	0	0	0	2	1	1	0	57	7	2	3	31
1989	22041	Azara	85	61	24	24	0	35	24	24	0	25	0	0	0	1	0	0	0	42	29	1	1	12
1989	22042	Azlor	73	51	22	21	1	36	20	19	1	10	0	0	0	5	2	2	0	34	21	1	3	14
1989	22043	Baells	59	52	7	4	3	48	5	3	2	4	0	0	0	0	2	1	1	15	10	5	2	27
1989	22044	Bailo	107	80	27	23	4	66	24	21	3	8	0	0	0	6	3	2	1	44	11	11	7	34
1989	22045	Baldellou	84	52	32	28	4	45	26	23	3	0	1	1	0	7	5	4	1	60	4	1	9	10
1989	22046	Ballobar	336	265	71	53	18	135	41	27	14	50	3	3	0	80	27	23	4	153	51	26	2	104
1989	22047	Banastás	6	5	1	1	0	5	1	1	0	0	0	0	0	0	0	0	0	3	0	1	2	0
1989	22048	Barbastro	819	493	326	323	3	393	259	256	3	57	8	8	0	43	59	59	0	577	115	33	62	32
1989	22049	Barbués	53	32	21	18	3	27	18	15	3	3	0	0	0	2	3	3	0	22	8	6	11	6
1989	22050	Barbuñales	35	18	17	14	3	17	14	12	2	1	0	0	0	0	3	2	1	27	2	6	0	0
1989	22051	Bárcabo	58	36	22	20	2	24	15	13	2	7	0	0	0	5	7	7	0	31	10	3	5	9
1989	22052	Belver de Cinca	399	241	158	119	39	161	93	67	26	33	1	1	0	47	64	51	13	217	30	39	104	9
1989	22053	Benabarre	298	234	64	50	14	157	48	39	9	47	3	3	0	30	13	8	5	155	44	21	45	33
1989	22054	Benasque	70	57	13	12	1	45	12	12	0	7	1	0	1	5	0	0	0	33	12	4	5	16
1989	22055	Berbegal	119	96	23	20	3	66	22	20	2	22	0	0	0	8	1	0	1	58	8	9	10	34
1989	22057	Bielsa	116	103	13	13	0	76	13	13	0	16	0	0	0	11	0	0	0	75	12	9	4	16
1989	22058	Bierge	193	134	59	58	1	117	54	53	1	15	1	1	0	2	4	4	0	148	13	4	4	24
1989	22059	Biescas	344	237	107	98	9	124	53	50	3	88	10	7	3	25	44	41	3	243	48	9	2	42
1989	22060	Binaced	529	412	117	99	18	178	52	39	13	98	11	11	0	136	54	49	5	266	71	26	42	124
1989	22061	Binéfar	244	167	77	71	6	115	59	53	6	38	2	2	0	14	16	16	0	112	33	23	50	26
1989	22062	Bisaurri	86	77	9	8	1	48	6	5	1	21	0	0	0	8	3	3	0	12	27	8	0	39
1989	22063	Biscarrués	74	62	12	11	1	58	12	11	1	0	0	0	0	4	0	0	0	35	8	0	7	24
1989	22064	Blecua y Torres	64	44	20	20	0	39	16	16	0	0	0	0	0	5	4	4	0	32	1	7	15	9
1989	22066	Boltaña	97	70	27	23	4	59	23	20	3	3	0	0	0	8	4	3	1	67	3	4	1	22
1989	22067	Bonansa	30	28	2	2	0	14	1	1	0	7	1	1	0	7	0	0	0	0	11	1	2	16
1989	22068	Borau	31	23	8	8	0	21	7	7	0	2	0	0	0	0	1	1	0	18	4	0	4	5
1989	22069	Broto	191	103	88	73	15	64	77	70	7	21	1	0	1	18	10	3	7	106	17	14	19	35
