CCAA codigo	CCAA nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Personas
02	Aragón	1	Soltero	1	Hombre	201253,610920459
02	Aragón	2	Casado	1	Hombre	319966,338898018
02	Aragón	3	Viudo	1	Hombre	16942,2301226628
02	Aragón	4	Separado	1	Hombre	8040,4252634226
02	Aragón	5	Divorciado	1	Hombre	15804,5278766781
02	Aragón	1	Soltero	6	Mujer	153483,73481123
02	Aragón	2	Casado	6	Mujer	314853,505981176
02	Aragón	3	Viudo	6	Mujer	73928,0713771715
02	Aragón	4	Separado	6	Mujer	8356,3707890886
02	Aragón	5	Divorciado	6	Mujer	19493,1917041768
