Año	Residencia comarca código	Residencia comarca nombre	Sexo	% de población de 0 a 19 años	% de población de 20 a 64 años	% de población de 65 y más años	% de población menor de 15	% de población menor de 25	% de población menor de 35	% de población menor de 45	Edad media de la población	Índice de envejecimiento	Índice de juventud	Índice de vejez	Índice de ancianidad	Índice de sobreenvejecimiento	Tasa global de dependencia	Tasa global de dependencia ancianos	Tasa global de dependencia jóvenes	Índice estructura de población activa total	Índice reemplazamiento edad activa total	Tasa de masculinidad	Índice de maternidad	Índice de potencialidad	Personas
1998	15	Ribera Alta del Ebro	Mujeres	19,0587138863001	54,641192917055	26,3000931966449	12,9636533084809	25,4054054054054	38,3690587138863	52,1621621621622	44,7281453867661	137,99511002445	49,2912827781715	202,875629043853	36,0028348688873	11,3040396881644	64,6463096516802	43,3021328832285	21,3441767684517	114,472800537273	76,1627906976744	0	7,61804826862539	101,618440411967	10730
1998	16	Valdejalón	Mujeres	17,6379776148205	54,5445773832497	27,8174450019298	12,2057120802779	24,2570436125048	38,6530297182555	50,2219220378232	45,5630065611733	157,713347921225	43,877904960111	227,905138339921	34,2004856052723	13,0766562608394	66,7310167310167	46,3803088803089	20,3507078507079	115,490472829922	69,8461538461538	0	8,12625923438549	126,187717265353	10364
1998	17	Central	Mujeres	19,0857101381778	61,4088144655705	19,5054753962518	12,7302584822522	26,9454214437143	42,1101974529805	56,6398819334606	41,9047619767677	102,199369345101	65,2650510876475	153,221361714259	34,4388111074934	11,343163247903	47,5704021064846	28,7843084750301	18,7860936314545	115,522636159186	93,6454849498328	0	7,56319538751102	107,617607146896	330661
1998	18	Ribera Baja del Ebro	Mujeres	17,8371391641534	54,4161999138302	27,7466609220164	11,8698836708315	23,696682464455	36,6867729426971	50,2585092632486	45,7632485997415	155,555555555556	42,7795031055901	233,756805807623	35,1708074534161	11,6459627329193	65,6082768462362	45,9507670353193	19,6575098109169	110,872894333844	68,2634730538922	0	8,47290640394089	99,6583143507973	4642
1998	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	17,9515769353297	53,7113730487416	28,3370500159286	11,8827652118509	24,3071041733036	36,2535839439312	48,598279706913	46,2701497292131	157,852706299911	41,9336706014615	238,471849865952	36,8184373243395	13,3783024170883	67,2795097255529	47,4020783373301	19,8774313882228	103,916161059018	73,6961451247166	0	7,3469387755102	98,6266094420601	6278
1998	20	Comunidad de Calatayud	Mujeres	12,3910850224709	48,6746766944878	38,9342382830414	8,07117307163166	17,7290653948455	29,3130331101532	38,099605613134	52,1007520865817	314,211695040711	20,7302709069494	482,386363636364	34,793875147232	15,2650176678445	88,6985115957079	73,4683281412253	15,2301834544825	95,7571576405657	44,3908323281062	0	7,20576461168935	128,930817610063	10903
1998	21	Campo de Cariñena	Mujeres	16,3104378501764	52,7287819049595	30,9607802448641	11,0603859721934	22,2037767171612	35,3600332019091	47,9145050840423	47,090786470222	189,821882951654	35,7238605898123	279,924953095685	30,0268096514745	12,6675603217158	72,4767358625626	53,4001431639227	19,0765926986399	112,210200927357	66,3430420711974	0	7,8273958855996	111,678832116788	4819
1998	22	Campo de Belchite	Mujeres	11,5367679436372	49,9339498018494	38,5292822545134	8,19022457067371	16,6006164685161	29,2382210479965	38,1770145310436	52,1767943637164	333,969465648855	21,2571428571429	470,430107526882	33,4857142857143	16,5714285714286	87,6859504132231	72,3140495867769	15,3719008264463	91,36	33,695652173913	0	8,00508259212198	130,097087378641	2271
1998	23	Bajo Martín	Mujeres	16,121555498326	49,9613700746845	33,9170744269894	10,7391192377028	21,8645377285604	33,1444759206799	43,857841874839	48,9105073396858	210,38338658147	31,6628701594533	315,827338129496	35,9908883826879	13,8192862566439	80,6886924150768	61,2843182875756	19,4043741275012	103,961352657005	59,581881533101	0	7,25423728813559	109,256198347107	3883
1998	24	Campo de Daroca	Mujeres	11,8246687054027	50,5946313285763	37,5806999660211	8,63064899762147	16,9554875976894	28,6102616377846	38,1243628950051	52,0276928304451	317,816091954023	22,9656419529837	435,433070866142	32,9113924050633	15,6419529837251	85,9128237523689	69,8673404927353	16,0454832596336	87,3646209386282	26,5625	0	6,92076228686058	120,78239608802	2943
