Municipio código	Municipio nombre	SAU (Ha.)	Superficie total (Ha.)	Porcentaje de SAU sobre la superficie total de explotaciones (%)
22001	Abiego	2240,47	3500,7	64,0006284457394
22002	Abizanda	1114,09	1605,67	69,38474281764
22003	Adahuesca	2028,6	2327,2	87,1691302853214
22004	Agüero	626,91	896,11	69,9590452065037
22006	Aísa	6322,32	7870,03	80,3341283324206
22007	Albalate de Cinca	3208,63	3547,62	90,4445797464215
22008	Albalatillo	876,65	909,8	96,3563420531985
22009	Albelda	4055,06	4203,17	96,4762310351473
22011	Albero Alto	1641,8	1657,98	99,0241136805028
22012	Albero Bajo	1463,75	1543,2	94,8516070502851
22013	Alberuela de Tubo	2136,85	2176,18	98,1927046475935
22014	Alcalá de Gurrea	6066,85	6270,31	96,7551843529267
22015	Alcalá del Obispo	4437,5	4558,52	97,3451909830384
22016	Alcampell	4059,75	4259,91	95,3013091825884
22017	Alcolea de Cinca	5184,78	5548,27	93,4485884789313
22018	Alcubierre	4733,45	4884,24	96,9127233714969
22019	Alerre	658,83	694,68	94,839350492313
22020	Alfántega	560,59	685,75	81,7484506015312
22021	Almudévar	15544,53	16485,4	94,2927074866245
22022	Almunia de San Juan	2738,22	3309,76	82,7316784298559
22023	Almuniente	3127,54	3186,26	98,1570869922731
22024	Alquézar	775,27	1153,23	67,225965332154
22025	Altorricón	2974,13	3072,84	96,7876622277763
22027	Angüés	3432,56	3636,85	94,3827763036694
22028	Ansó	11696,34	26122,12	44,7756154554071
22029	Antillón	2000,53	2140,01	93,4822734473203
22032	Aragüés del Puerto	1370,47	6483,12	21,1390503337899
22035	Arén	5752,54	7535,73	76,3368645108039
22036	Argavieso	863,48	884,32	97,6433870092274
22037	Arguis	1888,66	2347,13	80,4667828369115
22039	Ayerbe	3676,76	4270,74	86,0918716662686
22040	Azanuy-Alins	2607,59	2676,27	97,4337417375676
22041	Azara	911,55	962,65	94,6917363527762
22042	Azlor	979,93	1065,37	91,9802509926129
22043	Baells	1552,77	1872,29	82,9342676615268
22044	Bailo	7177,11	12930,19	55,5066089516086
22045	Baldellou	716,4	916,85	78,1370998527567
22046	Ballobar	9304,58	9833,85	94,6178760099046
22047	Banastás	314,19	324,7	96,763165999384
22048	Barbastro	7721,09	8831,8	87,4237414796531
22049	Barbués	1555,28	1663,16	93,5135525144905
22050	Barbuñales	1409,54	1882,86	74,8616466439353
22051	Bárcabo	3049,83	4169,01	73,1547777529917
22052	Belver de Cinca	6853,41	7230,31	94,7872221246392
22053	Benabarre	7294,84	9133,25	79,8712397010922
22054	Benasque	2553,2	11521	22,1612707230275
22055	Berbegal	3286,33	3441,67	95,4864934755511
22057	Bielsa	7207,02	19423,77	37,1041255121946
22058	Bierge	4253,29	8291,15	51,2991563293391
22059	Biescas	7153,15	15830,05	45,187159863677
22060	Binaced	6522,55	6887,46	94,7018204098463
22061	Binéfar	1897,07	1980,69	95,7782388965462
22062	Bisaurri	4187,22	5353,91	78,2086363050556
22063	Biscarrués	2212,9	2416,46	91,5761071981328
22064	Blecua y Torres	2961,47	3017	98,1594298972489
22066	Boltaña	3371,33	8491,68	39,7015667100032
22067	Bonansa	1300,73	1446,44	89,9263018168745
22068	Borau	937,3	3612,21	25,9481037924152
22069	Broto	4621,12	12205,37	37,8613675783692
22072	Caldearenas	4193,27	14278,59	29,3675355899987
22074	Campo	503,41	620,13	81,1781400674052
22075	Camporrells	791,81	1723,24	45,9489101924282
22076	Canal de Berdún	6053,96	6973,26	86,8167829680809
22077	Candasnos	7046,11	7186,28	98,0494776156788
22078	Canfranc	3476,66	6825,77	50,9343268232009
22079	Capdesaso	845,75	875,75	96,5743648301456
22080	Capella	2330,68	3063,21	76,0861971591892
22081	Casbas de Huesca	4032,81	4500,04	89,6172034026364
22082	Castejón del Puente	1809,01	2051,69	88,1717023526946
22083	Castejón de Monegros	9766,16	10067,05	97,0111403042599
22084	Castejón de Sos	1869,55	2108	88,688330170778
22085	Castelflorite	1773,48	1876,66	94,5019342875108
22086	Castiello de Jaca	644,7	1563,8	41,2264995523724
22087	Castigaleu	1551,03	2206,55	70,2920849289615
22088	Castillazuelo	802,63	939,01	85,476193011789
22089	Castillonroy	1633,53	1720,04	94,9704658031209
22090	Colungo	855,71	1473,84	58,0598979536449
22094	Chalamera	806,72	941,54	85,680905750154
22095	Chía	1904,63	2083,92	91,3965027448271
22096	Chimillas	798,15	832,79	95,8404879981748
22099	Esplús	7073,7	7394,21	95,6653922460953
22102	Estada	517,62	1158,8	44,6686227131515
22103	Estadilla	4028,56	4383,15	91,9101559380811
22105	Estopiñán del Castillo	2817,25	3759,74	74,9320431731981
22106	Fago	2	39,82	5,02260170768458
22107	Fanlo	10486,03	14934,13	70,2152050370527
22109	Fiscal	5549,28	13420,3	41,3498953078545
22110	Fonz	4583,17	4971,41	92,1905455393943
22111	Foradada del Toscar	4938,76	7455,45	66,2436204387394
22112	Fraga	24921,7	39684,06	62,8002779957494
22113	Fueva (La)	5345,41	7132,64	74,9429383790574
22114	Gistaín	1955,8	7212,75	27,115871200305
22115	Grado (El)	1563,48	2416,26	64,7066126989645
22116	Grañén	9929,34	10455,87	94,9642640928015
22117	Graus	10416,56	16385,54	63,5716613550728
22119	Gurrea de Gállego	14184,48	14576,91	97,3078656587713
22122	Hoz de Jaca	292,85	1134,91	25,8038082314897
22124	Huerto	5335,25	5662,66	94,2180883189173
22125	Huesca	13619,9	15699,62	86,7530551694882
22126	Ibieca	936,49	1071,55	87,3958284727731
22127	Igriés	1532,01	1713,93	89,3857975529922
22128	Ilche	4130,83	4258,84	96,9942519559317
22129	Isábena	3190,76	4229,39	75,4425579102424
22130	Jaca	12622,57	20984,71	60,1512720452177
22131	Jasa	57,77	114,8	50,3222996515679
22133	Labuerda	363,25	470,51	77,2034600752375
22135	Laluenga	3136,5	3222,39	97,3345870611565
22136	Lalueza	8029,98	8265,22	97,1538567636433
22137	Lanaja	12357,82	12663,43	97,5866728050773
22139	Laperdiguera	863,07	869,13	99,302751026889
22141	Lascellas-Ponzano	1755,92	1967,65	89,2394480725739
22142	Lascuarre	999,42	1361,8	73,3896313702453
22143	Laspaúles	3404,11	4176,62	81,5039433800537
22144	Laspuña	3772,79	4259,54	88,5727097292196
22149	Loarre	3188,59	6081,8	52,4283929099938
22150	Loporzano	7664,88	12719,53	60,2607171805876
22151	Loscorrales	2191,27	2260,31	96,9455517163575
22155	Monesma y Cajigar	3052,73	4627,17	65,9740186766425
22156	Monflorite-Lascasas	2551,67	2652,46	96,2001311989625
22157	Montanuy	6027,26	7389,46	81,5656353779573
22158	Monzón	11882,88	12952,88	91,7392888685759
22160	Naval	1034,42	1502,36	68,8530046060864
22162	Novales	1271,38	1413,11	89,9703490881814
22163	Nueno	5151,9	7595,73	67,8262655465637
22164	Olvena	241,74	379,94	63,6258356582618
22165	Ontiñena	7065,04	7332,76	96,3489872844604
22167	Osso de Cinca	2429,03	2594,9	93,6078461597749
22168	Palo	331,93	414,03	80,1705190445137
22170	Panticosa	5652,25	9212,92	61,3513413771095
22172	Peñalba	10716,16	10938,82	97,9644970846947
22173	Peñas de Riglos (Las)	2691,88	6813,27	39,5093692162501
22174	Peralta de Alcofea	10648,78	10995,82	96,8438915878943
22175	Peralta de Calasanz	3189,34	4425,26	72,071245531336
22176	Peraltilla	843,36	945,94	89,1557604076368
22177	Perarrúa	877,93	1522,94	57,6470510985331
22178	Pertusa	2479,95	2560,06	96,8707764661766
22181	Piracés	1415,32	1593,11	88,8400675408478
22182	Plan	1285,45	4545,19	28,2815459859764
22184	Poleñino	2528,63	2691,09	93,9630409982572
22186	Pozán de Vero	1272,35	1453,11	87,5604737425247
22187	Puebla de Castro (La)	882,31	1085,26	81,2994121224407
22188	Puente de Montañana	917,53	1340,45	68,4494013204521
22189	Puértolas	1955,81	6897,94	28,3535374329148
22190	Pueyo de Araguás (El)	2273,89	4513,3	50,3819821416702
22193	Pueyo de Santa Cruz	883,03	1007,41	87,6534876564656
22195	Quicena	502,36	546,01	92,0056409223274
22197	Robres	5476,2	5614,05	97,54455339728
22199	Sabiñánigo	12840,28	19698,02	65,1856379473673
22200	Sahún	1326,86	4647,23	28,5516318322958
22201	Salas Altas	1146,18	1211,64	94,5974051698524
22202	Salas Bajas	525,95	585,76	89,7893335154329
22203	Salillas	2336,68	2413,4	96,8210822905445
22204	Sallent de Gállego	8438,3	15173,79	55,6110240091632
22205	San Esteban de Litera	5112,65	6748,38	75,7611456379161
22206	Sangarrén	2162,9	2182,37	99,1078506394424
22207	San Juan de Plan	1129,71	3484,41	32,4218447312457
22208	Santa Cilia	1740,8	2748,4	63,3386697715034
22209	Santa Cruz de la Serós	1471,05	2286,14	64,3464529731338
22212	Santaliestra y San Quílez	293,59	933,27	31,4582060925563
22213	Sariñena	19685,83	20475,8	96,1419334043114
22214	Secastilla	830,74	1226,74	67,7193211275413
22215	Seira	1493,52	4509,98	33,115889649178
22217	Sena	6733,66	7087,55	95,0068782583544
22218	Senés de Alcubierre	1057,86	1058,41	99,9480352604378
22220	Sesa	2277,15	2355,71	96,6651243149624
22221	Sesué	353,03	529,91	66,6207469192882
22222	Siétamo	3358,96	3834,54	87,5974693183537
22223	Sopeira	1586,38	2145,18	73,9509038868533
22225	Tamarite de Litera	10208,61	10950,6	93,224206892773
22226	Tardienta	4337,9	4413,64	98,2839560997272
22227	Tella-Sin	3408,95	6722,17	50,7120468539177
22228	Tierz	578,37	579,56	99,7946718200014
22229	Tolva	2615,02	3623,23	72,1737234456548
22230	Torla	8554,49	15515,75	55,1342345681002
22232	Torralba de Aragón	3096,78	3172,74	97,6058548762269
22233	Torre la Ribera	1369,24	1771,5	77,2926898108947
22234	Torrente de Cinca	3578,46	5247,29	68,196345161026
22235	Torres de Alcanadre	1666,25	1692,43	98,4531117978292
22236	Torres de Barbués	1045,41	1078,96	96,8905242084971
22239	Tramaced	762,52	795,23	95,8867245954001
22242	Valfarta	2010,05	2374,55	84,6497231054305
22243	Valle de Bardají	1238,03	1444,64	85,6981670173884
22244	Valle de Lierp	1533,14	2424,46	63,236349537629
22245	Velilla de Cinca	976,62	1297,86	75,2484859692109
22246	Veracruz	584,5	1025,3	57,0077050619331
22247	Viacamp y Litera	3432,36	6892,68	49,797176134682
22248	Vicién	1329,91	1386,14	95,9434111994459
22249	Villanova	400,45	620,62	64,5241854919274
22250	Villanúa	2290,58	5666,43	40,4236882834518
22251	Villanueva de Sigena	12982,5	14197,91	91,4395146891338
22252	Yebra de Basa	1512,26	2407,31	62,819495619592
22253	Yésero	1658,33	1767,67	93,8144563182042
22254	Zaidín	5902,5	6241,53	94,5681587687634
22901	Valle de Hecho	6574,75	22695,23	28,9697438624768
22902	Puente la Reina de Jaca	2977,13	3710,23	80,2411171275096
22903	San Miguel del Cinca	9387,92	10025,75	93,6380819390071
22904	Sotonera (La)	11079,59	12617,62	87,8104587077436
22905	Lupiñén-Ortilla	7957,28	8133,99	97,8275114673119
22906	Santa María de Dulcis	1084,99	1545,76	70,1913621778284
22907	Aínsa-Sobrarbe	6728,36	10416	64,5963901689708
22908	Hoz y Costeán	3835,33	4818,17	79,6013839279228
22909	Vencillón	949,72	983,08	96,6065833909753
44001	Ababuj	2820,4	5139,26	54,879496269891
44002	Abejuela	1132,61	7051,38	16,0622459717105
44003	Aguatón	1225,87	2189,36	55,9921620930318
44004	Aguaviva	1020,96	1160,76	87,9561666494366
44005	Aguilar del Alfambra	1320,88	1321,08	99,9848608714082
44006	Alacón	2667,72	2729,28	97,744460077383
44007	Alba	2960,43	3227,99	91,711250654432
44008	Albalate del Arzobispo	11607,31	19540,22	59,4021459328503
44009	Albarracín	6401,46	9187,45	69,6761342918873
44010	Albentosa	1995,17	2894,88	68,9206461062289
44011	Alcaine	3853,36	4636,76	83,1045816475297
44012	Alcalá de la Selva	2874,72	6588,94	43,6294760613999
44013	Alcañiz	29378,95	29950,31	98,0923068909804
44014	Alcorisa	7180	7554,56	95,0419349373094
44016	Alfambra	7125,86	8424,09	84,5890772771896
44017	Aliaga	8692,93	15374,04	56,5429125981199
44018	Almohaja	1500,61	2490,99	60,2415104034942
44019	Alobras	1537,31	2360,48	65,127008066156
