Municipio código	Municipio nombre	Superficie útil agrupada (m2)	Número de viviendas
44252	Villahermosa del Campo	151 o más	11
44256	Villanueva del Rebollar de la Sierra	046 - 060	1
44256	Villanueva del Rebollar de la Sierra	061 - 075	2
44256	Villanueva del Rebollar de la Sierra	076 - 090	4
44256	Villanueva del Rebollar de la Sierra	091 - 105	5
44256	Villanueva del Rebollar de la Sierra	106 - 120	3
44256	Villanueva del Rebollar de la Sierra	121 - 150	1
44256	Villanueva del Rebollar de la Sierra	151 o más	3
44257	Villar del Cobo	046 - 060	15
44257	Villar del Cobo	061 - 075	20
44257	Villar del Cobo	076 - 090	29
44257	Villar del Cobo	091 - 105	14
44257	Villar del Cobo	106 - 120	6
44257	Villar del Cobo	121 - 150	3
44257	Villar del Cobo	151 o más	2
44258	Villar del Salz	061 - 075	3
44258	Villar del Salz	076 - 090	8
44258	Villar del Salz	091 - 105	12
44258	Villar del Salz	106 - 120	8
44258	Villar del Salz	121 - 150	6
44258	Villar del Salz	151 o más	4
44260	Villarluengo	045 o menos	10
44260	Villarluengo	046 - 060	20
44260	Villarluengo	061 - 075	8
44260	Villarluengo	076 - 090	24
44260	Villarluengo	091 - 105	8
44260	Villarluengo	106 - 120	4
44260	Villarluengo	121 - 150	8
44260	Villarluengo	151 o más	8
44261	Villarquemado	045 o menos	13
44261	Villarquemado	046 - 060	30
44261	Villarquemado	061 - 075	62
44261	Villarquemado	076 - 090	94
44261	Villarquemado	091 - 105	45
44261	Villarquemado	106 - 120	61
44261	Villarquemado	121 - 150	34
44261	Villarquemado	151 o más	22
44262	Villarroya de los Pinares	045 o menos	4
44262	Villarroya de los Pinares	046 - 060	7
44262	Villarroya de los Pinares	061 - 075	3
44262	Villarroya de los Pinares	076 - 090	24
44262	Villarroya de los Pinares	091 - 105	13
44262	Villarroya de los Pinares	106 - 120	13
44262	Villarroya de los Pinares	121 - 150	12
44262	Villarroya de los Pinares	151 o más	5
44263	Villastar	045 o menos	3
44263	Villastar	046 - 060	5
44263	Villastar	061 - 075	15
44263	Villastar	076 - 090	32
44263	Villastar	091 - 105	43
44263	Villastar	106 - 120	17
44263	Villastar	121 - 150	17
44263	Villastar	151 o más	9
44264	Villel	045 o menos	5
44264	Villel	046 - 060	10
44264	Villel	061 - 075	21
44264	Villel	076 - 090	46
44264	Villel	091 - 105	18
44264	Villel	106 - 120	25
44264	Villel	121 - 150	18
44264	Villel	151 o más	8
44265	Vinaceite	046 - 060	2
44265	Vinaceite	061 - 075	8
44265	Vinaceite	076 - 090	19
44265	Vinaceite	091 - 105	22
44265	Vinaceite	106 - 120	20
44265	Vinaceite	121 - 150	26
44265	Vinaceite	151 o más	23
44266	Visiedo	046 - 060	3
44266	Visiedo	061 - 075	4
44266	Visiedo	076 - 090	18
44266	Visiedo	091 - 105	13
44266	Visiedo	106 - 120	20
44266	Visiedo	121 - 150	8
44266	Visiedo	151 o más	17
44267	Vivel del Río Martín	045 o menos	1
44267	Vivel del Río Martín	061 - 075	7
44267	Vivel del Río Martín	076 - 090	11
44267	Vivel del Río Martín	091 - 105	9
44267	Vivel del Río Martín	106 - 120	7
44267	Vivel del Río Martín	121 - 150	4
44267	Vivel del Río Martín	151 o más	1
44268	Zoma (La)	061 - 075	2
44268	Zoma (La)	076 - 090	4
44268	Zoma (La)	106 - 120	2
50001	Abanto	045 o menos	1
50001	Abanto	046 - 060	2
50001	Abanto	061 - 075	6
50001	Abanto	076 - 090	32
50001	Abanto	091 - 105	14
50001	Abanto	106 - 120	9
50001	Abanto	121 - 150	10
50001	Abanto	151 o más	6
50002	Acered	045 o menos	1
50002	Acered	046 - 060	8
50002	Acered	061 - 075	15
50002	Acered	076 - 090	45
50002	Acered	091 - 105	23
50002	Acered	106 - 120	12
50002	Acered	121 - 150	3
50002	Acered	151 o más	2
50003	Agón	045 o menos	1
50003	Agón	046 - 060	2
50003	Agón	061 - 075	7
50003	Agón	076 - 090	26
50003	Agón	091 - 105	8
50003	Agón	106 - 120	5
50003	Agón	121 - 150	4
50003	Agón	151 o más	7
50004	Aguarón	045 o menos	19
50004	Aguarón	046 - 060	51
50004	Aguarón	061 - 075	44
50004	Aguarón	076 - 090	74
50004	Aguarón	091 - 105	48
50004	Aguarón	106 - 120	37
50004	Aguarón	121 - 150	12
50004	Aguarón	151 o más	10
50005	Aguilón	045 o menos	1
50005	Aguilón	046 - 060	21
50005	Aguilón	061 - 075	16
50005	Aguilón	076 - 090	34
50005	Aguilón	091 - 105	28
50005	Aguilón	106 - 120	19
50005	Aguilón	121 - 150	9
50005	Aguilón	151 o más	6
50006	Ainzón	045 o menos	15
50006	Ainzón	046 - 060	42
50006	Ainzón	061 - 075	89
50006	Ainzón	076 - 090	142
50006	Ainzón	091 - 105	104
50006	Ainzón	106 - 120	59
50006	Ainzón	121 - 150	37
50006	Ainzón	151 o más	22
50007	Aladrén	046 - 060	5
50007	Aladrén	061 - 075	4
50007	Aladrén	076 - 090	14
50007	Aladrén	091 - 105	6
50007	Aladrén	106 - 120	7
50007	Aladrén	151 o más	2
50008	Alagón	045 o menos	12
50008	Alagón	046 - 060	126
50008	Alagón	061 - 075	382
50008	Alagón	076 - 090	595
50008	Alagón	091 - 105	344
50008	Alagón	106 - 120	206
50008	Alagón	121 - 150	154
50008	Alagón	151 o más	146
50009	Alarba	046 - 060	2
50009	Alarba	061 - 075	5
50009	Alarba	076 - 090	15
50009	Alarba	091 - 105	8
50009	Alarba	106 - 120	10
50009	Alarba	121 - 150	14
50009	Alarba	151 o más	5
50010	Alberite de San Juan	046 - 060	6
50010	Alberite de San Juan	061 - 075	3
50010	Alberite de San Juan	076 - 090	7
50010	Alberite de San Juan	091 - 105	7
50010	Alberite de San Juan	106 - 120	3
50010	Alberite de San Juan	121 - 150	5
50010	Alberite de San Juan	151 o más	6
50011	Albeta	046 - 060	3
50011	Albeta	061 - 075	1
50011	Albeta	076 - 090	17
50011	Albeta	091 - 105	17
50011	Albeta	106 - 120	7
50011	Albeta	121 - 150	4
50011	Albeta	151 o más	3
50012	Alborge	046 - 060	1
50012	Alborge	061 - 075	4
50012	Alborge	076 - 090	8
50012	Alborge	091 - 105	14
50012	Alborge	106 - 120	9
50012	Alborge	121 - 150	5
50012	Alborge	151 o más	8
50013	Alcalá de Ebro	045 o menos	1
50013	Alcalá de Ebro	046 - 060	7
50013	Alcalá de Ebro	061 - 075	16
50013	Alcalá de Ebro	076 - 090	28
50013	Alcalá de Ebro	091 - 105	28
50013	Alcalá de Ebro	106 - 120	12
50013	Alcalá de Ebro	121 - 150	9
50013	Alcalá de Ebro	151 o más	8
50014	Alcalá de Moncayo	061 - 075	2
50014	Alcalá de Moncayo	076 - 090	5
50014	Alcalá de Moncayo	091 - 105	14
50014	Alcalá de Moncayo	106 - 120	13
50014	Alcalá de Moncayo	121 - 150	8
50014	Alcalá de Moncayo	151 o más	8
50015	Alconchel de Ariza	045 o menos	1
50015	Alconchel de Ariza	046 - 060	3
50015	Alconchel de Ariza	061 - 075	5
50015	Alconchel de Ariza	076 - 090	20
50015	Alconchel de Ariza	091 - 105	15
50015	Alconchel de Ariza	106 - 120	6
50015	Alconchel de Ariza	121 - 150	3
50016	Aldehuela de Liestos	046 - 060	1
50016	Aldehuela de Liestos	061 - 075	1
50016	Aldehuela de Liestos	076 - 090	4
50016	Aldehuela de Liestos	091 - 105	3
50016	Aldehuela de Liestos	106 - 120	4
50016	Aldehuela de Liestos	121 - 150	5
50017	Alfajarín	045 o menos	1
50017	Alfajarín	046 - 060	10
50017	Alfajarín	061 - 075	32
50017	Alfajarín	076 - 090	179
50017	Alfajarín	091 - 105	116
50017	Alfajarín	106 - 120	84
50017	Alfajarín	121 - 150	80
50017	Alfajarín	151 o más	57
50018	Alfamén	045 o menos	4
50018	Alfamén	046 - 060	17
50018	Alfamén	061 - 075	19
50018	Alfamén	076 - 090	83
50018	Alfamén	091 - 105	88
50018	Alfamén	106 - 120	91
50018	Alfamén	121 - 150	87
50018	Alfamén	151 o más	48
50019	Alforque	045 o menos	2
50019	Alforque	046 - 060	2
50019	Alforque	061 - 075	3
50019	Alforque	076 - 090	10
50019	Alforque	091 - 105	8
50019	Alforque	106 - 120	4
50019	Alforque	121 - 150	4
50019	Alforque	151 o más	2
50020	Alhama de Aragón	045 o menos	13
50020	Alhama de Aragón	046 - 060	50
50020	Alhama de Aragón	061 - 075	134
50020	Alhama de Aragón	076 - 090	108
50020	Alhama de Aragón	091 - 105	61
50020	Alhama de Aragón	106 - 120	54
50020	Alhama de Aragón	121 - 150	27
50020	Alhama de Aragón	151 o más	12
50021	Almochuel	076 - 090	7
50021	Almochuel	091 - 105	6
50021	Almochuel	106 - 120	6
50021	Almochuel	121 - 150	6
50022	Almolda (La)	046 - 060	3
50022	Almolda (La)	061 - 075	9
50022	Almolda (La)	076 - 090	52
50022	Almolda (La)	091 - 105	42
50022	Almolda (La)	106 - 120	52
50022	Almolda (La)	121 - 150	36
50022	Almolda (La)	151 o más	37
50023	Almonacid de la Cuba	045 o menos	2
50023	Almonacid de la Cuba	046 - 060	4
50023	Almonacid de la Cuba	061 - 075	16
50023	Almonacid de la Cuba	076 - 090	40
50023	Almonacid de la Cuba	091 - 105	37
50023	Almonacid de la Cuba	106 - 120	12
50023	Almonacid de la Cuba	121 - 150	9
50023	Almonacid de la Cuba	151 o más	4
50024	Almonacid de la Sierra	045 o menos	49
50024	Almonacid de la Sierra	046 - 060	45
50024	Almonacid de la Sierra	061 - 075	45
50024	Almonacid de la Sierra	076 - 090	85
50024	Almonacid de la Sierra	091 - 105	47
50024	Almonacid de la Sierra	106 - 120	18
50024	Almonacid de la Sierra	121 - 150	17
50024	Almonacid de la Sierra	151 o más	11
50025	Almunia de Doña Godina (La)	045 o menos	35
50025	Almunia de Doña Godina (La)	046 - 060	129
50025	Almunia de Doña Godina (La)	061 - 075	252
50025	Almunia de Doña Godina (La)	076 - 090	639
50025	Almunia de Doña Godina (La)	091 - 105	358
50025	Almunia de Doña Godina (La)	106 - 120	270
50025	Almunia de Doña Godina (La)	121 - 150	188
50025	Almunia de Doña Godina (La)	151 o más	126
50026	Alpartir	045 o menos	37
50026	Alpartir	046 - 060	35
50026	Alpartir	061 - 075	35
50026	Alpartir	076 - 090	55
50026	Alpartir	091 - 105	29
50026	Alpartir	106 - 120	21
50026	Alpartir	121 - 150	9
50026	Alpartir	151 o más	4
50027	Ambel	045 o menos	3
50027	Ambel	046 - 060	21
50027	Ambel	061 - 075	31
50027	Ambel	076 - 090	46
50027	Ambel	091 - 105	29
50027	Ambel	106 - 120	5
50027	Ambel	121 - 150	6
50027	Ambel	151 o más	6
50028	Anento	046 - 060	4
50028	Anento	061 - 075	5
50028	Anento	076 - 090	14
50028	Anento	091 - 105	11
50028	Anento	106 - 120	5
50028	Anento	151 o más	2
50029	Aniñón	045 o menos	8
50029	Aniñón	046 - 060	24
50029	Aniñón	061 - 075	41
50029	Aniñón	076 - 090	110
50029	Aniñón	091 - 105	64
50029	Aniñón	106 - 120	38
50029	Aniñón	121 - 150	22
50029	Aniñón	151 o más	14
50030	Añón de Moncayo	045 o menos	8
50030	Añón de Moncayo	046 - 060	21
50030	Añón de Moncayo	061 - 075	11
50030	Añón de Moncayo	076 - 090	21
50030	Añón de Moncayo	091 - 105	21
50030	Añón de Moncayo	106 - 120	22
50030	Añón de Moncayo	121 - 150	6
50030	Añón de Moncayo	151 o más	5
50031	Aranda de Moncayo	045 o menos	4
50031	Aranda de Moncayo	046 - 060	11
50031	Aranda de Moncayo	061 - 075	11
50031	Aranda de Moncayo	076 - 090	29
50031	Aranda de Moncayo	091 - 105	23
50031	Aranda de Moncayo	106 - 120	6
50031	Aranda de Moncayo	121 - 150	7
50031	Aranda de Moncayo	151 o más	8
50032	Arándiga	045 o menos	3
50032	Arándiga	046 - 060	18
50032	Arándiga	061 - 075	73
50032	Arándiga	076 - 090	64
50032	Arándiga	091 - 105	21
50032	Arándiga	106 - 120	15
50032	Arándiga	121 - 150	4
50032	Arándiga	151 o más	4
50033	Ardisa	046 - 060	4
50033	Ardisa	061 - 075	4
50033	Ardisa	076 - 090	12
50033	Ardisa	091 - 105	3
50033	Ardisa	106 - 120	5
50033	Ardisa	121 - 150	2
50033	Ardisa	151 o más	3
50034	Ariza	045 o menos	6
50034	Ariza	046 - 060	29
50034	Ariza	061 - 075	95
50034	Ariza	076 - 090	177
50034	Ariza	091 - 105	83
50034	Ariza	106 - 120	52
50034	Ariza	121 - 150	29
50034	Ariza	151 o más	20
50035	Artieda	046 - 060	3
50035	Artieda	061 - 075	5
50035	Artieda	076 - 090	7
50035	Artieda	091 - 105	4
50035	Artieda	106 - 120	11
50035	Artieda	121 - 150	3
50035	Artieda	151 o más	6
50036	Asín	045 o menos	1
50036	Asín	046 - 060	8
50036	Asín	061 - 075	3
50036	Asín	076 - 090	5
50036	Asín	091 - 105	7
50036	Asín	106 - 120	1
50036	Asín	121 - 150	8
50036	Asín	151 o más	7
50037	Atea	045 o menos	2
50037	Atea	046 - 060	2
50037	Atea	061 - 075	19
50037	Atea	076 - 090	28
50037	Atea	091 - 105	31
50037	Atea	106 - 120	15
50037	Atea	121 - 150	8
50037	Atea	151 o más	2
50038	Ateca	045 o menos	11
50038	Ateca	046 - 060	34
50038	Ateca	061 - 075	113
50038	Ateca	076 - 090	291
50038	Ateca	091 - 105	175
50038	Ateca	106 - 120	71
50038	Ateca	121 - 150	37
50038	Ateca	151 o más	21
50039	Azuara	045 o menos	2
50039	Azuara	046 - 060	18
50039	Azuara	061 - 075	18
50039	Azuara	076 - 090	43
50039	Azuara	091 - 105	37
50039	Azuara	106 - 120	55
50039	Azuara	121 - 150	75
50039	Azuara	151 o más	35
50040	Badules	046 - 060	3
50040	Badules	061 - 075	6
50040	Badules	076 - 090	5
50040	Badules	091 - 105	15
50040	Badules	106 - 120	9
50040	Badules	121 - 150	6
50040	Badules	151 o más	4
50041	Bagüés	061 - 075	3
50041	Bagüés	076 - 090	3
50041	Bagüés	091 - 105	8
50041	Bagüés	106 - 120	1
50041	Bagüés	121 - 150	1
50041	Bagüés	151 o más	1
50042	Balconchán	046 - 060	3
50042	Balconchán	061 - 075	3
50042	Balconchán	076 - 090	3
50042	Balconchán	091 - 105	2
50042	Balconchán	106 - 120	1
50043	Bárboles	045 o menos	1
50043	Bárboles	046 - 060	10
50043	Bárboles	061 - 075	17
50043	Bárboles	076 - 090	38
50043	Bárboles	091 - 105	18
50043	Bárboles	106 - 120	20
50043	Bárboles	121 - 150	9
50043	Bárboles	151 o más	19
50044	Bardallur	045 o menos	5
50044	Bardallur	046 - 060	12
50044	Bardallur	061 - 075	12
50044	Bardallur	076 - 090	29
50044	Bardallur	091 - 105	25
50044	Bardallur	106 - 120	7
50044	Bardallur	121 - 150	15
50044	Bardallur	151 o más	12
50045	Belchite	045 o menos	15
50045	Belchite	046 - 060	58
50045	Belchite	061 - 075	73
50045	Belchite	076 - 090	147
50045	Belchite	091 - 105	107
50045	Belchite	106 - 120	122
50045	Belchite	121 - 150	73
50045	Belchite	151 o más	57
50046	Belmonte de Gracián	045 o menos	5
50046	Belmonte de Gracián	046 - 060	10
50046	Belmonte de Gracián	061 - 075	16
50046	Belmonte de Gracián	076 - 090	26
50046	Belmonte de Gracián	091 - 105	29
50046	Belmonte de Gracián	106 - 120	13
50046	Belmonte de Gracián	121 - 150	7
50046	Belmonte de Gracián	151 o más	5
50047	Berdejo	061 - 075	2
50047	Berdejo	076 - 090	6
50047	Berdejo	091 - 105	5
50047	Berdejo	106 - 120	2
50047	Berdejo	121 - 150	7
50047	Berdejo	151 o más	4
50048	Berrueco	061 - 075	2
50048	Berrueco	076 - 090	7
50048	Berrueco	091 - 105	4
50048	Berrueco	106 - 120	1
50048	Berrueco	151 o más	2
50050	Bijuesca	061 - 075	3
50050	Bijuesca	076 - 090	17
50050	Bijuesca	091 - 105	12
50050	Bijuesca	106 - 120	10
50050	Bijuesca	121 - 150	7
50050	Bijuesca	151 o más	5
50051	Biota	045 o menos	9
50051	Biota	046 - 060	38
50051	Biota	061 - 075	57
50051	Biota	076 - 090	188
50051	Biota	091 - 105	66
50051	Biota	106 - 120	49
50051	Biota	121 - 150	23
50051	Biota	151 o más	26
50052	Bisimbre	045 o menos	1
50052	Bisimbre	046 - 060	2
50052	Bisimbre	061 - 075	4
50052	Bisimbre	076 - 090	14
50052	Bisimbre	091 - 105	7
50052	Bisimbre	106 - 120	15
50052	Bisimbre	121 - 150	3
50052	Bisimbre	151 o más	5
50053	Boquiñeni	045 o menos	1
50053	Boquiñeni	046 - 060	16
50053	Boquiñeni	061 - 075	20
50053	Boquiñeni	076 - 090	91
50053	Boquiñeni	091 - 105	92
50053	Boquiñeni	106 - 120	55
50053	Boquiñeni	121 - 150	57
50053	Boquiñeni	151 o más	32
50054	Bordalba	046 - 060	2
50054	Bordalba	061 - 075	4
50054	Bordalba	076 - 090	6
50054	Bordalba	091 - 105	9
50054	Bordalba	106 - 120	3
50054	Bordalba	121 - 150	4
50054	Bordalba	151 o más	4
50055	Borja	045 o menos	15
50055	Borja	046 - 060	67
50055	Borja	061 - 075	261
50055	Borja	076 - 090	554
50055	Borja	091 - 105	297
50055	Borja	106 - 120	159
50055	Borja	121 - 150	114
50055	Borja	151 o más	90
50056	Botorrita	045 o menos	2
50056	Botorrita	046 - 060	15
50056	Botorrita	061 - 075	11
50056	Botorrita	076 - 090	65
50056	Botorrita	091 - 105	45
50056	Botorrita	106 - 120	23
50056	Botorrita	121 - 150	19
50056	Botorrita	151 o más	11
50057	Brea de Aragón	045 o menos	5
50057	Brea de Aragón	046 - 060	39
50057	Brea de Aragón	061 - 075	95
50057	Brea de Aragón	076 - 090	305
50057	Brea de Aragón	091 - 105	113
50057	Brea de Aragón	106 - 120	52
50057	Brea de Aragón	121 - 150	47
50057	Brea de Aragón	151 o más	31
50058	Bubierca	045 o menos	1
50058	Bubierca	046 - 060	6
50058	Bubierca	061 - 075	5
50058	Bubierca	076 - 090	16
50058	Bubierca	091 - 105	10
50058	Bubierca	106 - 120	2
50058	Bubierca	121 - 150	3
50058	Bubierca	151 o más	1
50059	Bujaraloz	046 - 060	13
50059	Bujaraloz	061 - 075	24
50059	Bujaraloz	076 - 090	83
50059	Bujaraloz	091 - 105	63
50059	Bujaraloz	106 - 120	64
50059	Bujaraloz	121 - 150	64
50059	Bujaraloz	151 o más	39
50060	Bulbuente	045 o menos	9
50060	Bulbuente	046 - 060	13
50060	Bulbuente	061 - 075	10
50060	Bulbuente	076 - 090	25
50060	Bulbuente	091 - 105	25
50060	Bulbuente	106 - 120	17
50060	Bulbuente	121 - 150	12
50060	Bulbuente	151 o más	8
50061	Bureta	045 o menos	4
50061	Bureta	046 - 060	6
50061	Bureta	061 - 075	4
50061	Bureta	076 - 090	18
50061	Bureta	091 - 105	46
50061	Bureta	106 - 120	16
50061	Bureta	121 - 150	13
50061	Bureta	151 o más	13
50062	Burgo de Ebro (El)	045 o menos	3
50062	Burgo de Ebro (El)	046 - 060	61
50062	Burgo de Ebro (El)	061 - 075	84
50062	Burgo de Ebro (El)	076 - 090	167
50062	Burgo de Ebro (El)	091 - 105	84
50062	Burgo de Ebro (El)	106 - 120	62
50062	Burgo de Ebro (El)	121 - 150	69
50062	Burgo de Ebro (El)	151 o más	77
50063	Buste (El)	045 o menos	1
50063	Buste (El)	046 - 060	2
50063	Buste (El)	061 - 075	2
50063	Buste (El)	076 - 090	10
50063	Buste (El)	091 - 105	8
50063	Buste (El)	106 - 120	7
50063	Buste (El)	121 - 150	3
50063	Buste (El)	151 o más	6
50064	Cabañas de Ebro	045 o menos	2
50064	Cabañas de Ebro	046 - 060	17
50064	Cabañas de Ebro	061 - 075	27
50064	Cabañas de Ebro	076 - 090	54
50064	Cabañas de Ebro	091 - 105	30
50064	Cabañas de Ebro	106 - 120	17
50064	Cabañas de Ebro	121 - 150	25
50064	Cabañas de Ebro	151 o más	24
50065	Cabolafuente	046 - 060	1
50065	Cabolafuente	061 - 075	1
50065	Cabolafuente	076 - 090	4
50065	Cabolafuente	091 - 105	2
50065	Cabolafuente	106 - 120	6
50065	Cabolafuente	121 - 150	2
50065	Cabolafuente	151 o más	3
50066	Cadrete	045 o menos	11
50066	Cadrete	046 - 060	70
50066	Cadrete	061 - 075	118
50066	Cadrete	076 - 090	147
50066	Cadrete	091 - 105	111
50066	Cadrete	106 - 120	71
50066	Cadrete	121 - 150	67
50066	Cadrete	151 o más	89
50067	Calatayud	045 o menos	101
50067	Calatayud	046 - 060	436
50067	Calatayud	061 - 075	1279
50067	Calatayud	076 - 090	2288
50067	Calatayud	091 - 105	1281
50067	Calatayud	106 - 120	513
50067	Calatayud	121 - 150	345
50067	Calatayud	151 o más	228
50068	Calatorao	045 o menos	15
50068	Calatorao	046 - 060	62
50068	Calatorao	061 - 075	105
50068	Calatorao	076 - 090	317
50068	Calatorao	091 - 105	213
50068	Calatorao	106 - 120	146
50068	Calatorao	121 - 150	107
50068	Calatorao	151 o más	73
50069	Calcena	046 - 060	9
50069	Calcena	061 - 075	5
50069	Calcena	076 - 090	18
50069	Calcena	091 - 105	11
50069	Calcena	106 - 120	9
50069	Calcena	151 o más	2
50070	Calmarza	045 o menos	1
50070	Calmarza	046 - 060	8
50070	Calmarza	061 - 075	10
50070	Calmarza	076 - 090	13
50070	Calmarza	091 - 105	3
50070	Calmarza	106 - 120	3
50070	Calmarza	121 - 150	2
50071	Campillo de Aragón	045 o menos	2
50071	Campillo de Aragón	046 - 060	7
50071	Campillo de Aragón	061 - 075	15
50071	Campillo de Aragón	076 - 090	19
50071	Campillo de Aragón	091 - 105	14
50071	Campillo de Aragón	106 - 120	12
50071	Campillo de Aragón	121 - 150	5
50071	Campillo de Aragón	151 o más	2
50072	Carenas	045 o menos	4
50072	Carenas	046 - 060	18
50072	Carenas	061 - 075	13
50072	Carenas	076 - 090	26
50072	Carenas	091 - 105	18
50072	Carenas	106 - 120	13
50072	Carenas	121 - 150	4
50072	Carenas	151 o más	1
50073	Cariñena	045 o menos	23
50073	Cariñena	046 - 060	87
50073	Cariñena	061 - 075	192
50073	Cariñena	076 - 090	352
50073	Cariñena	091 - 105	169
50073	Cariñena	106 - 120	122
50073	Cariñena	121 - 150	94
50073	Cariñena	151 o más	56
50074	Caspe	045 o menos	76
50074	Caspe	046 - 060	264
50074	Caspe	061 - 075	435
50074	Caspe	076 - 090	1085
50074	Caspe	091 - 105	510
50074	Caspe	106 - 120	251
50074	Caspe	121 - 150	176
50074	Caspe	151 o más	81
50075	Castejón de Alarba	045 o menos	2
50075	Castejón de Alarba	046 - 060	1
50075	Castejón de Alarba	061 - 075	1
50075	Castejón de Alarba	076 - 090	7
50075	Castejón de Alarba	091 - 105	11
50075	Castejón de Alarba	106 - 120	10
50075	Castejón de Alarba	121 - 150	12
50076	Castejón de las Armas	046 - 060	1
50076	Castejón de las Armas	061 - 075	6
50076	Castejón de las Armas	076 - 090	12
50076	Castejón de las Armas	091 - 105	15
50076	Castejón de las Armas	106 - 120	12
50076	Castejón de las Armas	121 - 150	7
50076	Castejón de las Armas	151 o más	4
50077	Castejón de Valdejasa	045 o menos	2
50077	Castejón de Valdejasa	046 - 060	13
50077	Castejón de Valdejasa	061 - 075	11
50077	Castejón de Valdejasa	076 - 090	21
50077	Castejón de Valdejasa	091 - 105	28
50077	Castejón de Valdejasa	106 - 120	17
50077	Castejón de Valdejasa	121 - 150	22
50077	Castejón de Valdejasa	151 o más	18
50078	Castiliscar	045 o menos	3
50078	Castiliscar	046 - 060	7
50078	Castiliscar	061 - 075	14
50078	Castiliscar	076 - 090	52
50078	Castiliscar	091 - 105	25
50078	Castiliscar	106 - 120	20
50078	Castiliscar	121 - 150	9
50078	Castiliscar	151 o más	19
50079	Cervera de la Cañada	046 - 060	2
50079	Cervera de la Cañada	061 - 075	17
50079	Cervera de la Cañada	076 - 090	27
50079	Cervera de la Cañada	091 - 105	39
50079	Cervera de la Cañada	106 - 120	25
50079	Cervera de la Cañada	121 - 150	13
50079	Cervera de la Cañada	151 o más	11
50080	Cerveruela	061 - 075	9
50080	Cerveruela	076 - 090	5
50080	Cerveruela	091 - 105	6
50080	Cerveruela	151 o más	1
50081	Cetina	045 o menos	8
50081	Cetina	046 - 060	27
50081	Cetina	061 - 075	40
50081	Cetina	076 - 090	110
50081	Cetina	091 - 105	57
50081	Cetina	106 - 120	30
50081	Cetina	121 - 150	21
50081	Cetina	151 o más	19
50082	Cimballa	045 o menos	6
50082	Cimballa	046 - 060	4
50082	Cimballa	061 - 075	5
50082	Cimballa	076 - 090	13
50082	Cimballa	091 - 105	16
50082	Cimballa	106 - 120	5
50082	Cimballa	121 - 150	8
50082	Cimballa	151 o más	5
50083	Cinco Olivas	045 o menos	1
50083	Cinco Olivas	046 - 060	8
50083	Cinco Olivas	061 - 075	2
50083	Cinco Olivas	076 - 090	15
50083	Cinco Olivas	091 - 105	9
50083	Cinco Olivas	106 - 120	11
50083	Cinco Olivas	121 - 150	6
50083	Cinco Olivas	151 o más	3
50084	Clarés de Ribota	076 - 090	10
50084	Clarés de Ribota	091 - 105	3
50084	Clarés de Ribota	106 - 120	14
50084	Clarés de Ribota	121 - 150	20
50084	Clarés de Ribota	151 o más	6
50085	Codo	046 - 060	1
50085	Codo	061 - 075	7
50085	Codo	076 - 090	29
50085	Codo	091 - 105	33
50085	Codo	106 - 120	23
50085	Codo	121 - 150	13
50085	Codo	151 o más	8
50086	Codos	045 o menos	11
50086	Codos	046 - 060	29
50086	Codos	061 - 075	20
50086	Codos	076 - 090	45
50086	Codos	091 - 105	13
50086	Codos	106 - 120	6
50086	Codos	121 - 150	6
50086	Codos	151 o más	3
50087	Contamina	046 - 060	2
50087	Contamina	061 - 075	4
50087	Contamina	076 - 090	8
50087	Contamina	091 - 105	5
50087	Contamina	106 - 120	2
50087	Contamina	121 - 150	1
50087	Contamina	151 o más	4
50088	Cosuenda	045 o menos	6
50088	Cosuenda	046 - 060	29
50088	Cosuenda	061 - 075	20
50088	Cosuenda	076 - 090	47
50088	Cosuenda	091 - 105	34
50088	Cosuenda	106 - 120	17
50088	Cosuenda	121 - 150	8
50088	Cosuenda	151 o más	7
50089	Cuarte de Huerva	045 o menos	3
50089	Cuarte de Huerva	046 - 060	43
50089	Cuarte de Huerva	061 - 075	122
50089	Cuarte de Huerva	076 - 090	143
50089	Cuarte de Huerva	091 - 105	87
50089	Cuarte de Huerva	106 - 120	36
50089	Cuarte de Huerva	121 - 150	56
50089	Cuarte de Huerva	151 o más	130
50090	Cubel	045 o menos	1
50090	Cubel	061 - 075	3
50090	Cubel	076 - 090	17
50090	Cubel	091 - 105	21
50090	Cubel	106 - 120	11
50090	Cubel	121 - 150	17
50090	Cubel	151 o más	9
50091	Cuerlas (Las)	045 o menos	1
50091	Cuerlas (Las)	046 - 060	1
50091	Cuerlas (Las)	061 - 075	4
50091	Cuerlas (Las)	076 - 090	19
50091	Cuerlas (Las)	091 - 105	6
50091	Cuerlas (Las)	106 - 120	2
50091	Cuerlas (Las)	121 - 150	3
50091	Cuerlas (Las)	151 o más	5
50092	Chiprana	045 o menos	7
50092	Chiprana	046 - 060	11
50092	Chiprana	061 - 075	9
50092	Chiprana	076 - 090	59
50092	Chiprana	091 - 105	26
50092	Chiprana	106 - 120	21
50092	Chiprana	121 - 150	18
50092	Chiprana	151 o más	8
50093	Chodes	046 - 060	1
50093	Chodes	076 - 090	7
50093	Chodes	091 - 105	27
50093	Chodes	106 - 120	10
50093	Chodes	121 - 150	1
50093	Chodes	151 o más	5
50094	Daroca	045 o menos	10
50094	Daroca	046 - 060	64
50094	Daroca	061 - 075	159
50094	Daroca	076 - 090	281
50094	Daroca	091 - 105	174
