Año	Provincia	Municipio	Entidad singular	Núcleo
2019	22-Huesca	22024 - Alquézar	220240001 - Alquézar	22024000101 - Alquézar
2019	22-Huesca	22024 - Alquézar	220240001 - Alquézar	22024000199 - *Diseminado*
2019	22-Huesca	22024 - Alquézar	220240002 - Radiquero	22024000201 - Radiquero
2019	22-Huesca	22024 - Alquézar	220240002 - Radiquero	22024000299 - *Diseminado*
2019	22-Huesca	22024 - Alquézar	220240003 - San Pelegrín	22024000399 - *Diseminado*
2019	22-Huesca	22025 - Altorricón	220250001 - Altorricón	22025000101 - Altorricón
2019	22-Huesca	22025 - Altorricón	220250001 - Altorricón	22025000199 - *Diseminado*
2019	22-Huesca	22027 - Angüés	220270001 - Angüés	22027000101 - Angüés
2019	22-Huesca	22027 - Angüés	220270001 - Angüés	22027000199 - *Diseminado*
2019	22-Huesca	22027 - Angüés	220270002 - Bespén	22027000201 - Bespén
2019	22-Huesca	22027 - Angüés	220270002 - Bespén	22027000299 - *Diseminado*
2019	22-Huesca	22027 - Angüés	220270003 - Velillas	22027000301 - Velillas
2019	22-Huesca	22028 - Ansó	220280001 - Ansó	22028000101 - Ansó
2019	22-Huesca	22028 - Ansó	220280001 - Ansó	22028000199 - *Diseminado*
2019	22-Huesca	22029 - Antillón	220290001 - Antillón	22029000101 - Antillón
2019	22-Huesca	22029 - Antillón	220290001 - Antillón	22029000199 - *Diseminado*
2019	22-Huesca	22032 - Aragüés del Puerto	220320001 - Aragüés del Puerto	22032000101 - Aragüés del Puerto
2019	22-Huesca	22032 - Aragüés del Puerto	220320001 - Aragüés del Puerto	22032000199 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350001 - Arén	22035000101 - Arén
2019	22-Huesca	22035 - Arén	220350001 - Arén	22035000199 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350002 - Berganuy	22035000299 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350003 - Betesa	22035000301 - Betesa
2019	22-Huesca	22035 - Arén	220350003 - Betesa	22035000399 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350004 - Campamento	22035000499 - *Diseminado*
2019	22-Huesca	22035 - Arén	220350005 - Casa Consistorial	22035000599 - *Diseminado*
