CCAA nombre	CCAA código	Año	Votos	Siglas	Candidatura
Aragón	02	2019	692099	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2019	464456	PP	PARTIDO POPULAR
Aragón	02	2019	434618	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2019	230786	PODEMOS-IU-EQUO	UNIDAS PODEMOS
Aragón	02	2019	203803	VOX	VOX
Aragón	02	2019	43583	PODEMOS-IU-EQUO-AAeC	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN
Aragón	02	2019	30353	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2019	17198	EB	ESCAÑOS EN BLANCO
Aragón	02	2019	6443	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE
Aragón	02	2019	4191	FIA	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2019	2841	PUM+J	POR UN MUNDO MÁS JUSTO
Aragón	02	2019	2632	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2019	2300	PYLN	PUYALON
Aragón	02	2019	1773	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
Aragón	02	2016	736151	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2016	510855	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2016	303260	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
Aragón	02	2016	257182	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2016	55432	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN
Aragón	02	2016	28144	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2016	23305	EB	ESCAÑOS EN BLANCO
Aragón	02	2016	6332	UPyD	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2016	5907	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE
Aragón	02	2016	4523	VOX	VOX
Aragón	02	2016	2506	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN
Aragón	02	2016	2134	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
