Régimen de tenencia	Régimen de tenencia, código	Municipio codigo	Municipio nombre	Nº viviendas
Propia, por compra, totalmente pagada	1	22096	Chimillas	32,5185211843
Propia, por compra, totalmente pagada	1	22099	Esplús	120,741861101
Propia, por compra, totalmente pagada	1	22102	Estada	28,1789685098
Propia, por compra, totalmente pagada	1	22103	Estadilla	124,9389234582
Propia, por compra, totalmente pagada	1	22105	Estopiñán del Castillo	13,2309144179
Propia, por compra, totalmente pagada	1	22106	Fago	8,559747982
Propia, por compra, totalmente pagada	1	22107	Fanlo	12,8315070976
Propia, por compra, totalmente pagada	1	22109	Fiscal	16,7556530859
Propia, por compra, totalmente pagada	1	22110	Fonz	148,6483431971
Propia, por compra, totalmente pagada	1	22111	Foradada del Toscar	16,3385808755
Propia, por compra, totalmente pagada	1	22112	Fraga	2106,948948629
Propia, por compra, totalmente pagada	1	22113	Fueva (La)	28,8085309913
Propia, por compra, totalmente pagada	1	22114	Gistaín	11,771936155
Propia, por compra, totalmente pagada	1	22115	Grado (El)	75,5007442759
Propia, por compra, totalmente pagada	1	22116	Grañén	432,2807541281
Propia, por compra, totalmente pagada	1	22117	Graus	535,999177735
Propia, por compra, totalmente pagada	1	22119	Gurrea de Gállego	270,8813562092
Propia, por compra, totalmente pagada	1	22122	Hoz de Jaca	5,7290402362
Propia, por compra, totalmente pagada	1	22124	Huerto	29,9646783397
Propia, por compra, totalmente pagada	1	22125	Huesca	9475,7184279567
Propia, por compra, totalmente pagada	1	22126	Ibieca	15,6583279764
Propia, por compra, totalmente pagada	1	22127	Igriés	42,5776332387
Propia, por compra, totalmente pagada	1	22128	Ilche	15,0615376941
Propia, por compra, totalmente pagada	1	22129	Isábena	19,9494413856
Propia, por compra, totalmente pagada	1	22130	Jaca	1999,5248633307
Propia, por compra, totalmente pagada	1	22131	Jasa	20,3358186519
Propia, por compra, totalmente pagada	1	22133	Labuerda	12,5918011468
Propia, por compra, totalmente pagada	1	22135	Laluenga	30,1534441496
Propia, por compra, totalmente pagada	1	22136	Lalueza	156,3924775415
Propia, por compra, totalmente pagada	1	22137	Lanaja	160,7147847183
Propia, por compra, totalmente pagada	1	22139	Laperdiguera	12,4537287133
Propia, por compra, totalmente pagada	1	22141	Lascellas-Ponzano	22,9580483337
Propia, por compra, totalmente pagada	1	22142	Lascuarre	22,4216396042
Propia, por compra, totalmente pagada	1	22143	Laspaúles	49,4897762311
Propia, por compra, totalmente pagada	1	22144	Laspuña	29,5806741815
Propia, por compra, totalmente pagada	1	22149	Loarre	56,9526207636
Propia, por compra, totalmente pagada	1	22150	Loporzano	107,9259987019
Propia, por compra, totalmente pagada	1	22151	Loscorrales	12,7828434832
Propia, por compra, totalmente pagada	1	22155	Monesma y Cajigar	6,6881002105
Propia, por compra, totalmente pagada	1	22156	Monflorite-Lascasas	26,8085609343
Propia, por compra, totalmente pagada	1	22157	Montanuy	30,2201918954
Propia, por compra, totalmente pagada	1	22158	Monzón	2499,9456149668
Propia, por compra, totalmente pagada	1	22160	Naval	38,4299102038
Propia, por compra, totalmente pagada	1	22162	Novales	9,12594961
Propia, por compra, totalmente pagada	1	22163	Nueno	52,742788732
Propia, por compra, totalmente pagada	1	22164	Olvena	3,6204444215
Propia, por compra, totalmente pagada	1	22165	Ontiñena	83,0816198372
Propia, por compra, totalmente pagada	1	22167	Osso de Cinca	90,7671973209
Propia, por compra, totalmente pagada	1	22168	Palo	1,2549279387
Propia, por compra, totalmente pagada	1	22170	Panticosa	70,8555912842
Propia, por compra, totalmente pagada	1	22172	Peñalba	96,9592044584
Propia, por compra, totalmente pagada	1	22173	Peñas de Riglos (Las)	53,0731215259
Propia, por compra, totalmente pagada	1	22174	Peralta de Alcofea	78,3894706759
Propia, por compra, totalmente pagada	1	22175	Peralta de Calasanz	32,2255883965
Propia, por compra, totalmente pagada	1	22176	Peraltilla	23,7714625524
Propia, por compra, totalmente pagada	1	22177	Perarrúa	11,081478799
Propia, por compra, totalmente pagada	1	22178	Pertusa	14,847634967
Propia, por compra, totalmente pagada	1	22181	Piracés	16,0992675108
Propia, por compra, totalmente pagada	1	22182	Plan	31,8989064589
Propia, por compra, totalmente pagada	1	22184	Poleñino	33,4908949571
Propia, por compra, totalmente pagada	1	22186	Pozán de Vero	27,570660291
Propia, por compra, totalmente pagada	1	22187	Puebla de Castro (La)	57,246315844
Propia, por compra, totalmente pagada	1	22188	Puente de Montañana	27,5666608051
Propia, por compra, totalmente pagada	1	22189	Puértolas	31,0724639223
Propia, por compra, totalmente pagada	1	22190	Pueyo de Araguás (El)	7,7364675631
Propia, por compra, totalmente pagada	1	22193	Pueyo de Santa Cruz	30,4875721058
Propia, por compra, totalmente pagada	1	22195	Quicena	17,418647154
Propia, por compra, totalmente pagada	1	22197	Robres	73,1321873042
Propia, por compra, totalmente pagada	1	22199	Sabiñánigo	1879,1992103704
Propia, por compra, totalmente pagada	1	22200	Sahún	23,6833774959
Propia, por compra, totalmente pagada	1	22201	Salas Altas	29,318051554
Propia, por compra, totalmente pagada	1	22202	Salas Bajas	18,9902174974
Propia, por compra, totalmente pagada	1	22203	Salillas	22,1520312655
Propia, por compra, totalmente pagada	1	22204	Sallent de Gállego	83,4300484752
Propia, por compra, totalmente pagada	1	22205	San Esteban de Litera	57,4433114435
Propia, por compra, totalmente pagada	1	22206	Sangarrén	34,1581730995
Propia, por compra, totalmente pagada	1	22207	San Juan de Plan	2,4594653115
Propia, por compra, totalmente pagada	1	22208	Santa Cilia	25,7064493562
Propia, por compra, totalmente pagada	1	22209	Santa Cruz de la Serós	17,1399324764
Propia, por compra, totalmente pagada	1	22212	Santaliestra y San Quílez	18,9079333775
Propia, por compra, totalmente pagada	1	22213	Sariñena	662,3187363895
Propia, por compra, totalmente pagada	1	22214	Secastilla	11,9024133652
Propia, por compra, totalmente pagada	1	22215	Seira	18,4213125004
Propia, por compra, totalmente pagada	1	22217	Sena	53,9152228617
Propia, por compra, totalmente pagada	1	22218	Senés de Alcubierre	7,3095984003
Propia, por compra, totalmente pagada	1	22220	Sesa	32,1369544617
Propia, por compra, totalmente pagada	1	22221	Sesué	11,5896288591
Propia, por compra, totalmente pagada	1	22222	Siétamo	28,4485303638
Propia, por compra, totalmente pagada	1	22223	Sopeira	19,7859266636
Propia, por compra, totalmente pagada	1	22225	Tamarite de Litera	543,8232509358
Propia, por compra, totalmente pagada	1	22226	Tardienta	167,2144941227
Propia, por compra, totalmente pagada	1	22227	Tella-Sin	51,0939013803
Propia, por compra, totalmente pagada	1	22228	Tierz	31,7948232326
Propia, por compra, totalmente pagada	1	22229	Tolva	19,9207536311
Propia, por compra, totalmente pagada	1	22230	Torla	22,4700052505
Propia, por compra, totalmente pagada	1	22232	Torralba de Aragón	4,0385440687
Propia, por compra, totalmente pagada	1	22233	Torre la Ribera	6,9415128925
Propia, por compra, totalmente pagada	1	22234	Torrente de Cinca	135,8417726397
Propia, por compra, totalmente pagada	1	22235	Torres de Alcanadre	20,7334751017
Propia, por compra, totalmente pagada	1	22236	Torres de Barbués	61,3467148475
Propia, por compra, totalmente pagada	1	22239	Tramaced	11,2575326875
Propia, por compra, totalmente pagada	1	22242	Valfarta	7,7941012628
Propia, por compra, totalmente pagada	1	22243	Valle de Bardají	1,7127087739
Propia, por compra, totalmente pagada	1	22244	Valle de Lierp	4,1793459203
Propia, por compra, totalmente pagada	1	22245	Velilla de Cinca	32,0007907139
Propia, por compra, totalmente pagada	1	22246	Beranuy	20,7802811051
Propia, por compra, totalmente pagada	1	22248	Vicién	16,2203495593
Propia, por compra, totalmente pagada	1	22249	Villanova	15,1761299259
Propia, por compra, totalmente pagada	1	22250	Villanúa	63,0317199301
Propia, por compra, totalmente pagada	1	22251	Villanueva de Sigena	46,4828370459
Propia, por compra, totalmente pagada	1	22252	Yebra de Basa	16,0791377947
Propia, por compra, totalmente pagada	1	22253	Yésero	11,126578487
Propia, por compra, totalmente pagada	1	22254	Zaidín	264,3246057451
Propia, por compra, totalmente pagada	1	22901	Valle de Hecho	107,6046889904
Propia, por compra, totalmente pagada	1	22902	Puente la Reina de Jaca	39,9903902172
Propia, por compra, totalmente pagada	1	22903	San Miguel del Cinca	96,0746369791
Propia, por compra, totalmente pagada	1	22904	Sotonera (La)	125,7721067582
Propia, por compra, totalmente pagada	1	22905	Lupiñén-Ortilla	40,5663750488
Propia, por compra, totalmente pagada	1	22906	Santa María de Dulcis	29,0218796785
Propia, por compra, totalmente pagada	1	22907	Aínsa-Sobrarbe	261,440616501
Propia, por compra, totalmente pagada	1	22908	Hoz y Costeán	21,2766801608
Propia, por compra, totalmente pagada	1	22909	Vencillón	82,1388124684
Propia, por compra, totalmente pagada	1	44001	Ababuj	13,3071780467
Propia, por compra, totalmente pagada	1	44002	Abejuela	8,7591287129
Propia, por compra, totalmente pagada	1	44003	Aguatón	1,2756050868
Propia, por compra, totalmente pagada	1	44004	Aguaviva	114,8945347381
Propia, por compra, totalmente pagada	1	44005	Aguilar del Alfambra	6,970075415
Propia, por compra, totalmente pagada	1	44006	Alacón	86,608707295
Propia, por compra, totalmente pagada	1	44007	Alba	49,4536500915
Propia, por compra, totalmente pagada	1	44008	Albalate del Arzobispo	470,6936923913
Propia, por compra, totalmente pagada	1	44009	Albarracín	139,2121931112
Propia, por compra, totalmente pagada	1	44010	Albentosa	35,2858732645
Propia, por compra, totalmente pagada	1	44011	Alcaine	15,4270423655
Propia, por compra, totalmente pagada	1	44012	Alcalá de la Selva	84,3548899781
Propia, por compra, totalmente pagada	1	44013	Alcañiz	2709,9707665432
Propia, por compra, totalmente pagada	1	44014	Alcorisa	596,4742394255
Propia, por compra, totalmente pagada	1	44016	Alfambra	140,9975288083
Propia, por compra, totalmente pagada	1	44017	Aliaga	79,0050434992
Propia, por compra, totalmente pagada	1	44019	Alobras	3,9507670159
Propia, por compra, totalmente pagada	1	44020	Alpeñés	4,386239923
Propia, por compra, totalmente pagada	1	44021	Allepuz	13,9628798096
Propia, por compra, totalmente pagada	1	44022	Alloza	131,1306997707
Propia, por compra, totalmente pagada	1	44023	Allueva	7,0109889684
Propia, por compra, totalmente pagada	1	44024	Anadón	4,0888080846
Propia, por compra, totalmente pagada	1	44025	Andorra	1549,3436610948
Propia, por compra, totalmente pagada	1	44026	Arcos de las Salinas	14,1034029587
Propia, por compra, totalmente pagada	1	44027	Arens de Lledó	28,3697570231
Propia, por compra, totalmente pagada	1	44028	Argente	29,2537961239
Propia, por compra, totalmente pagada	1	44029	Ariño	198,563184949
Propia, por compra, totalmente pagada	1	44031	Azaila	18,2126681629
Propia, por compra, totalmente pagada	1	44032	Bádenas	8,1572075078
Propia, por compra, totalmente pagada	1	44033	Báguena	71,7170504897
Propia, por compra, totalmente pagada	1	44034	Bañón	33,2091986626
Propia, por compra, totalmente pagada	1	44035	Barrachina	20,9306944618
Propia, por compra, totalmente pagada	1	44036	Bea	6,2118898934
Propia, por compra, totalmente pagada	1	44037	Beceite	100,6575091402
Propia, por compra, totalmente pagada	1	44038	Belmonte de San José	24,1267991659
Propia, por compra, totalmente pagada	1	44039	Bello	57,4496053485
Propia, por compra, totalmente pagada	1	44040	Berge	29,2362095541
Propia, por compra, totalmente pagada	1	44041	Bezas	8,8550911649
Propia, por compra, totalmente pagada	1	44042	Blancas	32,5130293096
Propia, por compra, totalmente pagada	1	44043	Blesa	25,5569485193
Propia, por compra, totalmente pagada	1	44044	Bordón	23,8822176578
Propia, por compra, totalmente pagada	1	44045	Bronchales	94,994598869
Propia, por compra, totalmente pagada	1	44046	Bueña	11,6896700289
Propia, por compra, totalmente pagada	1	44047	Burbáguena	53,9285611237
Propia, por compra, totalmente pagada	1	44048	Cabra de Mora	9,7068526506
Propia, por compra, totalmente pagada	1	44049	Calaceite	164,3913128292
Propia, por compra, totalmente pagada	1	44050	Calamocha	836,4121368539
Propia, por compra, totalmente pagada	1	44051	Calanda	575,3490476258
Propia, por compra, totalmente pagada	1	44052	Calomarde	15,3665045661
Propia, por compra, totalmente pagada	1	44053	Camañas	21,6009064658
Propia, por compra, totalmente pagada	1	44054	Camarena de la Sierra	19,8681364997
Propia, por compra, totalmente pagada	1	44055	Camarillas	18,3272192785
Propia, por compra, totalmente pagada	1	44056	Caminreal	152,1507389338
Propia, por compra, totalmente pagada	1	44059	Cantavieja	94,5826398707
Propia, por compra, totalmente pagada	1	44060	Cañada de Benatanduz	4,3182908885
Propia, por compra, totalmente pagada	1	44061	Cañada de Verich (La)	18,1704212943
Propia, por compra, totalmente pagada	1	44062	Cañada Vellida	2,7823773185
Propia, por compra, totalmente pagada	1	44063	Cañizar del Olivar	5,8515393151
Propia, por compra, totalmente pagada	1	44064	Cascante del Río	26,0368524094
Propia, por compra, totalmente pagada	1	44065	Castejón de Tornos	23,0405415923
Propia, por compra, totalmente pagada	1	44066	Castel de Cabra	30,158175715
Propia, por compra, totalmente pagada	1	44067	Castelnou	36,6105755305
Propia, por compra, totalmente pagada	1	44068	Castelserás	157,3881248388
Propia, por compra, totalmente pagada	1	44070	Castellar (El)	18,3972626023
Propia, por compra, totalmente pagada	1	44071	Castellote	137,0150616354
Propia, por compra, totalmente pagada	1	44074	Cedrillas	82,9187333938
Propia, por compra, totalmente pagada	1	44075	Celadas	55,1927235491
Propia, por compra, totalmente pagada	1	44076	Cella	527,3237713884
Propia, por compra, totalmente pagada	1	44077	Cerollera (La)	18,1223192733
Propia, por compra, totalmente pagada	1	44080	Codoñera (La)	57,5948088888
Propia, por compra, totalmente pagada	1	44082	Corbalán	14,4475925746
Propia, por compra, totalmente pagada	1	44084	Cortes de Aragón	19,1390256045
Propia, por compra, totalmente pagada	1	44085	Cosa	10,2203621743
Propia, por compra, totalmente pagada	1	44086	Cretas	63,9534589386
Propia, por compra, totalmente pagada	1	44087	Crivillén	25,0039254022
Propia, por compra, totalmente pagada	1	44088	Cuba (La)	10,687457353
Propia, por compra, totalmente pagada	1	44089	Cubla	12,5557954703
Propia, por compra, totalmente pagada	1	44090	Cucalón	7,8308318596
Propia, por compra, totalmente pagada	1	44092	Cuervo (El)	17,8055046269
Propia, por compra, totalmente pagada	1	44093	Cuevas de Almudén	10,1267477832
Propia, por compra, totalmente pagada	1	44094	Cuevas Labradas	19,5030698747
Propia, por compra, totalmente pagada	1	44096	Ejulve	36,1826420642
Propia, por compra, totalmente pagada	1	44097	Escorihuela	42,794617081
Propia, por compra, totalmente pagada	1	44099	Escucha	167,6857727596
Propia, por compra, totalmente pagada	1	44100	Estercuel	45,4064575463
Propia, por compra, totalmente pagada	1	44101	Ferreruela de Huerva	6,6021536804
Propia, por compra, totalmente pagada	1	44102	Fonfría	7,4314926883
Propia, por compra, totalmente pagada	1	44103	Formiche Alto	25,2056733856
Propia, por compra, totalmente pagada	1	44105	Fórnoles	15,3240106731
Propia, por compra, totalmente pagada	1	44106	Fortanete	26,229482449
Propia, por compra, totalmente pagada	1	44107	Foz-Calanda	48,9457107541
Propia, por compra, totalmente pagada	1	44108	Fresneda (La)	64,9981750977
Propia, por compra, totalmente pagada	1	44109	Frías de Albarracín	24,2141089813
Propia, por compra, totalmente pagada	1	44110	Fuenferrada	14,9331138466
Propia, por compra, totalmente pagada	1	44111	Fuentes Calientes	14,0295162457
Propia, por compra, totalmente pagada	1	44112	Fuentes Claras	107,1242218095
Propia, por compra, totalmente pagada	1	44113	Fuentes de Rubielos	14,7931933111
Propia, por compra, totalmente pagada	1	44114	Fuentespalda	44,9215426434
Propia, por compra, totalmente pagada	1	44115	Galve	21,2326267283
Propia, por compra, totalmente pagada	1	44116	Gargallo	23,7572551762
Propia, por compra, totalmente pagada	1	44117	Gea de Albarracín	59,3593868879
Propia, por compra, totalmente pagada	1	44118	Ginebrosa (La)	33,4777834035
Propia, por compra, totalmente pagada	1	44119	Griegos	27,4143104263
Propia, por compra, totalmente pagada	1	44120	Guadalaviar	42,2292333838
Propia, por compra, totalmente pagada	1	44121	Gúdar	6,3806935305
