Comarca codigo	Comarca nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
05	Cinco Villas	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	103884
05	Cinco Villas	Colmenas	Colmenas	81	8	3889
05	Cinco Villas	Conejas madres	Conejas madres	71	7	2307
05	Cinco Villas	Equinos (caballos, mulas y asnos)	Equinos	41	4	343
05	Cinco Villas	Gallinas ponedoras	Aves	61	6	6609
05	Cinco Villas	Lechones de menos de 20 kg	Porcinos	52	5	213424
05	Cinco Villas	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	2054
05	Cinco Villas	Otros bovinos de dos años o más	Bovinos	12	1	934
05	Cinco Villas	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	680
05	Cinco Villas	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	17094
05	Cinco Villas	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	389183
05	Cinco Villas	Ovejas madres y corderas para reposición	Ovinos	21	2	146124
05	Cinco Villas	Pollos de carne	Aves	62	6	984583
05	Cinco Villas	Vacas	Bovinos	11	1	3773
06	Hoya de Huesca / Plana de Uesca	Bovinos de entre uno y dos años	Bovinos	13	1	4218
06	Hoya de Huesca / Plana de Uesca	Bovinos de menos de un año	Bovinos	14	1	10359
06	Hoya de Huesca / Plana de Uesca	Cabras madres y chivas de reposición	Caprinos	31	3	1768
06	Hoya de Huesca / Plana de Uesca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	29214
06	Hoya de Huesca / Plana de Uesca	Colmenas	Colmenas	81	8	1991
06	Hoya de Huesca / Plana de Uesca	Conejas madres	Conejas madres	71	7	3170
06	Hoya de Huesca / Plana de Uesca	Equinos (caballos, mulas y asnos)	Equinos	41	4	476
06	Hoya de Huesca / Plana de Uesca	Gallinas ponedoras	Aves	61	6	1022402
06	Hoya de Huesca / Plana de Uesca	Lechones de menos de 20 kg	Porcinos	52	5	105608
06	Hoya de Huesca / Plana de Uesca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	380146
06	Hoya de Huesca / Plana de Uesca	Otros bovinos de dos años o más	Bovinos	12	1	1380
06	Hoya de Huesca / Plana de Uesca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	231
06	Hoya de Huesca / Plana de Uesca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	7370
06	Hoya de Huesca / Plana de Uesca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	283682
06	Hoya de Huesca / Plana de Uesca	Ovejas madres y corderas para reposición	Ovinos	21	2	74387
06	Hoya de Huesca / Plana de Uesca	Pollos de carne	Aves	62	6	900710
06	Hoya de Huesca / Plana de Uesca	Vacas	Bovinos	11	1	2880
07	Somontano de Barbastro	Bovinos de entre uno y dos años	Bovinos	13	1	4213
07	Somontano de Barbastro	Bovinos de menos de un año	Bovinos	14	1	10754
07	Somontano de Barbastro	Cabras madres y chivas de reposición	Caprinos	31	3	977
07	Somontano de Barbastro	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	17342
07	Somontano de Barbastro	Colmenas	Colmenas	81	8	1870
07	Somontano de Barbastro	Conejas madres	Conejas madres	71	7	4488
07	Somontano de Barbastro	Equinos (caballos, mulas y asnos)	Equinos	41	4	50
07	Somontano de Barbastro	Gallinas ponedoras	Aves	61	6	643
07	Somontano de Barbastro	Lechones de menos de 20 kg	Porcinos	52	5	42203
07	Somontano de Barbastro	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	83
07	Somontano de Barbastro	Otros bovinos de dos años o más	Bovinos	12	1	187
07	Somontano de Barbastro	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	226
07	Somontano de Barbastro	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3005
07	Somontano de Barbastro	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	157242
07	Somontano de Barbastro	Ovejas madres y corderas para reposición	Ovinos	21	2	39669
07	Somontano de Barbastro	Pollos de carne	Aves	62	6	423218
07	Somontano de Barbastro	Vacas	Bovinos	11	1	766
08	Cinca Medio	Bovinos de entre uno y dos años	Bovinos	13	1	5839
08	Cinca Medio	Bovinos de menos de un año	Bovinos	14	1	11109
08	Cinca Medio	Cabras madres y chivas de reposición	Caprinos	31	3	598
