Comarca codigo	Comarca nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
20	Comunidad de Calatayud	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	26090
20	Comunidad de Calatayud	Ovejas madres y corderas para reposición	Ovinos	21	2	64489
20	Comunidad de Calatayud	Pollos de carne	Aves	62	6	596452
20	Comunidad de Calatayud	Vacas	Bovinos	11	1	345
21	Campo de Cariñena	Bovinos de entre uno y dos años	Bovinos	13	1	156
21	Campo de Cariñena	Bovinos de menos de un año	Bovinos	14	1	243
21	Campo de Cariñena	Cabras madres y chivas de reposición	Caprinos	31	3	78
21	Campo de Cariñena	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	2905
21	Campo de Cariñena	Colmenas	Colmenas	81	8	1317
21	Campo de Cariñena	Conejas madres	Conejas madres	71	7	2380
21	Campo de Cariñena	Equinos (caballos, mulas y asnos)	Equinos	41	4	9
21	Campo de Cariñena	Gallinas ponedoras	Aves	61	6	625154
21	Campo de Cariñena	Lechones de menos de 20 kg	Porcinos	52	5	11935
21	Campo de Cariñena	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	24011
21	Campo de Cariñena	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	16
21	Campo de Cariñena	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1015
21	Campo de Cariñena	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	17713
21	Campo de Cariñena	Ovejas madres y corderas para reposición	Ovinos	21	2	9273
21	Campo de Cariñena	Pollos de carne	Aves	62	6	380003
22	Campo de Belchite	Bovinos de entre uno y dos años	Bovinos	13	1	3197
22	Campo de Belchite	Bovinos de menos de un año	Bovinos	14	1	3590
22	Campo de Belchite	Cabras madres y chivas de reposición	Caprinos	31	3	761
22	Campo de Belchite	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3380
22	Campo de Belchite	Colmenas	Colmenas	81	8	405
22	Campo de Belchite	Equinos (caballos, mulas y asnos)	Equinos	41	4	229
22	Campo de Belchite	Gallinas ponedoras	Aves	61	6	71
22	Campo de Belchite	Lechones de menos de 20 kg	Porcinos	52	5	5947
22	Campo de Belchite	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	1
22	Campo de Belchite	Otros bovinos de dos años o más	Bovinos	12	1	189
22	Campo de Belchite	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	108
22	Campo de Belchite	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	4007
22	Campo de Belchite	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	85620
22	Campo de Belchite	Ovejas madres y corderas para reposición	Ovinos	21	2	22224
22	Campo de Belchite	Pollos de carne	Aves	62	6	650816
22	Campo de Belchite	Vacas	Bovinos	11	1	451
23	Bajo Martín	Bovinos de entre uno y dos años	Bovinos	13	1	550
23	Bajo Martín	Bovinos de menos de un año	Bovinos	14	1	4981
23	Bajo Martín	Cabras madres y chivas de reposición	Caprinos	31	3	287
23	Bajo Martín	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	6140
23	Bajo Martín	Colmenas	Colmenas	81	8	166
23	Bajo Martín	Conejas madres	Conejas madres	71	7	4
23	Bajo Martín	Equinos (caballos, mulas y asnos)	Equinos	41	4	2
23	Bajo Martín	Gallinas ponedoras	Aves	61	6	107740
23	Bajo Martín	Lechones de menos de 20 kg	Porcinos	52	5	21190
23	Bajo Martín	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	38008
23	Bajo Martín	Otros bovinos de dos años o más	Bovinos	12	1	11
23	Bajo Martín	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	30
23	Bajo Martín	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	1923
23	Bajo Martín	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	44403
23	Bajo Martín	Ovejas madres y corderas para reposición	Ovinos	21	2	26211
23	Bajo Martín	Pollos de carne	Aves	62	6	45001
23	Bajo Martín	Vacas	Bovinos	11	1	102
24	Campo de Daroca	Bovinos de entre uno y dos años	Bovinos	13	1	1722
24	Campo de Daroca	Bovinos de menos de un año	Bovinos	14	1	1232
24	Campo de Daroca	Cabras madres y chivas de reposición	Caprinos	31	3	234
24	Campo de Daroca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	4382
24	Campo de Daroca	Colmenas	Colmenas	81	8	1150
24	Campo de Daroca	Conejas madres	Conejas madres	71	7	353
24	Campo de Daroca	Equinos (caballos, mulas y asnos)	Equinos	41	4	8
24	Campo de Daroca	Gallinas ponedoras	Aves	61	6	855235
24	Campo de Daroca	Lechones de menos de 20 kg	Porcinos	52	5	10330
24	Campo de Daroca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	41400
24	Campo de Daroca	Otros bovinos de dos años o más	Bovinos	12	1	84
24	Campo de Daroca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	58
24	Campo de Daroca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3204
24	Campo de Daroca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	32111
24	Campo de Daroca	Ovejas madres y corderas para reposición	Ovinos	21	2	24986
24	Campo de Daroca	Pollos de carne	Aves	62	6	174036
24	Campo de Daroca	Vacas	Bovinos	11	1	337
25	Jiloca	Bovinos de entre uno y dos años	Bovinos	13	1	249
25	Jiloca	Bovinos de menos de un año	Bovinos	14	1	2426
25	Jiloca	Cabras madres y chivas de reposición	Caprinos	31	3	653
25	Jiloca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	14101
25	Jiloca	Colmenas	Colmenas	81	8	696
25	Jiloca	Conejas madres	Conejas madres	71	7	22563
25	Jiloca	Equinos (caballos, mulas y asnos)	Equinos	41	4	19
25	Jiloca	Gallinas ponedoras	Aves	61	6	708
25	Jiloca	Lechones de menos de 20 kg	Porcinos	52	5	38176
25	Jiloca	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	38
25	Jiloca	Otros bovinos de dos años o más	Bovinos	12	1	113
25	Jiloca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	80
25	Jiloca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	4411
25	Jiloca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	135661
25	Jiloca	Ovejas madres y corderas para reposición	Ovinos	21	2	86805
25	Jiloca	Pollos de carne	Aves	62	6	45214
26	Cuencas Mineras	Bovinos de entre uno y dos años	Bovinos	13	1	934
26	Cuencas Mineras	Bovinos de menos de un año	Bovinos	14	1	740
26	Cuencas Mineras	Cabras madres y chivas de reposición	Caprinos	31	3	542
26	Cuencas Mineras	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	11024
26	Cuencas Mineras	Colmenas	Colmenas	81	8	2738
26	Cuencas Mineras	Conejas madres	Conejas madres	71	7	2903
26	Cuencas Mineras	Equinos (caballos, mulas y asnos)	Equinos	41	4	22
26	Cuencas Mineras	Gallinas ponedoras	Aves	61	6	509
26	Cuencas Mineras	Lechones de menos de 20 kg	Porcinos	52	5	2630
26	Cuencas Mineras	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	37
26	Cuencas Mineras	Otros bovinos de dos años o más	Bovinos	12	1	100
26	Cuencas Mineras	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	81
26	Cuencas Mineras	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2208
26	Cuencas Mineras	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	8208
26	Cuencas Mineras	Ovejas madres y corderas para reposición	Ovinos	21	2	52554
26	Cuencas Mineras	Pollos de carne	Aves	62	6	45123
26	Cuencas Mineras	Vacas	Bovinos	11	1	727
27	Andorra-Sierra de Arcos	Bovinos de menos de un año	Bovinos	14	1	94
27	Andorra-Sierra de Arcos	Cabras madres y chivas de reposición	Caprinos	31	3	676
27	Andorra-Sierra de Arcos	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3990
27	Andorra-Sierra de Arcos	Colmenas	Colmenas	81	8	1349
27	Andorra-Sierra de Arcos	Conejas madres	Conejas madres	71	7	959
27	Andorra-Sierra de Arcos	Equinos (caballos, mulas y asnos)	Equinos	41	4	8
27	Andorra-Sierra de Arcos	Gallinas ponedoras	Aves	61	6	379
27	Andorra-Sierra de Arcos	Lechones de menos de 20 kg	Porcinos	52	5	2962
27	Andorra-Sierra de Arcos	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	4
27	Andorra-Sierra de Arcos	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	60
27	Andorra-Sierra de Arcos	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	2706
27	Andorra-Sierra de Arcos	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	12156
27	Andorra-Sierra de Arcos	Ovejas madres y corderas para reposición	Ovinos	21	2	34677
27	Andorra-Sierra de Arcos	Pollos de carne	Aves	62	6	56
28	Bajo Aragón	Bovinos de entre uno y dos años	Bovinos	13	1	460
28	Bajo Aragón	Bovinos de menos de un año	Bovinos	14	1	2611
28	Bajo Aragón	Cabras madres y chivas de reposición	Caprinos	31	3	2033
28	Bajo Aragón	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	18553
28	Bajo Aragón	Colmenas	Colmenas	81	8	2363
28	Bajo Aragón	Conejas madres	Conejas madres	71	7	10520
28	Bajo Aragón	Equinos (caballos, mulas y asnos)	Equinos	41	4	21
28	Bajo Aragón	Gallinas ponedoras	Aves	61	6	2366
28	Bajo Aragón	Lechones de menos de 20 kg	Porcinos	52	5	57708
28	Bajo Aragón	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	2
28	Bajo Aragón	Otros bovinos de dos años o más	Bovinos	12	1	202
28	Bajo Aragón	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	136
28	Bajo Aragón	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3934
28	Bajo Aragón	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	145514
28	Bajo Aragón	Ovejas madres y corderas para reposición	Ovinos	21	2	59188
28	Bajo Aragón	Pollos de carne	Aves	62	6	920041
28	Bajo Aragón	Vacas	Bovinos	11	1	349
29	Comunidad de Teruel	Bovinos de entre uno y dos años	Bovinos	13	1	679
29	Comunidad de Teruel	Bovinos de menos de un año	Bovinos	14	1	1413
29	Comunidad de Teruel	Cabras madres y chivas de reposición	Caprinos	31	3	758
29	Comunidad de Teruel	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	9794
29	Comunidad de Teruel	Colmenas	Colmenas	81	8	1269
29	Comunidad de Teruel	Conejas madres	Conejas madres	71	7	2662
29	Comunidad de Teruel	Equinos (caballos, mulas y asnos)	Equinos	41	4	213
29	Comunidad de Teruel	Gallinas ponedoras	Aves	61	6	1586
29	Comunidad de Teruel	Lechones de menos de 20 kg	Porcinos	52	5	17292
29	Comunidad de Teruel	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	27574
29	Comunidad de Teruel	Otros bovinos de dos años o más	Bovinos	12	1	246
29	Comunidad de Teruel	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	68
29	Comunidad de Teruel	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	19454
29	Comunidad de Teruel	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	71739
29	Comunidad de Teruel	Ovejas madres y corderas para reposición	Ovinos	21	2	182495
29	Comunidad de Teruel	Pollos de carne	Aves	62	6	103168
29	Comunidad de Teruel	Vacas	Bovinos	11	1	1053
30	Maestrazgo	Bovinos de entre uno y dos años	Bovinos	13	1	473
30	Maestrazgo	Bovinos de menos de un año	Bovinos	14	1	1364
30	Maestrazgo	Cabras madres y chivas de reposición	Caprinos	31	3	1865
30	Maestrazgo	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	8290
30	Maestrazgo	Colmenas	Colmenas	81	8	1823
30	Maestrazgo	Conejas madres	Conejas madres	71	7	2924
30	Maestrazgo	Equinos (caballos, mulas y asnos)	Equinos	41	4	117
30	Maestrazgo	Gallinas ponedoras	Aves	61	6	437
30	Maestrazgo	Lechones de menos de 20 kg	Porcinos	52	5	15005
30	Maestrazgo	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	22
30	Maestrazgo	Otros bovinos de dos años o más	Bovinos	12	1	749
30	Maestrazgo	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	122
30	Maestrazgo	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3259
30	Maestrazgo	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	51099
30	Maestrazgo	Ovejas madres y corderas para reposición	Ovinos	21	2	44883
30	Maestrazgo	Pollos de carne	Aves	62	6	13126
30	Maestrazgo	Vacas	Bovinos	11	1	3867
31	Sierra de Albarracín	Bovinos de entre uno y dos años	Bovinos	13	1	452
31	Sierra de Albarracín	Bovinos de menos de un año	Bovinos	14	1	552
31	Sierra de Albarracín	Cabras madres y chivas de reposición	Caprinos	31	3	1312
31	Sierra de Albarracín	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	3330
31	Sierra de Albarracín	Colmenas	Colmenas	81	8	1382
31	Sierra de Albarracín	Conejas madres	Conejas madres	71	7	3114
31	Sierra de Albarracín	Equinos (caballos, mulas y asnos)	Equinos	41	4	44
31	Sierra de Albarracín	Gallinas ponedoras	Aves	61	6	511
31	Sierra de Albarracín	Lechones de menos de 20 kg	Porcinos	52	5	2851
31	Sierra de Albarracín	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	27
31	Sierra de Albarracín	Otros bovinos de dos años o más	Bovinos	12	1	216
31	Sierra de Albarracín	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	159
31	Sierra de Albarracín	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	5791
31	Sierra de Albarracín	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	4579
31	Sierra de Albarracín	Ovejas madres y corderas para reposición	Ovinos	21	2	59585
31	Sierra de Albarracín	Pollos de carne	Aves	62	6	100
31	Sierra de Albarracín	Vacas	Bovinos	11	1	931
32	Gúdar-Javalambre	Bovinos de entre uno y dos años	Bovinos	13	1	748
32	Gúdar-Javalambre	Bovinos de menos de un año	Bovinos	14	1	1400
32	Gúdar-Javalambre	Cabras madres y chivas de reposición	Caprinos	31	3	3077
32	Gúdar-Javalambre	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	1387
32	Gúdar-Javalambre	Colmenas	Colmenas	81	8	591
32	Gúdar-Javalambre	Conejas madres	Conejas madres	71	7	2608
32	Gúdar-Javalambre	Equinos (caballos, mulas y asnos)	Equinos	41	4	172
32	Gúdar-Javalambre	Gallinas ponedoras	Aves	61	6	729
32	Gúdar-Javalambre	Lechones de menos de 20 kg	Porcinos	52	5	3064
32	Gúdar-Javalambre	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	33
32	Gúdar-Javalambre	Otros bovinos de dos años o más	Bovinos	12	1	1509
32	Gúdar-Javalambre	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	279
32	Gúdar-Javalambre	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3943
32	Gúdar-Javalambre	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	8522
32	Gúdar-Javalambre	Ovejas madres y corderas para reposición	Ovinos	21	2	55645
32	Gúdar-Javalambre	Pollos de carne	Aves	62	6	154
32	Gúdar-Javalambre	Vacas	Bovinos	11	1	3711
33	Matarraña / Matarranya	Bovinos de entre uno y dos años	Bovinos	13	1	873
33	Matarraña / Matarranya	Bovinos de menos de un año	Bovinos	14	1	2222
33	Matarraña / Matarranya	Cabras madres y chivas de reposición	Caprinos	31	3	1254
33	Matarraña / Matarranya	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	17983
33	Matarraña / Matarranya	Colmenas	Colmenas	81	8	1193
33	Matarraña / Matarranya	Conejas madres	Conejas madres	71	7	29065
33	Matarraña / Matarranya	Equinos (caballos, mulas y asnos)	Equinos	41	4	21
33	Matarraña / Matarranya	Gallinas ponedoras	Aves	61	6	51125
33	Matarraña / Matarranya	Lechones de menos de 20 kg	Porcinos	52	5	43757
33	Matarraña / Matarranya	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	Aves	63	6	14530
33	Matarraña / Matarranya	Otros bovinos de dos años o más	Bovinos	12	1	450
33	Matarraña / Matarranya	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	37
33	Matarraña / Matarranya	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	3197
33	Matarraña / Matarranya	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	133313
33	Matarraña / Matarranya	Ovejas madres y corderas para reposición	Ovinos	21	2	23972
33	Matarraña / Matarranya	Pollos de carne	Aves	62	6	1061085
33	Matarraña / Matarranya	Vacas	Bovinos	11	1	465
