Tipo de vivienda	Tipo de vivienda, código	Tipo de vivienda principal	Tipo de vivienda principal, código	CCAA codigo	CCAA nombre	Nº viviendas
Vivienda principal	1	Vivienda principal convencional	1	02	Aragón	538678,0420538
Vivienda principal	1	Alojamiento	2	02	Aragón	192,4167043322
Vivienda no principal secundaria	2			02	Aragón	139109,336600458
Vivienda no principal vacía	3			02	Aragón	100336,663399612
