Año	Código de la comarca	Comarca	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1989	01	La Jacetania	1240	17	248	217	186	258	169	145	1223
1989	02	Alto Gállego	787	5	192	120	112	136	62	160	782
1989	03	Sobrarbe	1544	8	330	200	285	322	177	222	1536
1989	04	La Ribagorza	2406	10	426	312	420	575	321	342	2396
1989	05	Cinco Villas	7501	114	2659	1149	1619	1085	439	436	7387
1989	06	Hoya de Huesca / Plana de Uesca	3736	35	1009	497	568	727	479	421	3701
1989	07	Somontano de Barbastro	3147	14	899	523	590	714	260	147	3133
1989	08	Cinca Medio	2368	12	979	372	397	414	120	74	2356
1989	09	La Litera / La Llitera	2779	15	982	600	571	365	157	89	2764
1989	10	Los Monegros	4155	55	633	423	943	1040	609	452	4100
1989	11	Bajo Cinca / Baix Cinca	2989	21	1142	532	518	410	227	139	2968
1989	12	Tarazona y el Moncayo	2232	13	1505	273	195	161	54	31	2219
1989	13	Campo de Borja	3135	19	1601	534	419	374	107	81	3116
1989	14	Aranda	1627	18	990	315	159	86	24	35	1609
1989	15	Ribera Alta del Ebro	3615	38	2569	475	259	164	71	39	3577
1989	16	Valdejalón	5310	76	3263	827	583	341	102	118	5234
1989	17	Central	6215	123	3188	1028	719	702	245	210	6092
1989	18	Ribera Baja del Ebro	1921	29	937	189	192	268	162	144	1892
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2501	46	1234	392	373	273	101	82	2455
1989	20	Comunidad de Calatayud	8991	106	4538	1827	1246	687	278	309	8885
1989	21	Campo de Cariñena	3488	26	1645	785	478	314	144	96	3462
1989	22	Campo de Belchite	1569	30	323	179	223	335	259	220	1539
1989	23	Bajo Martín	1412	48	725	91	77	152	135	184	1364
1989	24	Campo de Daroca	1783	28	519	254	213	292	265	212	1755
1989	25	Jiloca	3521	20	898	525	513	749	482	334	3501
1989	26	Cuencas Mineras	1672	18	538	228	265	255	173	195	1654
1989	27	Andorra-Sierra de Arcos	1707	17	832	300	224	190	82	62	1690
1989	28	Bajo Aragón	3473	31	1546	622	512	454	168	140	3442
1989	29	Comunidad de Teruel	4694	35	1325	843	782	856	482	371	4659
1989	30	Maestrazgo	1465	4	367	222	239	228	141	264	1461
1989	31	Sierra de Albarracín	1041	17	298	185	194	170	53	124	1024
1989	32	Gúdar-Javalambre	3636	18	1465	668	549	361	206	369	3618
1989	33	Matarraña / Matarranya	3071	16	945	533	666	651	161	99	3055
1999	01	La Jacetania	896	21	152	92	133	193	143	162	875
1999	02	Alto Gállego	537	21	88	75	70	106	57	120	516
1999	03	Sobrarbe	937	13	129	136	152	189	139	179	924
1999	04	La Ribagorza	2019	51	281	204	310	463	326	384	1968
1999	05	Cinco Villas	4963	134	1264	589	983	1021	475	497	4829
1999	06	Hoya de Huesca / Plana de Uesca	3557	55	1108	382	456	608	423	525	3502
1999	07	Somontano de Barbastro	2798	38	892	451	451	546	228	192	2760
1999	08	Cinca Medio	2213	90	898	314	308	360	149	94	2123
1999	09	La Litera / La Llitera	2755	63	1089	528	459	379	126	111	2692
1999	10	Los Monegros	4133	108	969	252	639	978	677	510	4025
1999	11	Bajo Cinca / Baix Cinca	3134	27	1329	550	460	362	224	182	3107
1999	12	Tarazona y el Moncayo	1919	20	1309	243	127	119	65	36	1899
1999	13	Campo de Borja	3021	42	1632	477	348	323	122	77	2979
1999	14	Aranda	1367	30	878	218	112	71	15	43	1337
1999	15	Ribera Alta del Ebro	2403	23	1573	306	209	149	78	65	2380
1999	16	Valdejalón	4415	60	2698	646	433	301	146	131	4355
1999	17	Central	4362	105	2044	499	537	580	343	254	4257
1999	18	Ribera Baja del Ebro	1532	67	581	146	172	252	152	162	1465
1999	19	Bajo Aragón-Caspe / Baix Aragó-Casp	2289	37	1091	328	372	280	91	90	2252
1999	20	Comunidad de Calatayud	6309	99	3335	1131	751	450	195	348	6210
1999	21	Campo de Cariñena	3097	30	1557	580	393	292	127	118	3067
1999	22	Campo de Belchite	1525	30	618	97	117	207	215	241	1495
1999	23	Bajo Martín	1475	47	886	104	55	84	113	186	1428
1999	24	Campo de Daroca	1914	34	605	237	232	347	213	246	1880
1999	25	Jiloca	2853	89	664	310	394	627	383	386	2764
1999	26	Cuencas Mineras	914	64	174	70	100	189	125	192	850
1999	27	Andorra-Sierra de Arcos	1334	16	857	155	82	87	60	77	1318
1999	28	Bajo Aragón	3327	49	1701	490	389	368	158	172	3278
1999	29	Comunidad de Teruel	2901	109	497	324	461	697	418	395	2792
1999	30	Maestrazgo	917	32	248	121	96	112	79	229	885
1999	31	Sierra de Albarracín	548	63	105	61	85	80	45	109	485
1999	32	Gúdar-Javalambre	1220	57	362	153	119	173	141	215	1163
1999	33	Matarraña / Matarranya	2437	53	518	382	532	633	228	91	2384
