CCAA nombre	CCAA código	Año	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
Aragón	02	2019	1018609	766006	252603	8202	6955	750849	75,2011812187012
Aragón	02	2016	1016990	711094	305896	6153	6032	698909	69,921434822368
Aragón	02	2015	987147	737486	249661	6121	6773	724592	74,7088326257386
Aragón	02	2011	1018510	723071	295439	11379	14535	697157	70,9930192143425
Aragón	02	2008	1016420	771633	244787	4153	9620	757860	75,9167470140296
