Municipio código	Municipio nombre	Núcleos en el hogar	Número hogares
22001	Abiego	0	32
22001	Abiego	1	63
22001	Abiego	2	8
22001	Abiego	3	1
22002	Abizanda	0	21
22002	Abizanda	1	22
22002	Abizanda	2	3
22003	Adahuesca	0	30
22003	Adahuesca	1	32
22003	Adahuesca	2	5
22004	Agüero	0	36
22004	Agüero	1	33
22004	Agüero	2	3
22006	Aísa	0	64
22006	Aísa	1	76
22006	Aísa	2	7
22006	Aísa	3	2
22007	Albalate de Cinca	0	101
22007	Albalate de Cinca	1	272
22007	Albalate de Cinca	2	24
22007	Albalate de Cinca	3	1
22008	Albalatillo	0	40
22008	Albalatillo	1	50
22008	Albalatillo	2	11
22009	Albelda	0	107
22009	Albelda	1	201
22009	Albelda	2	19
22011	Albero Alto	0	16
22011	Albero Alto	1	16
22011	Albero Alto	2	5
22012	Albero Bajo	0	17
22012	Albero Bajo	1	20
22012	Albero Bajo	2	3
22013	Alberuela de Tubo	0	31
22013	Alberuela de Tubo	1	71
22013	Alberuela de Tubo	2	11
22014	Alcalá de Gurrea	0	57
22014	Alcalá de Gurrea	1	68
22014	Alcalá de Gurrea	2	7
22015	Alcalá del Obispo	0	55
22015	Alcalá del Obispo	1	83
22015	Alcalá del Obispo	2	7
22016	Alcampell	0	111
22016	Alcampell	1	191
22016	Alcampell	2	28
22017	Alcolea de Cinca	0	111
22017	Alcolea de Cinca	1	274
22017	Alcolea de Cinca	2	27
22017	Alcolea de Cinca	3	1
22018	Alcubierre	0	57
22018	Alcubierre	1	114
22018	Alcubierre	2	3
22019	Alerre	0	14
22019	Alerre	1	52
22020	Alfántega	0	11
22020	Alfántega	1	27
22020	Alfántega	2	3
22021	Almudévar	0	228
22021	Almudévar	1	558
22021	Almudévar	2	32
22021	Almudévar	3	2
22022	Almunia de San Juan	0	58
22022	Almunia de San Juan	1	165
22022	Almunia de San Juan	2	14
22023	Almuniente	0	55
22023	Almuniente	1	145
22023	Almuniente	2	4
22024	Alquézar	0	40
22024	Alquézar	1	74
22024	Alquézar	2	4
22025	Altorricón	0	129
22025	Altorricón	1	343
22025	Altorricón	2	26
22027	Angüés	0	57
22027	Angüés	1	111
22027	Angüés	2	4
22028	Ansó	0	100
22028	Ansó	1	99
22028	Ansó	2	4
22028	Ansó	3	1
22029	Antillón	0	11
22029	Antillón	1	31
22029	Antillón	2	6
22032	Aragüés del Puerto	0	31
22032	Aragüés del Puerto	1	28
22032	Aragüés del Puerto	2	3
22035	Arén	0	57
22035	Arén	1	81
22035	Arén	2	4
22035	Arén	3	1
22036	Argavieso	0	10
22036	Argavieso	1	26
22036	Argavieso	2	4
22037	Arguis	0	15
22037	Arguis	1	12
22037	Arguis	2	2
22039	Ayerbe	0	159
22039	Ayerbe	1	277
22039	Ayerbe	2	11
22040	Azanuy-Alins	0	30
22040	Azanuy-Alins	1	43
22040	Azanuy-Alins	2	3
22041	Azara	0	21
22041	Azara	1	44
22041	Azara	2	6
22042	Azlor	0	19
22042	Azlor	1	38
22042	Azlor	2	2
22043	Baells	0	30
22043	Baells	1	28
22043	Baells	2	3
22044	Bailo	0	42
22044	Bailo	1	63
22044	Bailo	2	7
22045	Baldellou	0	24
22045	Baldellou	1	27
22045	Baldellou	2	4
22046	Ballobar	0	79
22046	Ballobar	1	213
22046	Ballobar	2	37
22047	Banastás	0	15
22047	Banastás	1	40
22047	Banastás	2	4
22047	Banastás	3	1
22048	Barbastro	0	1327
22048	Barbastro	1	3853
22048	Barbastro	2	126
22048	Barbastro	3	4
22048	Barbastro	4 o más	1
22049	Barbués	0	12
22049	Barbués	1	22
22049	Barbués	2	4
22050	Barbuñales	0	26
22050	Barbuñales	1	23
22050	Barbuñales	2	2
22051	Bárcabo	0	24
22051	Bárcabo	1	19
22051	Bárcabo	2	4
22052	Belver de Cinca	0	109
22052	Belver de Cinca	1	306
22052	Belver de Cinca	2	32
22053	Benabarre	0	148
22053	Benabarre	1	242
22053	Benabarre	2	25
22054	Benasque	0	289
22054	Benasque	1	321
22054	Benasque	2	19
22054	Benasque	3	1
22055	Berbegal	0	63
22055	Berbegal	1	101
22055	Berbegal	2	11
22057	Bielsa	0	66
22057	Bielsa	1	100
22057	Bielsa	2	5
22057	Bielsa	3	1
22058	Bierge	0	47
22058	Bierge	1	43
22058	Bierge	2	6
22059	Biescas	0	193
22059	Biescas	1	278
22059	Biescas	2	16
22060	Binaced	0	118
22060	Binaced	1	344
22060	Binaced	2	50
22061	Binéfar	0	647
22061	Binéfar	1	2217
22061	Binéfar	2	82
22061	Binéfar	3	2
22062	Bisaurri	0	40
22062	Bisaurri	1	47
22062	Bisaurri	2	4
22063	Biscarrués	0	33
22063	Biscarrués	1	42
22063	Biscarrués	2	7
22063	Biscarrués	3	1
22064	Blecua y Torres	0	25
22064	Blecua y Torres	1	37
22064	Blecua y Torres	2	8
22066	Boltaña	0	127
22066	Boltaña	1	175
22066	Boltaña	2	17
22066	Boltaña	3	1
22067	Bonansa	0	11
22067	Bonansa	1	15
22067	Bonansa	2	4
22068	Borau	0	20
22068	Borau	1	13
22069	Broto	0	54
22069	Broto	1	123
22069	Broto	2	11
22072	Caldearenas	0	46
22072	Caldearenas	1	49
22072	Caldearenas	2	7
22074	Campo	0	45
22074	Campo	1	76
22074	Campo	2	8
22075	Camporrells	0	50
22075	Camporrells	1	56
22075	Camporrells	2	5
22076	Canal de Berdún	0	74
22076	Canal de Berdún	1	95
22076	Canal de Berdún	2	7
22077	Candasnos	0	52
22077	Candasnos	1	136
22077	Candasnos	2	7
22077	Candasnos	4 o más	1
22078	Canfranc	0	114
22078	Canfranc	1	115
22078	Canfranc	2	6
22079	Capdesaso	0	29
22079	Capdesaso	1	33
22079	Capdesaso	2	3
22080	Capella	0	44
22080	Capella	1	80
22080	Capella	2	15
22081	Casbas de Huesca	0	47
22081	Casbas de Huesca	1	61
22081	Casbas de Huesca	2	7
22082	Castejón del Puente	0	34
22082	Castejón del Puente	1	101
22082	Castejón del Puente	2	5
22083	Castejón de Monegros	0	73
22083	Castejón de Monegros	1	160
22083	Castejón de Monegros	2	13
22084	Castejón de Sos	0	75
22084	Castejón de Sos	1	143
22084	Castejón de Sos	2	4
22084	Castejón de Sos	4 o más	1
22085	Castelflorite	0	17
22085	Castelflorite	1	30
22085	Castelflorite	2	1
22086	Castiello de Jaca	0	33
22086	Castiello de Jaca	1	45
22086	Castiello de Jaca	2	2
22087	Castigaleu	0	10
22087	Castigaleu	1	11
22087	Castigaleu	2	4
22087	Castigaleu	3	1
22088	Castillazuelo	0	43
22088	Castillazuelo	1	43
22088	Castillazuelo	2	10
22089	Castillonroy	0	45
22089	Castillonroy	1	86
22089	Castillonroy	2	14
22089	Castillonroy	3	1
22090	Colungo	0	28
22090	Colungo	1	32
22090	Colungo	2	2
22094	Chalamera	0	27
22094	Chalamera	1	35
22094	Chalamera	2	2
22095	Chía	0	19
22095	Chía	1	24
22096	Chimillas	0	18
22096	Chimillas	1	56
22096	Chimillas	2	3
22099	Esplús	0	60
22099	Esplús	1	177
22099	Esplús	2	10
22102	Estada	0	28
22102	Estada	1	48
22102	Estada	2	2
22103	Estadilla	0	97
22103	Estadilla	1	216
22103	Estadilla	2	14
22105	Estopiñán del Castillo	0	46
22105	Estopiñán del Castillo	1	45
22105	Estopiñán del Castillo	2	4
22106	Fago	0	14
22106	Fago	1	6
22106	Fago	2	1
22107	Fanlo	0	46
22107	Fanlo	1	23
22107	Fanlo	2	2
22107	Fanlo	4 o más	1
22109	Fiscal	0	49
22109	Fiscal	1	46
22109	Fiscal	2	6
22110	Fonz	0	146
22110	Fonz	1	279
22110	Fonz	2	13
22111	Foradada del Toscar	0	24
22111	Foradada del Toscar	1	39
22111	Foradada del Toscar	2	12
22111	Foradada del Toscar	3	1
22112	Fraga	0	794
22112	Fraga	1	2902
22112	Fraga	2	224
22112	Fraga	3	2
22113	Fueva (La)	0	49
22113	Fueva (La)	1	95
22113	Fueva (La)	2	30
22113	Fueva (La)	3	2
22114	Gistaín	0	25
22114	Gistaín	1	37
22114	Gistaín	2	5
22115	Grado (El)	0	104
22115	Grado (El)	1	117
22115	Grado (El)	2	4
22116	Grañén	0	185
22116	Grañén	1	482
22116	Grañén	2	19
22116	Grañén	3	1
22117	Graus	0	396
22117	Graus	1	709
22117	Graus	2	61
22119	Gurrea de Gállego	0	177
22119	Gurrea de Gállego	1	464
22119	Gurrea de Gállego	2	13
22122	Hoz de Jaca	0	10
22122	Hoz de Jaca	1	15
22122	Hoz de Jaca	2	1
22124	Huerto	0	41
22124	Huerto	1	55
22124	Huerto	2	5
22125	Huesca	0	4192
22125	Huesca	1	11991
22125	Huesca	2	279
22125	Huesca	3	8
22126	Ibieca	0	13
22126	Ibieca	1	25
