Municipio código	Municipio nombre	Núcleos en el hogar	Número hogares
22126	Ibieca	2	3
22127	Igriés	0	20
22127	Igriés	1	56
22127	Igriés	2	7
22128	Ilche	0	26
22128	Ilche	1	51
22128	Ilche	2	8
22129	Isábena	0	33
22129	Isábena	1	53
22129	Isábena	2	8
22130	Jaca	0	1260
22130	Jaca	1	2751
22130	Jaca	2	114
22130	Jaca	3	2
22131	Jasa	0	22
22131	Jasa	1	24
22131	Jasa	2	2
22133	Labuerda	0	25
22133	Labuerda	1	36
22133	Labuerda	2	5
22135	Laluenga	0	40
22135	Laluenga	1	53
22135	Laluenga	2	7
22136	Lalueza	0	130
22136	Lalueza	1	283
22136	Lalueza	2	16
22137	Lanaja	0	196
22137	Lanaja	1	368
22137	Lanaja	2	23
22139	Laperdiguera	0	10
22139	Laperdiguera	1	22
22139	Laperdiguera	2	3
22141	Lascellas-Ponzano	0	32
22141	Lascellas-Ponzano	1	37
22141	Lascellas-Ponzano	2	1
22142	Lascuarre	0	23
22142	Lascuarre	1	30
22142	Lascuarre	2	4
22143	Laspaúles	0	46
22143	Laspaúles	1	47
22143	Laspaúles	2	9
22144	Laspuña	0	22
22144	Laspuña	1	51
22144	Laspuña	2	9
22149	Loarre	0	70
22149	Loarre	1	79
22149	Loarre	2	7
22149	Loarre	3	1
22150	Loporzano	0	56
22150	Loporzano	1	102
22150	Loporzano	2	13
22151	Loscorrales	0	18
22151	Loscorrales	1	24
22151	Loscorrales	2	3
22155	Monesma y Cajigar	0	12
22155	Monesma y Cajigar	1	10
22155	Monesma y Cajigar	2	5
22155	Monesma y Cajigar	3	1
22156	Monflorite-Lascasas	0	28
22156	Monflorite-Lascasas	1	43
22156	Monflorite-Lascasas	2	3
22157	Montanuy	0	43
22157	Montanuy	1	57
22157	Montanuy	2	7
22158	Monzón	0	1238
22158	Monzón	1	3956
22158	Monzón	2	123
22158	Monzón	3	1
22160	Naval	0	54
22160	Naval	1	62
22160	Naval	2	5
22162	Novales	0	23
22162	Novales	1	35
22162	Novales	2	5
22162	Novales	3	1
22163	Nueno	0	40
22163	Nueno	1	86
22163	Nueno	2	5
22164	Olvena	0	9
22164	Olvena	1	15
22165	Ontiñena	0	60
22165	Ontiñena	1	154
22165	Ontiñena	2	17
22167	Osso de Cinca	0	63
22167	Osso de Cinca	1	148
22167	Osso de Cinca	2	20
22167	Osso de Cinca	3	1
22168	Palo	0	8
22168	Palo	1	7
22168	Palo	3	1
22170	Panticosa	0	97
22170	Panticosa	1	166
22170	Panticosa	2	10
22172	Peñalba	0	56
22172	Peñalba	1	152
22172	Peñalba	2	25
22172	Peñalba	3	3
22173	Peñas de Riglos (Las)	0	61
22173	Peñas de Riglos (Las)	1	64
22173	Peñas de Riglos (Las)	2	4
22174	Peralta de Alcofea	0	76
22174	Peralta de Alcofea	1	144
22174	Peralta de Alcofea	2	20
22174	Peralta de Alcofea	3	2
22175	Peralta de Calasanz	0	63
22175	Peralta de Calasanz	1	63
22176	Peraltilla	0	17
22176	Peraltilla	1	35
22176	Peraltilla	2	6
22177	Perarrúa	0	30
22177	Perarrúa	1	18
22177	Perarrúa	2	5
22177	Perarrúa	3	1
22178	Pertusa	0	17
22178	Pertusa	1	31
22178	Pertusa	2	4
22181	Piracés	0	10
22181	Piracés	1	23
22181	Piracés	2	2
22182	Plan	0	46
22182	Plan	1	59
22182	Plan	2	7
22182	Plan	3	1
22184	Poleñino	0	25
22184	Poleñino	1	48
22184	Poleñino	2	9
22186	Pozán de Vero	0	28
22186	Pozán de Vero	1	55
22186	Pozán de Vero	2	8
22187	Puebla de Castro (La)	0	48
22187	Puebla de Castro (La)	1	87
22187	Puebla de Castro (La)	2	1
22188	Puente de Montañana	0	20
22188	Puente de Montañana	1	29
22188	Puente de Montañana	2	2
22189	Puértolas	0	37
22189	Puértolas	1	29
22189	Puértolas	2	7
22189	Puértolas	3	1
22190	Pueyo de Araguás (El)	0	22
22190	Pueyo de Araguás (El)	1	21
22190	Pueyo de Araguás (El)	2	5
22193	Pueyo de Santa Cruz	0	16
22193	Pueyo de Santa Cruz	1	81
22193	Pueyo de Santa Cruz	2	11
22195	Quicena	0	13
22195	Quicena	1	24
22195	Quicena	2	2
22195	Quicena	3	2
22197	Robres	0	63
22197	Robres	1	153
22197	Robres	2	13
22199	Sabiñánigo	0	704
22199	Sabiñánigo	1	2269
22199	Sabiñánigo	2	65
22200	Sahún	0	35
22200	Sahún	1	52
22200	Sahún	2	7
22201	Salas Altas	0	36
22201	Salas Altas	1	87
22201	Salas Altas	2	12
22202	Salas Bajas	0	19
22202	Salas Bajas	1	41
22202	Salas Bajas	2	1
22203	Salillas	0	24
22203	Salillas	1	24
22203	Salillas	2	1
22204	Sallent de Gállego	0	135
22204	Sallent de Gállego	1	231
22204	Sallent de Gállego	2	20
22204	Sallent de Gállego	3	1
22205	San Esteban de Litera	0	83
22205	San Esteban de Litera	1	141
22205	San Esteban de Litera	2	6
22206	Sangarrén	0	32
22206	Sangarrén	1	60
22206	Sangarrén	2	3
22207	San Juan de Plan	0	14
22207	San Juan de Plan	1	35
22207	San Juan de Plan	2	2
22208	Santa Cilia	0	32
22208	Santa Cilia	1	36
22208	Santa Cilia	2	6
22209	Santa Cruz de la Serós	0	19
22209	Santa Cruz de la Serós	1	29
22209	Santa Cruz de la Serós	2	5
22212	Santaliestra y San Quílez	0	24
22212	Santaliestra y San Quílez	1	29
22212	Santaliestra y San Quílez	2	2
22213	Sariñena	0	365
22213	Sariñena	1	945
22213	Sariñena	2	60
22213	Sariñena	3	1
22214	Secastilla	0	17
22214	Secastilla	1	22
22214	Secastilla	2	5
22215	Seira	0	26
22215	Seira	1	40
22215	Seira	2	7
22217	Sena	0	64
22217	Sena	1	134
22217	Sena	2	11
22218	Senés de Alcubierre	0	4
22218	Senés de Alcubierre	1	9
22218	Senés de Alcubierre	2	3
22220	Sesa	0	25
22220	Sesa	1	61
22220	Sesa	2	7
22221	Sesué	0	24
22221	Sesué	1	25
22221	Sesué	2	2
22221	Sesué	3	1
22222	Siétamo	0	55
22222	Siétamo	1	111
22222	Siétamo	2	6
22223	Sopeira	0	25
22223	Sopeira	1	18
22223	Sopeira	2	2
22223	Sopeira	3	1
22225	Tamarite de Litera	0	302
22225	Tamarite de Litera	1	932
22225	Tamarite de Litera	2	54
22226	Tardienta	0	132
22226	Tardienta	1	270
22226	Tardienta	2	7
22227	Tella-Sin	0	44
22227	Tella-Sin	1	67
22227	Tella-Sin	2	2
22227	Tella-Sin	3	1
22228	Tierz	0	21
22228	Tierz	1	37
22228	Tierz	2	4
22229	Tolva	0	29
22229	Tolva	1	42
22229	Tolva	2	5
22230	Torla	0	37
22230	Torla	1	78
22230	Torla	2	7
22230	Torla	3	2
22232	Torralba de Aragón	0	24
22232	Torralba de Aragón	1	24
22232	Torralba de Aragón	2	1
22233	Torre la Ribera	0	24
22233	Torre la Ribera	1	14
22233	Torre la Ribera	2	1
22234	Torrente de Cinca	0	83
22234	Torrente de Cinca	1	263
22234	Torrente de Cinca	2	29
22235	Torres de Alcanadre	0	19
22235	Torres de Alcanadre	1	25
22235	Torres de Alcanadre	2	5
22236	Torres de Barbués	0	28
22236	Torres de Barbués	1	89
22236	Torres de Barbués	2	5
22239	Tramaced	0	12
22239	Tramaced	1	18
22239	Tramaced	2	3
22242	Valfarta	0	16
22242	Valfarta	1	15
22242	Valfarta	2	2
22242	Valfarta	3	1
22243	Valle de Bardají	0	3
22243	Valle de Bardají	1	6
22243	Valle de Bardají	2	4
22244	Valle de Lierp	0	5
22244	Valle de Lierp	1	10
22244	Valle de Lierp	2	3
22245	Velilla de Cinca	0	41
22245	Velilla de Cinca	1	108
22245	Velilla de Cinca	2	13
22246	Veracruz	0	29
22246	Veracruz	1	17
22246	Veracruz	2	3
22247	Viacamp y Litera	0	6
22247	Viacamp y Litera	1	5
22247	Viacamp y Litera	2	2
22248	Vicién	0	15
22248	Vicién	1	26
22248	Vicién	2	1
22248	Vicién	3	1
22249	Villanova	0	15
22249	Villanova	1	35
22249	Villanova	2	1
22250	Villanúa	0	61
22250	Villanúa	1	83
22250	Villanúa	2	1
22251	Villanueva de Sigena	0	47
22251	Villanueva de Sigena	1	85
22251	Villanueva de Sigena	2	21
22251	Villanueva de Sigena	3	1
22252	Yebra de Basa	0	17
22252	Yebra de Basa	1	32
22252	Yebra de Basa	2	5
22253	Yésero	0	12
22253	Yésero	1	20
22253	Yésero	2	1
22254	Zaidín	0	143
22254	Zaidín	1	378
22254	Zaidín	2	44
22901	Valle de Hecho	0	120
22901	Valle de Hecho	1	213
22901	Valle de Hecho	2	17
22902	Puente la Reina de Jaca	0	30
22902	Puente la Reina de Jaca	1	59
22902	Puente la Reina de Jaca	2	5
22903	San Miguel del Cinca	0	74
22903	San Miguel del Cinca	1	200
22903	San Miguel del Cinca	2	21
22903	San Miguel del Cinca	3	1
22904	Sotonera (La)	0	149
22904	Sotonera (La)	1	259
22904	Sotonera (La)	2	21
22905	Lupiñén-Ortilla	0	52
22905	Lupiñén-Ortilla	1	64
22905	Lupiñén-Ortilla	2	7
22906	Santa María de Dulcis	0	34
22906	Santa María de Dulcis	1	47
22906	Santa María de Dulcis	2	5
22907	Aínsa-Sobrarbe	0	204
22907	Aínsa-Sobrarbe	1	346
22907	Aínsa-Sobrarbe	2	26
22907	Aínsa-Sobrarbe	3	2
22908	Hoz y Costeán	0	27
22908	Hoz y Costeán	1	52
22908	Hoz y Costeán	2	6
22909	Vencillón	0	27
22909	Vencillón	1	127
22909	Vencillón	2	4
44001	Ababuj	0	13
44001	Ababuj	1	21
44002	Abejuela	0	18
44002	Abejuela	1	14
44003	Aguatón	0	4
44003	Aguatón	1	6
44004	Aguaviva	0	81
44004	Aguaviva	1	175
44004	Aguaviva	2	4
44005	Aguilar del Alfambra	0	9
44005	Aguilar del Alfambra	1	23
44006	Alacón	0	43
44006	Alacón	1	119
44006	Alacón	2	4
44007	Alba	0	36
44007	Alba	1	72
44007	Alba	2	1
44008	Albalate del Arzobispo	0	237
44008	Albalate del Arzobispo	1	593
44008	Albalate del Arzobispo	2	9
44009	Albarracín	0	108
44009	Albarracín	1	248
44009	Albarracín	2	10
44010	Albentosa	0	40
44010	Albentosa	1	52
44010	Albentosa	2	4
44010	Albentosa	3	1
44011	Alcaine	0	32
44011	Alcaine	1	12
44012	Alcalá de la Selva	0	83
44012	Alcalá de la Selva	1	120
44012	Alcalá de la Selva	2	3
44013	Alcañiz	0	1015
44013	Alcañiz	1	3636
44013	Alcañiz	2	61
44014	Alcorisa	0	262
44014	Alcorisa	1	890
44014	Alcorisa	2	17
44014	Alcorisa	3	1
44016	Alfambra	0	89
44016	Alfambra	1	157
44016	Alfambra	2	5
44016	Alfambra	3	1
44017	Aliaga	0	64
44017	Aliaga	1	104
44017	Aliaga	2	3
44018	Almohaja	0	4
44018	Almohaja	1	6
44018	Almohaja	2	1
44019	Alobras	0	20
44019	Alobras	1	22
44020	Alpeñés	0	6
44020	Alpeñés	1	5
44020	Alpeñés	2	1
44021	Allepuz	0	28
44021	Allepuz	1	26
44021	Allepuz	2	2
44022	Alloza	0	105
44022	Alloza	1	206
44022	Alloza	2	3
44022	Alloza	3	1
44023	Allueva	0	6
44023	Allueva	1	3
44024	Anadón	0	1
44024	Anadón	1	5
44025	Andorra	0	423
44025	Andorra	1	2155
44025	Andorra	2	42
44025	Andorra	3	1
44026	Arcos de las Salinas	0	29
44026	Arcos de las Salinas	1	35
44026	Arcos de las Salinas	2	1
44027	Arens de Lledó	0	12
44027	Arens de Lledó	1	51
44027	Arens de Lledó	2	5
44027	Arens de Lledó	3	1
44028	Argente	0	27
44028	Argente	1	76
44028	Argente	2	1
44029	Ariño	0	89
44029	Ariño	1	227
44029	Ariño	2	9
44031	Azaila	0	32
44031	Azaila	1	46
44031	Azaila	3	1
44032	Bádenas	0	6
44032	Bádenas	1	7
44033	Báguena	0	83
44033	Báguena	1	107
44033	Báguena	2	6
44033	Báguena	3	1
44034	Bañón	0	22
44034	Bañón	1	47
44035	Barrachina	0	32
44035	Barrachina	1	37
44036	Bea	0	9
44036	Bea	1	9
44037	Beceite	0	69
44037	Beceite	1	161
44037	Beceite	2	7
44038	Belmonte de San José	0	22
44038	Belmonte de San José	1	38
44038	Belmonte de San José	2	2
44039	Bello	0	61
44039	Bello	1	94
44039	Bello	2	4
44040	Berge	0	34
44040	Berge	1	61
44040	Berge	2	3
44041	Bezas	0	19
44041	Bezas	1	14
44041	Bezas	2	1
44042	Blancas	0	24
44042	Blancas	1	50
44043	Blesa	0	29
44043	Blesa	1	38
44044	Bordón	0	22
44044	Bordón	1	35
44045	Bronchales	0	77
44045	Bronchales	1	112
44045	Bronchales	2	4
44046	Bueña	0	16
44046	Bueña	1	25
44046	Bueña	2	1
44047	Burbáguena	0	64
44047	Burbáguena	1	57
44048	Cabra de Mora	0	14
44048	Cabra de Mora	1	27
44048	Cabra de Mora	2	1
44049	Calaceite	0	124
44049	Calaceite	1	324
44049	Calaceite	2	6
44050	Calamocha	0	504
44050	Calamocha	1	1074
44050	Calamocha	2	18
44050	Calamocha	3	1
44051	Calanda	0	262
44051	Calanda	1	928
44051	Calanda	2	33
44051	Calanda	3	1
44052	Calomarde	0	13
44052	Calomarde	1	19
44052	Calomarde	2	1
44053	Camañas	0	20
44053	Camañas	1	36
44053	Camañas	2	1
44054	Camarena de la Sierra	0	27
44054	Camarena de la Sierra	1	37
44054	Camarena de la Sierra	2	1
44054	Camarena de la Sierra	3	1
44055	Camarillas	0	18
44055	Camarillas	1	24
44055	Camarillas	2	1
44056	Caminreal	0	88
44056	Caminreal	1	214
44056	Caminreal	2	6
44059	Cantavieja	0	73
44059	Cantavieja	1	185
44059	Cantavieja	2	7
44060	Cañada de Benatanduz	0	11
44060	Cañada de Benatanduz	1	14
44061	Cañada de Verich (La)	0	16
44061	Cañada de Verich (La)	1	29
44062	Cañada Vellida	0	10
44062	Cañada Vellida	1	11
44063	Cañizar del Olivar	0	16
44063	Cañizar del Olivar	1	27
44063	Cañizar del Olivar	2	1
44064	Cascante del Río	0	23
44064	Cascante del Río	1	27
44064	Cascante del Río	2	2
44065	Castejón de Tornos	0	21
44065	Castejón de Tornos	1	20
44065	Castejón de Tornos	2	2
44066	Castel de Cabra	0	13
44066	Castel de Cabra	1	49
44067	Castelnou	0	18
44067	Castelnou	1	18
44067	Castelnou	2	6
44068	Castelserás	0	82
44068	Castelserás	1	221
44068	Castelserás	2	6
44070	Castellar (El)	0	14
44070	Castellar (El)	1	24
44071	Castellote	0	115
44071	Castellote	1	214
44071	Castellote	2	6
44074	Cedrillas	0	46
44074	Cedrillas	1	140
44074	Cedrillas	2	5
44075	Celadas	0	116
44075	Celadas	1	80
44075	Celadas	2	4
44076	Cella	0	307
44076	Cella	1	763
44076	Cella	2	16
44077	Cerollera (La)	0	10
44077	Cerollera (La)	1	30
44077	Cerollera (La)	2	1
44080	Codoñera (La)	0	36
44080	Codoñera (La)	1	90
44080	Codoñera (La)	2	3
44082	Corbalán	0	18
44082	Corbalán	1	19
44082	Corbalán	2	1
44084	Cortes de Aragón	0	12
44084	Cortes de Aragón	1	37
44084	Cortes de Aragón	2	1
44085	Cosa	0	15
44085	Cosa	1	23
44086	Cretas	0	50
44086	Cretas	1	153
44086	Cretas	2	14
44086	Cretas	3	1
44087	Crivillén	0	15
44087	Crivillén	1	33
44088	Cuba (La)	0	12
44088	Cuba (La)	1	15
44089	Cubla	0	10
44089	Cubla	1	13
44090	Cucalón	0	16
44090	Cucalón	1	15
44090	Cucalón	2	1
44092	Cuervo (El)	0	29
44092	Cuervo (El)	1	27
44093	Cuevas de Almudén	0	11
44093	Cuevas de Almudén	1	24
44093	Cuevas de Almudén	2	2
44094	Cuevas Labradas	0	24
44094	Cuevas Labradas	1	39
44096	Ejulve	0	27
44096	Ejulve	1	59
44096	Ejulve	2	2
44097	Escorihuela	0	25
44097	Escorihuela	1	65
44099	Escucha	0	90
44099	Escucha	1	279
44099	Escucha	2	2
44100	Estercuel	0	47
44100	Estercuel	1	77
44100	Estercuel	2	1
44101	Ferreruela de Huerva	0	23
44101	Ferreruela de Huerva	1	13
44101	Ferreruela de Huerva	2	3
44102	Fonfría	0	2
44102	Fonfría	1	10
44103	Formiche Alto	0	29
44103	Formiche Alto	1	46
44103	Formiche Alto	2	6
44103	Formiche Alto	3	1
44105	Fórnoles	0	28
44105	Fórnoles	1	19
44105	Fórnoles	2	1
44106	Fortanete	0	34
44106	Fortanete	1	49
44107	Foz-Calanda	0	34
44107	Foz-Calanda	1	62
44107	Foz-Calanda	2	2
44107	Foz-Calanda	3	1
44108	Fresneda (La)	0	67
44108	Fresneda (La)	1	113
44108	Fresneda (La)	2	2
44109	Frías de Albarracín	0	29
44109	Frías de Albarracín	1	35
44109	Frías de Albarracín	2	1
44110	Fuenferrada	0	3
44110	Fuenferrada	1	15
44110	Fuenferrada	2	1
44111	Fuentes Calientes	0	16
44111	Fuentes Calientes	1	31
44111	Fuentes Calientes	2	2
44112	Fuentes Claras	0	83
44112	Fuentes Claras	1	173
44112	Fuentes Claras	2	2
44113	Fuentes de Rubielos	0	16
44113	Fuentes de Rubielos	1	26
44114	Fuentespalda	0	37
44114	Fuentespalda	1	90
44114	Fuentespalda	2	5
44115	Galve	0	16
44115	Galve	1	36
44115	Galve	2	1
44116	Gargallo	0	13
44116	Gargallo	1	33
44116	Gargallo	2	1
44117	Gea de Albarracín	0	64
44117	Gea de Albarracín	1	107
44117	Gea de Albarracín	2	7
44118	Ginebrosa (La)	0	33
44118	Ginebrosa (La)	1	67
44118	Ginebrosa (La)	2	1
44119	Griegos	0	21
44119	Griegos	1	36
44120	Guadalaviar	0	27
44120	Guadalaviar	1	75
44120	Guadalaviar	2	2
44121	Gúdar	0	9
44121	Gúdar	1	20
44122	Híjar	0	203
44122	Híjar	1	541
44122	Híjar	2	8
44123	Hinojosa de Jarque	0	10
44123	Hinojosa de Jarque	1	42
44123	Hinojosa de Jarque	2	4
44124	Hoz de la Vieja (La)	0	29
44124	Hoz de la Vieja (La)	1	31
44124	Hoz de la Vieja (La)	2	1
44125	Huesa del Común	0	27
44125	Huesa del Común	1	39
44126	Iglesuela del Cid (La)	0	56
44126	Iglesuela del Cid (La)	1	132
44126	Iglesuela del Cid (La)	2	3
44127	Jabaloyas	0	11
44127	Jabaloyas	1	23
44127	Jabaloyas	2	1
44128	Jarque de la Val	0	16
44128	Jarque de la Val	1	22
44128	Jarque de la Val	2	1
44129	Jatiel	0	12
44129	Jatiel	1	13
44130	Jorcas	0	9
44130	Jorcas	1	11
44131	Josa	0	16
44131	Josa	1	4
44132	Lagueruela	0	15
44132	Lagueruela	1	16
44132	Lagueruela	2	1
44133	Lanzuela	0	7
44133	Lanzuela	1	7
44135	Libros	0	39
44135	Libros	1	35
44135	Libros	2	1
44136	Lidón	0	22
44136	Lidón	1	17
44137	Linares de Mora	0	46
44137	Linares de Mora	1	74
