Mes y año	Provincia código	Provincia nombre	Edad (grupos quinquenales)	Sexo	Nº parados
Diciembre 2019	22	Huesca	16-19	Hombres	142
Diciembre 2019	22	Huesca	16-19	Mujeres	106
Diciembre 2019	22	Huesca	20-24	Hombres	326
Diciembre 2019	22	Huesca	20-24	Mujeres	312
Diciembre 2019	22	Huesca	25-29	Hombres	342
Diciembre 2019	22	Huesca	25-29	Mujeres	469
Diciembre 2019	22	Huesca	30-34	Hombres	333
Diciembre 2019	22	Huesca	30-34	Mujeres	578
Diciembre 2019	22	Huesca	35-39	Hombres	333
Diciembre 2019	22	Huesca	35-39	Mujeres	592
Diciembre 2019	22	Huesca	40-44	Hombres	357
Diciembre 2019	22	Huesca	40-44	Mujeres	593
Diciembre 2019	22	Huesca	45-49	Hombres	393
Diciembre 2019	22	Huesca	45-49	Mujeres	530
Diciembre 2019	22	Huesca	50-54	Hombres	392
Diciembre 2019	22	Huesca	50-54	Mujeres	506
Diciembre 2019	22	Huesca	55-59	Hombres	482
Diciembre 2019	22	Huesca	55-59	Mujeres	586
Diciembre 2019	22	Huesca	60-64	Hombres	394
Diciembre 2019	22	Huesca	60-64	Mujeres	529
Diciembre 2019	44	Teruel	16-19	Hombres	97
Diciembre 2019	44	Teruel	16-19	Mujeres	53
Diciembre 2019	44	Teruel	20-24	Hombres	231
Diciembre 2019	44	Teruel	20-24	Mujeres	216
Diciembre 2019	44	Teruel	25-29	Hombres	231
Diciembre 2019	44	Teruel	25-29	Mujeres	307
Diciembre 2019	44	Teruel	30-34	Hombres	205
Diciembre 2019	44	Teruel	30-34	Mujeres	371
Diciembre 2019	44	Teruel	35-39	Hombres	216
Diciembre 2019	44	Teruel	35-39	Mujeres	368
Diciembre 2019	44	Teruel	40-44	Hombres	229
Diciembre 2019	44	Teruel	40-44	Mujeres	367
Diciembre 2019	44	Teruel	45-49	Hombres	267
Diciembre 2019	44	Teruel	45-49	Mujeres	345
Diciembre 2019	44	Teruel	50-54	Hombres	295
Diciembre 2019	44	Teruel	50-54	Mujeres	408
Diciembre 2019	44	Teruel	55-59	Hombres	354
Diciembre 2019	44	Teruel	55-59	Mujeres	400
Diciembre 2019	44	Teruel	60-64	Hombres	299
Diciembre 2019	44	Teruel	60-64	Mujeres	381
Diciembre 2019	50	Zaragoza	16-19	Hombres	687
Diciembre 2019	50	Zaragoza	16-19	Mujeres	541
Diciembre 2019	50	Zaragoza	20-24	Hombres	1615
Diciembre 2019	50	Zaragoza	20-24	Mujeres	1587
Diciembre 2019	50	Zaragoza	25-29	Hombres	1962
Diciembre 2019	50	Zaragoza	25-29	Mujeres	2464
Diciembre 2019	50	Zaragoza	30-34	Hombres	1765
Diciembre 2019	50	Zaragoza	30-34	Mujeres	2915
Diciembre 2019	50	Zaragoza	35-39	Hombres	1966
Diciembre 2019	50	Zaragoza	35-39	Mujeres	3353
Diciembre 2019	50	Zaragoza	40-44	Hombres	2242
Diciembre 2019	50	Zaragoza	40-44	Mujeres	3610
Diciembre 2019	50	Zaragoza	45-49	Hombres	2448
Diciembre 2019	50	Zaragoza	45-49	Mujeres	3630
Diciembre 2019	50	Zaragoza	50-54	Hombres	2646
Diciembre 2019	50	Zaragoza	50-54	Mujeres	3578
Diciembre 2019	50	Zaragoza	55-59	Hombres	2921
Diciembre 2019	50	Zaragoza	55-59	Mujeres	4217
Diciembre 2019	50	Zaragoza	60-64	Hombres	2552
Diciembre 2019	50	Zaragoza	60-64	Mujeres	4222
Noviembre 2019	22	Huesca	16-19	Hombres	154
Noviembre 2019	22	Huesca	16-19	Mujeres	116
Noviembre 2019	22	Huesca	20-24	Hombres	362
Noviembre 2019	22	Huesca	20-24	Mujeres	355
Noviembre 2019	22	Huesca	25-29	Hombres	389
Noviembre 2019	22	Huesca	25-29	Mujeres	510
Noviembre 2019	22	Huesca	30-34	Hombres	334
Noviembre 2019	22	Huesca	30-34	Mujeres	595
Noviembre 2019	22	Huesca	35-39	Hombres	342
Noviembre 2019	22	Huesca	35-39	Mujeres	656
Noviembre 2019	22	Huesca	40-44	Hombres	348
Noviembre 2019	22	Huesca	40-44	Mujeres	645
Noviembre 2019	22	Huesca	45-49	Hombres	397
Noviembre 2019	22	Huesca	45-49	Mujeres	544
Noviembre 2019	22	Huesca	50-54	Hombres	371
Noviembre 2019	22	Huesca	50-54	Mujeres	549
Noviembre 2019	22	Huesca	55-59	Hombres	464
Noviembre 2019	22	Huesca	55-59	Mujeres	587
Noviembre 2019	22	Huesca	60-64	Hombres	408
Noviembre 2019	22	Huesca	60-64	Mujeres	536
Noviembre 2019	44	Teruel	16-19	Hombres	104
Noviembre 2019	44	Teruel	16-19	Mujeres	77
Noviembre 2019	44	Teruel	20-24	Hombres	245
Noviembre 2019	44	Teruel	20-24	Mujeres	231
Noviembre 2019	44	Teruel	25-29	Hombres	209
Noviembre 2019	44	Teruel	25-29	Mujeres	330
Noviembre 2019	44	Teruel	30-34	Hombres	204
Noviembre 2019	44	Teruel	30-34	Mujeres	386
Noviembre 2019	44	Teruel	35-39	Hombres	221
