Año	CCAA código	CCAA nombre	Superficie total agricultura ecológica	Superficie calificada agricultura ecológica	Superficie calificada en reconversión	Superficie calificada primer año prácticas	Superficie sin clasificar	Superficie certificaciones privadas
2011	02	Aragón	60888,3718	48095,6597	4945,1546	3819,7692	2013,5413	2014,247
2012	02	Aragón	60177,5098	49535,2941	4385,2741	3529,5771	593,3275	2134,037
2013	02	Aragón	56907,6633	36743,9792	3193,5251	1740,5787	942,353	14287,2273
2014	02	Aragón	52342,8746	33944,2554	1690,0823	1862,9682	1665,8216	13179,7471
2015	02	Aragón	53585,4017	33300,4174	1453,4492	1738,1276	3750,1792	13343,2283
2016	02	Aragón	54952,2982	31540,7612	8658,2265	2801,3156	0	11951,9949
2017	02	Aragón	57796,9451	36399,5822	4204,168	3511,2247	0	13681,9702
2018	02	Aragón	61374,4317	38857,3587	2773,4584	4995,254	0	14748,3606
