Año	CCAA nombre	Superficie total regada	Superficie regada por aspersión	Superficie regada por riego localizado (goteo, microaspersión, etc.)	Superficie regada por gravedad	Superficie regada por otros métodos	Superficie regada con aguas subterráneas de pozo o sondeo	Superficie regada con aguas superficiales	Superficie regada con aguas depuradas	Superficie regada con concesión integrada en una Comunidad de Regantes	Superficie regada con concesión individual	Superficie regada con agua suficiente	Superficie regada con agua insuficiente	Superficie no regada, disponiendo la explotación de instalaciones y agua
1999	Aragón	377685,19	78208,69	30432,92	266015,55	3028,03	24304,61	351172	2208,58	348452,15	29233,04	332383,37	45301,82	28640,47
1989	Aragón	322591,73	49809,86	9476,08	259798,87	3506,92	16158,7	306433,03				270865,33	51726,4	6871,26
