Provincia código	Provincia nombre	Núcleos en el hogar	Número hogares
22	Huesca	0	20915
22	Huesca	1	50037
22	Huesca	2	2763
22	Huesca	3	67
22	Huesca	4 o más	4
44	Teruel	0	14756
44	Teruel	1	35398
44	Teruel	2	894
44	Teruel	3	22
50	Zaragoza	0	81661
50	Zaragoza	1	231830
50	Zaragoza	2	4718
50	Zaragoza	3	152
50	Zaragoza	4 o más	26
