Municipio código	Municipio nombre	Segunda residencia	Número hogares
22001	Abiego	Dispone de segunda residencia	13
22001	Abiego	No dispone de segunda residencia	91
22002	Abizanda	Dispone de segunda residencia	22
22002	Abizanda	No dispone de segunda residencia	24
22003	Adahuesca	Dispone de segunda residencia	8
22003	Adahuesca	No dispone de segunda residencia	59
22004	Agüero	Dispone de segunda residencia	10
22004	Agüero	No dispone de segunda residencia	62
22006	Aísa	Dispone de segunda residencia	57
22006	Aísa	No dispone de segunda residencia	92
22007	Albalate de Cinca	Dispone de segunda residencia	18
22007	Albalate de Cinca	No dispone de segunda residencia	380
22008	Albalatillo	Dispone de segunda residencia	21
22008	Albalatillo	No dispone de segunda residencia	80
22009	Albelda	Dispone de segunda residencia	49
22009	Albelda	No dispone de segunda residencia	278
22011	Albero Alto	Dispone de segunda residencia	14
22011	Albero Alto	No dispone de segunda residencia	23
22012	Albero Bajo	Dispone de segunda residencia	2
22012	Albero Bajo	No dispone de segunda residencia	38
22013	Alberuela de Tubo	Dispone de segunda residencia	49
22013	Alberuela de Tubo	No dispone de segunda residencia	64
22014	Alcalá de Gurrea	Dispone de segunda residencia	36
22014	Alcalá de Gurrea	No dispone de segunda residencia	96
22015	Alcalá del Obispo	Dispone de segunda residencia	25
22015	Alcalá del Obispo	No dispone de segunda residencia	120
22016	Alcampell	Dispone de segunda residencia	24
22016	Alcampell	No dispone de segunda residencia	306
22017	Alcolea de Cinca	Dispone de segunda residencia	34
22017	Alcolea de Cinca	No dispone de segunda residencia	379
22018	Alcubierre	Dispone de segunda residencia	36
22018	Alcubierre	No dispone de segunda residencia	138
22019	Alerre	Dispone de segunda residencia	13
22019	Alerre	No dispone de segunda residencia	53
22020	Alfántega	Dispone de segunda residencia	9
22020	Alfántega	No dispone de segunda residencia	32
22021	Almudévar	Dispone de segunda residencia	96
22021	Almudévar	No dispone de segunda residencia	724
22022	Almunia de San Juan	Dispone de segunda residencia	50
22022	Almunia de San Juan	No dispone de segunda residencia	187
22023	Almuniente	Dispone de segunda residencia	44
22023	Almuniente	No dispone de segunda residencia	160
22024	Alquézar	Dispone de segunda residencia	21
22024	Alquézar	No dispone de segunda residencia	97
22025	Altorricón	Dispone de segunda residencia	102
22025	Altorricón	No dispone de segunda residencia	396
22027	Angüés	Dispone de segunda residencia	24
22027	Angüés	No dispone de segunda residencia	148
22028	Ansó	Dispone de segunda residencia	51
22028	Ansó	No dispone de segunda residencia	153
22029	Antillón	Dispone de segunda residencia	7
22029	Antillón	No dispone de segunda residencia	41
22032	Aragüés del Puerto	Dispone de segunda residencia	25
22032	Aragüés del Puerto	No dispone de segunda residencia	37
22035	Arén	Dispone de segunda residencia	4
22035	Arén	No dispone de segunda residencia	139
22036	Argavieso	Dispone de segunda residencia	13
22036	Argavieso	No dispone de segunda residencia	27
22037	Arguis	Dispone de segunda residencia	13
22037	Arguis	No dispone de segunda residencia	16
22039	Ayerbe	Dispone de segunda residencia	51
22039	Ayerbe	No dispone de segunda residencia	396
22040	Azanuy-Alins	Dispone de segunda residencia	14
22040	Azanuy-Alins	No dispone de segunda residencia	62
22041	Azara	Dispone de segunda residencia	15
22041	Azara	No dispone de segunda residencia	56
22042	Azlor	Dispone de segunda residencia	17
22042	Azlor	No dispone de segunda residencia	42
22043	Baells	Dispone de segunda residencia	20
22043	Baells	No dispone de segunda residencia	41
22044	Bailo	Dispone de segunda residencia	17
22044	Bailo	No dispone de segunda residencia	95
22045	Baldellou	Dispone de segunda residencia	16
22045	Baldellou	No dispone de segunda residencia	39
22046	Ballobar	Dispone de segunda residencia	8
22046	Ballobar	No dispone de segunda residencia	321
22047	Banastás	Dispone de segunda residencia	12
22047	Banastás	No dispone de segunda residencia	48
22048	Barbastro	Dispone de segunda residencia	668
22048	Barbastro	No dispone de segunda residencia	4643
22049	Barbués	Dispone de segunda residencia	6
22049	Barbués	No dispone de segunda residencia	32
22050	Barbuñales	Dispone de segunda residencia	6
22050	Barbuñales	No dispone de segunda residencia	45
22051	Bárcabo	Dispone de segunda residencia	12
22051	Bárcabo	No dispone de segunda residencia	35
22052	Belver de Cinca	Dispone de segunda residencia	20
22052	Belver de Cinca	No dispone de segunda residencia	427
22053	Benabarre	Dispone de segunda residencia	51
22053	Benabarre	No dispone de segunda residencia	364
22054	Benasque	Dispone de segunda residencia	152
22054	Benasque	No dispone de segunda residencia	478
22055	Berbegal	Dispone de segunda residencia	25
22055	Berbegal	No dispone de segunda residencia	150
22057	Bielsa	Dispone de segunda residencia	48
22057	Bielsa	No dispone de segunda residencia	124
22058	Bierge	Dispone de segunda residencia	14
22058	Bierge	No dispone de segunda residencia	82
22059	Biescas	Dispone de segunda residencia	128
22059	Biescas	No dispone de segunda residencia	359
22060	Binaced	Dispone de segunda residencia	64
22060	Binaced	No dispone de segunda residencia	448
22061	Binéfar	Dispone de segunda residencia	374
22061	Binéfar	No dispone de segunda residencia	2574
22062	Bisaurri	Dispone de segunda residencia	20
22062	Bisaurri	No dispone de segunda residencia	71
22063	Biscarrués	Dispone de segunda residencia	24
22063	Biscarrués	No dispone de segunda residencia	59
22064	Blecua y Torres	Dispone de segunda residencia	29
22064	Blecua y Torres	No dispone de segunda residencia	41
22066	Boltaña	Dispone de segunda residencia	91
22066	Boltaña	No dispone de segunda residencia	229
22067	Bonansa	Dispone de segunda residencia	7
22067	Bonansa	No dispone de segunda residencia	23
22068	Borau	Dispone de segunda residencia	9
22068	Borau	No dispone de segunda residencia	24
22069	Broto	Dispone de segunda residencia	25
22069	Broto	No dispone de segunda residencia	163
22072	Caldearenas	Dispone de segunda residencia	46
22072	Caldearenas	No dispone de segunda residencia	56
22074	Campo	Dispone de segunda residencia	13
22074	Campo	No dispone de segunda residencia	116
22075	Camporrells	Dispone de segunda residencia	34
22075	Camporrells	No dispone de segunda residencia	77
22076	Canal de Berdún	Dispone de segunda residencia	25
22076	Canal de Berdún	No dispone de segunda residencia	151
22077	Candasnos	Dispone de segunda residencia	27
22077	Candasnos	No dispone de segunda residencia	169
22078	Canfranc	Dispone de segunda residencia	74
22078	Canfranc	No dispone de segunda residencia	161
22079	Capdesaso	Dispone de segunda residencia	8
22079	Capdesaso	No dispone de segunda residencia	57
22080	Capella	Dispone de segunda residencia	28
22080	Capella	No dispone de segunda residencia	111
22081	Casbas de Huesca	Dispone de segunda residencia	49
22081	Casbas de Huesca	No dispone de segunda residencia	66
22082	Castejón del Puente	Dispone de segunda residencia	33
22082	Castejón del Puente	No dispone de segunda residencia	107
22083	Castejón de Monegros	Dispone de segunda residencia	68
22083	Castejón de Monegros	No dispone de segunda residencia	178
22084	Castejón de Sos	Dispone de segunda residencia	59
22084	Castejón de Sos	No dispone de segunda residencia	164
22085	Castelflorite	Dispone de segunda residencia	20
22085	Castelflorite	No dispone de segunda residencia	28
22086	Castiello de Jaca	Dispone de segunda residencia	8
22086	Castiello de Jaca	No dispone de segunda residencia	72
22087	Castigaleu	Dispone de segunda residencia	11
22087	Castigaleu	No dispone de segunda residencia	15
22088	Castillazuelo	Dispone de segunda residencia	7
22088	Castillazuelo	No dispone de segunda residencia	89
22089	Castillonroy	Dispone de segunda residencia	15
22089	Castillonroy	No dispone de segunda residencia	131
22090	Colungo	Dispone de segunda residencia	8
22090	Colungo	No dispone de segunda residencia	54
22094	Chalamera	Dispone de segunda residencia	3
22094	Chalamera	No dispone de segunda residencia	61
22095	Chía	Dispone de segunda residencia	5
22095	Chía	No dispone de segunda residencia	38
22096	Chimillas	Dispone de segunda residencia	19
22096	Chimillas	No dispone de segunda residencia	58
22099	Esplús	Dispone de segunda residencia	11
22099	Esplús	No dispone de segunda residencia	236
22102	Estada	Dispone de segunda residencia	17
22102	Estada	No dispone de segunda residencia	61
22103	Estadilla	Dispone de segunda residencia	52
22103	Estadilla	No dispone de segunda residencia	275
22105	Estopiñán del Castillo	Dispone de segunda residencia	26
22105	Estopiñán del Castillo	No dispone de segunda residencia	69
22106	Fago	No dispone de segunda residencia	21
22107	Fanlo	Dispone de segunda residencia	38
22107	Fanlo	No dispone de segunda residencia	34
22109	Fiscal	Dispone de segunda residencia	17
22109	Fiscal	No dispone de segunda residencia	84
22110	Fonz	Dispone de segunda residencia	50
22110	Fonz	No dispone de segunda residencia	388
22111	Foradada del Toscar	Dispone de segunda residencia	15
22111	Foradada del Toscar	No dispone de segunda residencia	61
22112	Fraga	Dispone de segunda residencia	276
22112	Fraga	No dispone de segunda residencia	3646
22113	Fueva (La)	Dispone de segunda residencia	27
