Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2011	58435	PP-PAR	2
22	Huesca	2011	40721	PSOE	1
22	Huesca	2011	9937	CHA-IU	0
22	Huesca	2011	5408	UPyD	0
22	Huesca	2011	1471	EQUO	0
22	Huesca	2011	558	PACMA	0
22	Huesca	2011	354	PCPE	0
22	Huesca	2011	286	PUM+J	0
22	Huesca	2011	403	PIRATA	0
22	Huesca	2011	107	UCE	0
44	Teruel	2011	39993	PP-PAR	2
44	Teruel	2011	25426	PSOE	1
44	Teruel	2011	6103	CHA-IU	0
44	Teruel	2011	2656	UPyD	0
44	Teruel	2011	260	PACMA	0
44	Teruel	2011	466	Eb	0
44	Teruel	2011	151	PUM+J	0
44	Teruel	2011	218	PIRATA	0
44	Teruel	2011	93	UCE	0
44	Teruel	2011	169	SXT	0
50	Zaragoza	2011	241074	PP-PAR	4
50	Zaragoza	2011	158167	PSOE	2
50	Zaragoza	2011	58904	CHA-IU	1
50	Zaragoza	2011	32968	UPyD	0
50	Zaragoza	2011	3858	EQUO	0
50	Zaragoza	2011	2586	PACMA	0
50	Zaragoza	2011	2640	Eb	0
50	Zaragoza	2011	1055	PCPE	0
50	Zaragoza	2011	939	PUM+J	0
50	Zaragoza	2011	370	UCE	0
50	Zaragoza	2011	508	DeC	0
50	Zaragoza	2011	463	PH	0
50	Zaragoza	2011	410	P-LIB	0
