Comarca codigo	Comarca nombre	Tipo de estudios realizados, código	Tipo de estudios realizados	Sexo, código	Sexo	Personas
14	Aranda	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	8,6123178789
15	Ribera Alta del Ebro	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	113,8119625183
16	Valdejalón	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	142,4487860542
17	D.C. Zaragoza	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	6663,6029273251
18	Ribera Baja del Ebro	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	8,0200294045
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	47,526067055
20	Comunidad de Calatayud	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	123,7976959032
21	Campo de Cariñena	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	43,2533756881
22	Campo de Belchite	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	17,6544180969
23	Bajo Martín	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	23,856107421
24	Campo de Daroca	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	54,0070788979
25	Jiloca	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	82,0244478152
26	Cuencas Mineras	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	27,504334399
27	Andorra-Sierra de Arcos	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	25,2688086514
28	Bajo Aragón	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	169,1415698386
29	Comunidad de Teruel	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	251,2204551858
30	Maestrazgo	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	3,2831024806
31	Sierra de Albarracín	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	20,253948687
32	Gúdar-Javalambre	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	59,6164428536
33	Matarraña / Matarranya	2	Artes y Humanidades (Historia, Lenguas, Imagen y Sonido,...)	1	Hombre	9,8621734702
01	La Jacetania	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	461,7910036004
02	Alto Gállego	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	451,1235815093
03	Sobrarbe	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	117,8111598148
04	La Ribagorza	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	110,1888186327
05	Cinco Villas	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	325,0457085373
06	Hoya de Huesca / Plana de Uesca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	1746,3138218104
07	Somontano de Barbastro	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	409,7081990304
08	Cinca Medio	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	422,6002580749
09	La Litera / La Llitera	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	338,8312019079
10	Los Monegros	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	187,6820031493
11	Bajo Cinca / Baix Cinca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	325,0285971669
12	Tarazona y el Moncayo	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	170,6096813062
13	Campo de Borja	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	186,4712141517
14	Aranda	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	87,6982980307
15	Ribera Alta del Ebro	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	460,2740386857
16	Valdejalón	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	406,5933847479
17	D.C. Zaragoza	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	23203,6992347686
18	Ribera Baja del Ebro	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	87,3838746563
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	199,7025438259
20	Comunidad de Calatayud	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	806,8162038223
21	Campo de Cariñena	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	108,9770301814
22	Campo de Belchite	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	31,9426099169
23	Bajo Martín	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	86,7186392101
24	Campo de Daroca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	80,1207496255
25	Jiloca	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	83,148630904
26	Cuencas Mineras	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	55,4181735341
27	Andorra-Sierra de Arcos	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	101,8938929391
28	Bajo Aragón	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	404,6170985291
29	Comunidad de Teruel	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	661,4601034709
30	Maestrazgo	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	33,2123072883
31	Sierra de Albarracín	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	28,9694466016
32	Gúdar-Javalambre	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	110,6614104711
33	Matarraña / Matarranya	3	Derecho y Ciencias Sociales (Administración, Psicología, Economía, Periodismo, ...)	1	Hombre	116,6334952462
01	La Jacetania	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	381,564415846
02	Alto Gállego	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	204,0396173095
03	Sobrarbe	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	60,7527962474
04	La Ribagorza	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	170,6903348685
05	Cinco Villas	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	231,5667285826
06	Hoya de Huesca / Plana de Uesca	4	Ciencias (Biología, Química, Física, Matemáticas, ...) e Informática (incluída Ingeniería Informática)	1	Hombre	1109,7044948786
