Año	Tipo de nacionalidad	Residencia CCAA código	Residencia CCAA nombre	% de población de 0 a 19 años	% de población de 20 a 64 años	% de población de 65 y más años	% de población menor de 15	% de población menor de 25	% de población menor de 35	% de población menor de 45	Edad media de la población	Índice de envejecimiento	Tasa de masculinidad
1998	Extranjeros	02	Aragón	17,871954380508	77,0347330222913	5,09331259720062	11,8843960601348	25,2332814930016	57,3872472783826	79,9637117677553	34,0920165889062	28,4989122552574	114,392886913031
1999	Extranjeros	02	Aragón	17,9597864364421	77,2691128024537	4,77110076110417	12,1663069408156	25,6503464727934	57,1168919686471	80,4725661706237	33,835113029649	26,5654648956357	116,077565046637
2000	Extranjeros	02	Aragón	18,7858627858628	77,1476091476091	4,06652806652807	13,3305613305613	26,8856548856549	59,3929313929314	82,6195426195426	32,8379625779626	21,6467463479416	123,30547818013
2001	Extranjeros	02	Aragón	17,2450890544687	80,4558313742678	2,2990795712635	12,4995019325019	29,2744152687572	65,1113678925768	87,2933019882855	31,0730166952225	13,3317929759704	136,496419148134
2002	Extranjeros	02	Aragón	18,4408614377004	79,8944807040684	1,66465785823119	13,6333659290929	31,2532690514634	67,1480226502627	88,3201055192959	30,1861255770586	9,02700702922679	137,166280135915
2003	Extranjeros	02	Aragón	20,5522166214295	77,9549567015639	1,49282667700659	15,3677135840765	33,2412433759855	68,211192968851	88,6099263280341	29,5782441514799	7,26357990724	132,21159257175
2004	Extranjeros	02	Aragón	21,3011799600232	77,1848604036366	1,51395963634019	15,9855567734864	33,0904636017796	67,1365013862918	87,7580759558966	29,6867044941647	7,10739799007144	127,464726760729
2005	Extranjeros	02	Aragón	21,0959441599207	77,3851809020321	1,51887493804725	15,5088385924335	32,4735668263671	66,1810259375516	87,2707748224021	29,9518730381629	7,19984337526308	128,431256928556
2006	Extranjeros	02	Aragón	21,8771651749699	76,7655963781665	1,35723844686364	15,9594157230854	32,7996127599396	65,6276990537296	87,1555888801359	29,8585861941326	6,20390455531453	125,549632864513
2007	Extranjeros	02	Aragón	21,8449567538021	76,8359538278512	1,31908941834668	15,8990064628147	32,6090800938877	64,8017748625446	86,39030899328	30,0803832674191	6,03841624963203	123,31041662927
2008	Extranjeros	02	Aragón	21,5543733698319	77,2292952508845	1,21633137928363	15,5760142550939	32,7447511814684	64,3357952637967	86,0050874157477	30,2041035043772	5,64308392739472	126,526463576934
2009	Extranjeros	02	Aragón	21,5524753395531	77,2328015894224	1,21472307102441	15,9732307799556	32,4280519118382	63,4909200757532	85,4622454077542	30,343282715031	5,63611859838275	126,060120556292
2010	Extranjeros	02	Aragón	21,8972071686907	76,7745513790832	1,32824145222606	16,4542481772067	32,0210762280023	61,8640444634459	84,5094346163179	30,6425187479057	6,06580301311311	121,876682476606
2011	Extranjeros	02	Aragón	21,9781182641814	76,5942532697014	1,42762846611719	16,7197256897186	31,2255758120951	60,0234822685507	83,5145128597548	31,034840793724	6,49568106312292	118,790977059237
2012	Extranjeros	02	Aragón	21,8588073548186	76,5838103875548	1,55738225762661	16,7089324190837	30,4740888793895	58,3377139523196	82,6117346673522	31,4545956062873	7,12473572938689	116,507829306118
2013	Extranjeros	02	Aragón	21,8026754504673	76,5100516547367	1,68727289479594	16,7109119911548	29,5457032127288	56,4902420344019	81,3184914743771	31,8876408700109	7,7388341565199	114,654074834052
2014	Extranjeros	02	Aragón	22,1790378674672	76,1430265829486	1,6779355495842	16,9475511120344	29,4811399776186	55,1386776206016	80,499360052536	32,0374687564916	7,56541180735996	110,885478491889
2015	Extranjeros	02	Aragón	21,7879486100312	76,3922872245565	1,81976416541235	16,6682122653959	28,7181755277031	53,243973948339	79,0802023069844	32,5368090281989	8,35215925089218	109,465961389038
2016	Extranjeros	02	Aragón	21,7335652383426	76,2606070188912	2,00582774276614	16,5638905830002	28,530339650486	51,3511478545022	77,4946729612312	32,9986183581427	9,22917027542006	107,167480384969
2017	Extranjeros	02	Aragón	21,8370272521897	75,95037414532	2,2125986024903	16,5479558981364	28,8148187065155	50,6938763256453	76,5147819299444	33,2449357160548	10,1323251417769	103,91961798647
2018	Extranjeros	02	Aragón	21,9595879788137	75,5998888011003	2,44052322008603	16,5861937787142	29,2796944956545	50,4989319053054	75,8478916103356	33,4018303924151	11,1137022353999	102,39272705736
2019	Extranjeros	02	Aragón	21,6458248213317	75,6475261053323	2,70664907333606	16,2807520479039	29,1555871104294	50,0010046952759	74,7620546688189	33,7352259559676	12,5042547266145	101,744500297281
