Provincia código	Provincia nombre	Clase vivienda (agregado)	Clase vivienda (detalle)	Total viviendas
22	Huesca	Colectiva	Colectiva	121
22	Huesca	Familiar	Familiar no principal	53814
22	Huesca	Familiar	Familiar principal	73786
44	Teruel	Colectiva	Colectiva	52
44	Teruel	Familiar	Familiar no principal	45335
44	Teruel	Familiar	Familiar principal	51070
50	Zaragoza	Colectiva	Colectiva	399
50	Zaragoza	Familiar	Familiar no principal	112091
50	Zaragoza	Familiar	Familiar principal	318387
