Comarca codigo	Comarca nombre	Sexo, código	Sexo	Relación lugar de residencia y nacimiento com	Relación lugar de residencia y nacimiento com, código	Personas
01	La Jacetania	1	Hombre	El Extranjero	06	815,4393905209
01	La Jacetania	1	Hombre	El mismo municipio que reside	01	3842,511341655
01	La Jacetania	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1972,8455607626
01	La Jacetania	1	Hombre	Otro municipio de la misma comarca	02	777,3737799922
01	La Jacetania	1	Hombre	Resto de España	05	1671,3270786672
02	Alto Gállego	1	Hombre	El Extranjero	06	1185,0263627203
02	Alto Gállego	1	Hombre	El mismo municipio que reside	01	2095,2100133671
02	Alto Gállego	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	2937,2127769274
02	Alto Gállego	1	Hombre	Otro municipio de la misma comarca	02	318,603292327
02	Alto Gállego	1	Hombre	Resto de España	05	827,4428834624
03	Sobrarbe	1	Hombre	El Extranjero	06	702,357193505
03	Sobrarbe	1	Hombre	El mismo municipio que reside	01	1639,114339959
03	Sobrarbe	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	924,58724474
03	Sobrarbe	1	Hombre	Otro municipio de la misma comarca	02	187,325444001
03	Sobrarbe	1	Hombre	Resto de España	05	550,5715097233
04	La Ribagorza	1	Hombre	El Extranjero	06	672,2397400784
04	La Ribagorza	1	Hombre	El mismo municipio que reside	01	2689,3572844065
04	La Ribagorza	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	1424,8674440895
04	La Ribagorza	1	Hombre	Otro municipio de la misma comarca	02	481,6802151499
04	La Ribagorza	1	Hombre	Resto de España	05	1449,6954698727
05	Cinco Villas	1	Hombre	El Extranjero	06	2033,048083863
05	Cinco Villas	1	Hombre	El mismo municipio que reside	01	7518,1086911387
05	Cinco Villas	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	5145,1974538309
05	Cinco Villas	1	Hombre	Otro municipio de la misma comarca	02	812,1488429731
05	Cinco Villas	1	Hombre	Resto de España	05	1046,748193353
06	Hoya de Huesca / Plana de Uesca	1	Hombre	El Extranjero	06	3416,9103295385
06	Hoya de Huesca / Plana de Uesca	1	Hombre	El mismo municipio que reside	01	16005,0821909534
06	Hoya de Huesca / Plana de Uesca	1	Hombre	Otro municipio de Aragón fuera de la comarca	03	5026,615009283
06	Hoya de Huesca / Plana de Uesca	1	Hombre	Otro municipio de la misma comarca	02	4808,5824119372
06	Hoya de Huesca / Plana de Uesca	1	Hombre	Resto de España	05	3762,3443429431
