Año	CCAA nombre	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuyo titular es una sociedad	Explotaciones cuyo titular es una entidad pública	Explotaciones cuyo titular es una cooperativa de producción	Explotaciones con otra condición jurídica	Explotaciones con experiencia práctica exclusiva del titular	Explotaciones con formación universitaria del titular	Explotaciones con formación profesional del titular	Explotaciones con otra formación agrícola del titular
1999	Aragón	80021	74544	1095	1322	81	2979	73148	943	2811	3119
1989	Aragón	100731	97472	749	1709	43	758	97642	1237	756	1096
