Municipio código	Municipio nombre	Explotaciones	Formación jefe explotación
22001	Abiego	6	Estudios profesionales agrarios
22001	Abiego	1	Estudios universitarios agrarios
22001	Abiego	43	Experiencia agraria exclusivamente
22001	Abiego	3	Otra formación agraria o cursos agrarios
22002	Abizanda	3	Estudios profesionales agrarios
22002	Abizanda	3	Estudios universitarios agrarios
22002	Abizanda	18	Experiencia agraria exclusivamente
22002	Abizanda	3	Otra formación agraria o cursos agrarios
22003	Adahuesca	9	Estudios profesionales agrarios
22003	Adahuesca	4	Estudios universitarios agrarios
22003	Adahuesca	37	Experiencia agraria exclusivamente
22003	Adahuesca	6	Otra formación agraria o cursos agrarios
22004	Agüero	5	Estudios profesionales agrarios
22004	Agüero	19	Experiencia agraria exclusivamente
22004	Agüero	2	Otra formación agraria o cursos agrarios
22006	Aísa	16	Experiencia agraria exclusivamente
22006	Aísa	4	Otra formación agraria o cursos agrarios
22007	Albalate de Cinca	13	Estudios profesionales agrarios
22007	Albalate de Cinca	2	Estudios universitarios agrarios
22007	Albalate de Cinca	114	Experiencia agraria exclusivamente
22007	Albalate de Cinca	25	Otra formación agraria o cursos agrarios
22008	Albalatillo	2	Estudios profesionales agrarios
22008	Albalatillo	1	Estudios universitarios agrarios
22008	Albalatillo	13	Experiencia agraria exclusivamente
22008	Albalatillo	1	Otra formación agraria o cursos agrarios
22009	Albelda	31	Estudios profesionales agrarios
22009	Albelda	3	Estudios universitarios agrarios
22009	Albelda	184	Experiencia agraria exclusivamente
22009	Albelda	41	Otra formación agraria o cursos agrarios
22011	Albero Alto	6	Estudios profesionales agrarios
22011	Albero Alto	13	Experiencia agraria exclusivamente
22011	Albero Alto	2	Otra formación agraria o cursos agrarios
22012	Albero Bajo	8	Estudios profesionales agrarios
22012	Albero Bajo	1	Estudios universitarios agrarios
22012	Albero Bajo	21	Experiencia agraria exclusivamente
22012	Albero Bajo	2	Otra formación agraria o cursos agrarios
22013	Alberuela de Tubo	6	Estudios profesionales agrarios
22013	Alberuela de Tubo	1	Estudios universitarios agrarios
22013	Alberuela de Tubo	25	Experiencia agraria exclusivamente
22013	Alberuela de Tubo	9	Otra formación agraria o cursos agrarios
22014	Alcalá de Gurrea	3	Estudios profesionales agrarios
22014	Alcalá de Gurrea	5	Estudios universitarios agrarios
22014	Alcalá de Gurrea	34	Experiencia agraria exclusivamente
22014	Alcalá de Gurrea	2	Otra formación agraria o cursos agrarios
22015	Alcalá del Obispo	2	Estudios profesionales agrarios
22015	Alcalá del Obispo	70	Experiencia agraria exclusivamente
22015	Alcalá del Obispo	8	Otra formación agraria o cursos agrarios
22016	Alcampell	10	Estudios profesionales agrarios
22016	Alcampell	3	Estudios universitarios agrarios
22016	Alcampell	157	Experiencia agraria exclusivamente
22016	Alcampell	25	Otra formación agraria o cursos agrarios
22017	Alcolea de Cinca	14	Estudios profesionales agrarios
22017	Alcolea de Cinca	6	Estudios universitarios agrarios
22017	Alcolea de Cinca	113	Experiencia agraria exclusivamente
22017	Alcolea de Cinca	31	Otra formación agraria o cursos agrarios
22018	Alcubierre	6	Estudios profesionales agrarios
22018	Alcubierre	57	Experiencia agraria exclusivamente
22018	Alcubierre	16	Otra formación agraria o cursos agrarios
22019	Alerre	3	Estudios profesionales agrarios
22019	Alerre	3	Estudios universitarios agrarios
22019	Alerre	8	Experiencia agraria exclusivamente
22020	Alfántega	1	Estudios profesionales agrarios
22020	Alfántega	1	Estudios universitarios agrarios
22020	Alfántega	17	Experiencia agraria exclusivamente
22020	Alfántega	4	Otra formación agraria o cursos agrarios
22021	Almudévar	19	Estudios profesionales agrarios
22021	Almudévar	11	Estudios universitarios agrarios
22021	Almudévar	258	Experiencia agraria exclusivamente
22021	Almudévar	43	Otra formación agraria o cursos agrarios
22022	Almunia de San Juan	9	Estudios profesionales agrarios
22022	Almunia de San Juan	3	Estudios universitarios agrarios
22022	Almunia de San Juan	58	Experiencia agraria exclusivamente
22022	Almunia de San Juan	7	Otra formación agraria o cursos agrarios
22023	Almuniente	11	Estudios profesionales agrarios
22023	Almuniente	1	Estudios universitarios agrarios
22023	Almuniente	85	Experiencia agraria exclusivamente
22023	Almuniente	10	Otra formación agraria o cursos agrarios
22024	Alquézar	5	Estudios profesionales agrarios
22024	Alquézar	48	Experiencia agraria exclusivamente
22024	Alquézar	2	Otra formación agraria o cursos agrarios
22025	Altorricón	16	Estudios profesionales agrarios
22025	Altorricón	4	Estudios universitarios agrarios
22025	Altorricón	133	Experiencia agraria exclusivamente
22025	Altorricón	27	Otra formación agraria o cursos agrarios
22027	Angüés	7	Estudios profesionales agrarios
22027	Angüés	2	Estudios universitarios agrarios
22027	Angüés	50	Experiencia agraria exclusivamente
22027	Angüés	6	Otra formación agraria o cursos agrarios
22028	Ansó	1	Estudios universitarios agrarios
22028	Ansó	16	Experiencia agraria exclusivamente
22028	Ansó	8	Otra formación agraria o cursos agrarios
22029	Antillón	2	Estudios profesionales agrarios
