Provincia código	Provincia nombre	Año	Votos	Siglas
22	Huesca	2007	54128	PSOE
22	Huesca	2007	35694	PP
22	Huesca	2007	15560	PAR
22	Huesca	2007	9151	CHA
22	Huesca	2007	3813	IU
22	Huesca	2007	967	LV-FIA
22	Huesca	2007	238	PFyV
22	Huesca	2011	44320	PP
22	Huesca	2011	40209	PSOE
22	Huesca	2011	14587	PAR
22	Huesca	2011	7430	CHA
22	Huesca	2011	5655	IU
22	Huesca	2011	1530	UPyD
22	Huesca	2011	1266	VERDES ECOLO
22	Huesca	2011	137	COMPROMISO CON ARAGON
22	Huesca	2011	398	PACMA
22	Huesca	2011	159	F.I.A.
22	Huesca	2011	78	TA
22	Huesca	2011	127	UCE
22	Huesca	2011	96	CDL
22	Huesca	2015	30135	PP
22	Huesca	2015	30374	PSOE
22	Huesca	2015	21387	PODEMOS
22	Huesca	2015	9656	C's
22	Huesca	2015	10538	PAR
22	Huesca	2015	3573	CHA
22	Huesca	2015	3802	IU
22	Huesca	2015	635	UPyD
22	Huesca	2015	623	EB
22	Huesca	2015	647	PACMA
22	Huesca	2015	136	COMPROMISO CON ARAGON
22	Huesca	2015	438	EQUO
22	Huesca	2015	147	RECORTES CERO
22	Huesca	2015	72	FIA
22	Huesca	2015	61	BAR
22	Huesca	2015	121	PCPE
44	Teruel	2007	30337	PSOE
44	Teruel	2007	26072	PP
44	Teruel	2007	16067	PAR
44	Teruel	2007	4959	CHA
44	Teruel	2007	4184	IU
44	Teruel	2007	257	LV-FIA
44	Teruel	2007	591	pCUA
44	Teruel	2007	83	PFyV
44	Teruel	2011	29685	PP
44	Teruel	2011	21967	PSOE
44	Teruel	2011	13264	PAR
44	Teruel	2011	4059	CHA
44	Teruel	2011	5236	IU
44	Teruel	2011	792	UPyD
44	Teruel	2011	341	VERDES ECOLO
44	Teruel	2011	2389	COMPROMISO CON ARAGON
44	Teruel	2011	204	PACMA
44	Teruel	2011	75	F.I.A.
44	Teruel	2011	54	TA
44	Teruel	2011	78	UCE
44	Teruel	2015	20653	PP
44	Teruel	2015	16493	PSOE
44	Teruel	2015	12065	PODEMOS
44	Teruel	2015	5402	C's
44	Teruel	2015	10311	PAR
44	Teruel	2015	2575	CHA
44	Teruel	2015	3479	IU
44	Teruel	2015	281	EB
44	Teruel	2015	353	PACMA
44	Teruel	2015	1418	COMPROMISO CON ARAGON
44	Teruel	2015	120	RECORTES CERO
44	Teruel	2015	80	FIA
50	Zaragoza	2007	191962	PSOE
50	Zaragoza	2007	146882	PP
50	Zaragoza	2007	49508	PAR
50	Zaragoza	2007	40642	CHA
50	Zaragoza	2007	19450	IU
50	Zaragoza	2007	3221	LV-FIA
50	Zaragoza	2007	1872	pCUA
50	Zaragoza	2007	784	PFyV
50	Zaragoza	2007	577	PH
50	Zaragoza	2011	195724	PP
50	Zaragoza	2011	135013	PSOE
50	Zaragoza	2011	34342	PAR
50	Zaragoza	2011	44443	CHA
50	Zaragoza	2011	30983	IU
50	Zaragoza	2011	13345	UPyD
50	Zaragoza	2011	3014	VERDES ECOLO
50	Zaragoza	2011	1245	COMPROMISO CON ARAGON
50	Zaragoza	2011	1591	PACMA
50	Zaragoza	2011	746	F.I.A.
50	Zaragoza	2011	698	TA
50	Zaragoza	2011	398	UCE
50	Zaragoza	2011	573	pCUA
50	Zaragoza	2011	525	PFyV
50	Zaragoza	2011	386	CDL
50	Zaragoza	2011	440	PH
50	Zaragoza	2011	249	L'VIA
50	Zaragoza	2015	132866	PP
50	Zaragoza	2015	96229	PSOE
50	Zaragoza	2015	103873	PODEMOS
50	Zaragoza	2015	47849	C's
50	Zaragoza	2015	24997	PAR
50	Zaragoza	2015	24470	CHA
50	Zaragoza	2015	20903	IU
50	Zaragoza	2015	5073	UPyD
50	Zaragoza	2015	4419	EB
50	Zaragoza	2015	3946	PACMA
50	Zaragoza	2015	1290	COMPROMISO CON ARAGON
50	Zaragoza	2015	818	EQUO
50	Zaragoza	2015	815	RECORTES CERO
50	Zaragoza	2015	496	FIA
50	Zaragoza	2015	520	BAR
50	Zaragoza	2015	495	PCPE
