Provincia código	Provincia nombre	Vehículos en el hogar	Número hogares
22	Huesca	0	18780
22	Huesca	1	34267
22	Huesca	2	16684
22	Huesca	3 o más	4055
44	Teruel	0	16401
44	Teruel	1	21294
44	Teruel	2	10998
44	Teruel	3 o más	2377
50	Zaragoza	0	111183
50	Zaragoza	1	152127
50	Zaragoza	2	47029
50	Zaragoza	3 o más	8048
