Comarca codigo	Comarca nombre	Especie ganadería 	Subespecie ganadería	Explotaciones ganadería
01	La Jacetania	Aves	Gallinas ponedoras	67
01	La Jacetania	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	8
01	La Jacetania	Aves	Pollos de carne	29
01	La Jacetania	Bovinos	Bovinos de entre uno y dos años	45
01	La Jacetania	Bovinos	Bovinos de menos de un año	55
01	La Jacetania	Bovinos	Otros bovinos de dos años o más	55
01	La Jacetania	Bovinos	Vacas	62
01	La Jacetania	Caprinos	Cabras madres y chivas de reposición	62
01	La Jacetania	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	56
01	La Jacetania	Colmenas	Colmenas	4
01	La Jacetania	Conejas madres	Conejas madres	51
01	La Jacetania	Equinos	Equinos (caballos, mulas y asnos)	12
01	La Jacetania	Otros animales no de compañía	Otros animales no de compañía	5
01	La Jacetania	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	141
01	La Jacetania	Ovinos	Ovejas madres y corderas para reposición	177
01	La Jacetania	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	11
01	La Jacetania	Porcinos	Lechones de menos de 20 kg	9
01	La Jacetania	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	14
02	Alto Gállego	Aves	Gallinas ponedoras	45
02	Alto Gállego	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	7
02	Alto Gállego	Aves	Pollos de carne	18
02	Alto Gállego	Bovinos	Bovinos de entre uno y dos años	67
02	Alto Gállego	Bovinos	Bovinos de menos de un año	73
02	Alto Gállego	Bovinos	Otros bovinos de dos años o más	67
02	Alto Gállego	Bovinos	Vacas	73
02	Alto Gállego	Caprinos	Cabras madres y chivas de reposición	31
02	Alto Gállego	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	24
02	Alto Gállego	Colmenas	Colmenas	5
02	Alto Gállego	Conejas madres	Conejas madres	25
02	Alto Gállego	Equinos	Equinos (caballos, mulas y asnos)	27
02	Alto Gállego	Otros animales no de compañía	Otros animales no de compañía	2
02	Alto Gállego	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	67
02	Alto Gállego	Ovinos	Ovejas madres y corderas para reposición	92
02	Alto Gállego	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	6
02	Alto Gállego	Porcinos	Lechones de menos de 20 kg	6
02	Alto Gállego	Porcinos	Otros porcinos (verracos, cebo y reproductores de desecho)	7
03	Sobrarbe	Aves	Gallinas ponedoras	127
03	Sobrarbe	Aves	Otras aves (pavos, patos, ocas, perdices, codornices, pintadas,...)	20
03	Sobrarbe	Aves	Pollos de carne	58
03	Sobrarbe	Bovinos	Bovinos de entre uno y dos años	140
03	Sobrarbe	Bovinos	Bovinos de menos de un año	197
03	Sobrarbe	Bovinos	Otros bovinos de dos años o más	142
03	Sobrarbe	Bovinos	Vacas	178
03	Sobrarbe	Caprinos	Cabras madres y chivas de reposición	107
03	Sobrarbe	Caprinos	Otros caprinos (cabritos, sementales, machos castrados)	81
03	Sobrarbe	Colmenas	Colmenas	21
03	Sobrarbe	Conejas madres	Conejas madres	87
03	Sobrarbe	Equinos	Equinos (caballos, mulas y asnos)	39
03	Sobrarbe	Otros animales no de compañía	Otros animales no de compañía	4
03	Sobrarbe	Ovinos	Otros ovinos (lechales, recentales, sementales, machos castrados)	157
03	Sobrarbe	Ovinos	Ovejas madres y corderas para reposición	220
03	Sobrarbe	Porcinos	Cerdas madres y cerdas para reposición de 50 kg y más	25
