Municipio código	Municipio nombre	Subespecie ganadería descripción	Especie ganadería descripción	Subespecie ganadería código	Especie ganadería código	Número de cabezas
22001	Abiego	Cabras madres y chivas de reposición	Caprinos	31	3	4
22001	Abiego	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	700
22001	Abiego	Conejas madres	Conejas madres	71	7	2
22001	Abiego	Gallinas ponedoras	Aves	61	6	10
22001	Abiego	Lechones de menos de 20 kg	Porcinos	52	5	750
22001	Abiego	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	46
22001	Abiego	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3822
22001	Abiego	Ovejas madres y corderas para reposición	Ovinos	21	2	2397
22002	Abizanda	Bovinos de entre uno y dos años	Bovinos	13	1	8
22002	Abizanda	Bovinos de menos de un año	Bovinos	14	1	138
22002	Abizanda	Cabras madres y chivas de reposición	Caprinos	31	3	1
22002	Abizanda	Colmenas	Colmenas	81	8	225
22002	Abizanda	Gallinas ponedoras	Aves	61	6	23
22002	Abizanda	Otros bovinos de dos años o más	Bovinos	12	1	1
22002	Abizanda	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	344
22002	Abizanda	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	3150
22002	Abizanda	Ovejas madres y corderas para reposición	Ovinos	21	2	2385
22002	Abizanda	Vacas	Bovinos	11	1	15
22003	Adahuesca	Bovinos de entre uno y dos años	Bovinos	13	1	687
22003	Adahuesca	Bovinos de menos de un año	Bovinos	14	1	1499
22003	Adahuesca	Cabras madres y chivas de reposición	Caprinos	31	3	17
22003	Adahuesca	Cerdas madres y cerdas para reposición de 50 kg y más	Porcinos	51	5	737
22003	Adahuesca	Lechones de menos de 20 kg	Porcinos	52	5	2423
22003	Adahuesca	Otros bovinos de dos años o más	Bovinos	12	1	36
22003	Adahuesca	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	1
22003	Adahuesca	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	59
22003	Adahuesca	Otros porcinos (verracos, cebo y reproductores de desecho)	Porcinos	53	5	2405
22003	Adahuesca	Ovejas madres y corderas para reposición	Ovinos	21	2	4718
22003	Adahuesca	Vacas	Bovinos	11	1	232
22004	Agüero	Cabras madres y chivas de reposición	Caprinos	31	3	15
22004	Agüero	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	6
22004	Agüero	Ovejas madres y corderas para reposición	Ovinos	21	2	324
22006	Aísa	Bovinos de entre uno y dos años	Bovinos	13	1	112
22006	Aísa	Bovinos de menos de un año	Bovinos	14	1	67
22006	Aísa	Cabras madres y chivas de reposición	Caprinos	31	3	40
22006	Aísa	Conejas madres	Conejas madres	71	7	1
22006	Aísa	Gallinas ponedoras	Aves	61	6	6
22006	Aísa	Otros bovinos de dos años o más	Bovinos	12	1	18
22006	Aísa	Otros caprinos (cabritos, sementales, machos castrados)	Caprinos	32	3	3
22006	Aísa	Otros ovinos (lechales, recentales, sementales, machos castrados)	Ovinos	22	2	181
22006	Aísa	Ovejas madres y corderas para reposición	Ovinos	21	2	2657
22006	Aísa	Vacas	Bovinos	11	1	191
