Mes y año	Mes (código)	Sexo	Edad (grupos quinquenales)	Número de contratos	CCAA nombre
Noviembre 2020	202011	Hombres	16-19	829	Aragón
Noviembre 2020	202011	Mujeres	16-19	414	Aragón
Noviembre 2020	202011	Hombres	20-24	3445	Aragón
Noviembre 2020	202011	Mujeres	20-24	2302	Aragón
Noviembre 2020	202011	Hombres	25-29	3144	Aragón
Noviembre 2020	202011	Mujeres	25-29	2603	Aragón
Noviembre 2020	202011	Hombres	30-34	2668	Aragón
Noviembre 2020	202011	Mujeres	30-34	2218	Aragón
Noviembre 2020	202011	Hombres	35-39	2454	Aragón
Noviembre 2020	202011	Mujeres	35-39	1920	Aragón
Noviembre 2020	202011	Hombres	40-44	2754	Aragón
Noviembre 2020	202011	Mujeres	40-44	2281	Aragón
Noviembre 2020	202011	Hombres	45-49	2282	Aragón
Noviembre 2020	202011	Mujeres	45-49	2156	Aragón
Noviembre 2020	202011	Hombres	50-54	1575	Aragón
Noviembre 2020	202011	Mujeres	50-54	1647	Aragón
Noviembre 2020	202011	Hombres	55-59	985	Aragón
Noviembre 2020	202011	Mujeres	55-59	948	Aragón
Noviembre 2020	202011	Hombres	60-64	472	Aragón
Noviembre 2020	202011	Mujeres	60-64	356	Aragón
Noviembre 2020	202011	Hombres	Más de 64	37	Aragón
Noviembre 2020	202011	Mujeres	Más de 64	42	Aragón
Octubre 2020	202010	Hombres	16-19	936	Aragón
Octubre 2020	202010	Mujeres	16-19	548	Aragón
Octubre 2020	202010	Hombres	20-24	4079	Aragón
Octubre 2020	202010	Mujeres	20-24	3192	Aragón
Octubre 2020	202010	Hombres	25-29	3652	Aragón
Octubre 2020	202010	Mujeres	25-29	3168	Aragón
Octubre 2020	202010	Hombres	30-34	3041	Aragón
Octubre 2020	202010	Mujeres	30-34	2577	Aragón
Octubre 2020	202010	Hombres	35-39	2780	Aragón
Octubre 2020	202010	Mujeres	35-39	2296	Aragón
Octubre 2020	202010	Hombres	40-44	2940	Aragón
Octubre 2020	202010	Mujeres	40-44	2592	Aragón
Octubre 2020	202010	Hombres	45-49	2543	Aragón
Octubre 2020	202010	Mujeres	45-49	2579	Aragón
Octubre 2020	202010	Hombres	50-54	1790	Aragón
Octubre 2020	202010	Mujeres	50-54	1800	Aragón
Octubre 2020	202010	Hombres	55-59	1106	Aragón
Octubre 2020	202010	Mujeres	55-59	1133	Aragón
Octubre 2020	202010	Hombres	60-64	492	Aragón
Octubre 2020	202010	Mujeres	60-64	382	Aragón
Octubre 2020	202010	Hombres	Más de 64	53	Aragón
Octubre 2020	202010	Mujeres	Más de 64	43	Aragón
Septiembre 2020	202009	Hombres	16-19	1193	Aragón
Septiembre 2020	202009	Mujeres	16-19	634	Aragón
Septiembre 2020	202009	Hombres	20-24	4463	Aragón
Septiembre 2020	202009	Mujeres	20-24	3253	Aragón
Septiembre 2020	202009	Hombres	25-29	3944	Aragón
Septiembre 2020	202009	Mujeres	25-29	3379	Aragón
Septiembre 2020	202009	Hombres	30-34	3185	Aragón
Septiembre 2020	202009	Mujeres	30-34	2676	Aragón
Septiembre 2020	202009	Hombres	35-39	3075	Aragón
Septiembre 2020	202009	Mujeres	35-39	2593	Aragón
Septiembre 2020	202009	Hombres	40-44	3370	Aragón
Septiembre 2020	202009	Mujeres	40-44	2797	Aragón
Septiembre 2020	202009	Hombres	45-49	2929	Aragón
Septiembre 2020	202009	Mujeres	45-49	2736	Aragón
Septiembre 2020	202009	Hombres	50-54	2098	Aragón
Septiembre 2020	202009	Mujeres	50-54	2047	Aragón
Septiembre 2020	202009	Hombres	55-59	1229	Aragón
Septiembre 2020	202009	Mujeres	55-59	1136	Aragón
Septiembre 2020	202009	Hombres	60-64	647	Aragón
Septiembre 2020	202009	Mujeres	60-64	439	Aragón
Septiembre 2020	202009	Hombres	Más de 64	62	Aragón
