Municipio código	Municipio nombre	Año de construcción	Número de edificios
22001	Abiego	 Antes de 1900	4
22001	Abiego	1941 - 1950	3
22001	Abiego	1951 - 1960	24
22001	Abiego	1961 - 1970	28
22001	Abiego	1971 - 1980	72
22001	Abiego	1981 - 1990	44
22001	Abiego	1991	1
22001	Abiego	1992	1
22001	Abiego	1994	2
22001	Abiego	1996	1
22001	Abiego	1999	1
22001	Abiego	2000	3
22001	Abiego	2001	2
22002	Abizanda	 Antes de 1900	87
22002	Abizanda	1971 - 1980	1
22002	Abizanda	2000	1
22003	Adahuesca	 Antes de 1900	2
22003	Adahuesca	1900 - 1920	8
22003	Adahuesca	1921 - 1940	22
22003	Adahuesca	1941 - 1950	7
22003	Adahuesca	1951 - 1960	9
22003	Adahuesca	1961 - 1970	8
22003	Adahuesca	1971 - 1980	25
22003	Adahuesca	1981 - 1990	32
22003	Adahuesca	1991	1
22003	Adahuesca	1993	1
22003	Adahuesca	1995	1
22004	Agüero	 Antes de 1900	79
22004	Agüero	1900 - 1920	5
22004	Agüero	1921 - 1940	7
22004	Agüero	1941 - 1950	4
22004	Agüero	1951 - 1960	4
22004	Agüero	1961 - 1970	21
22004	Agüero	1971 - 1980	32
22004	Agüero	1981 - 1990	40
22004	Agüero	1992	2
22004	Agüero	1993	2
22004	Agüero	1994	3
22004	Agüero	1995	3
22004	Agüero	1996	1
22004	Agüero	1998	2
22004	Agüero	1999	3
22004	Agüero	2000	3
22004	Agüero	2001	2
22006	Aísa	 Antes de 1900	76
22006	Aísa	1900 - 1920	1
22006	Aísa	1921 - 1940	1
22006	Aísa	1941 - 1950	1
22006	Aísa	1951 - 1960	7
22006	Aísa	1961 - 1970	12
22006	Aísa	1971 - 1980	39
22006	Aísa	1981 - 1990	40
22006	Aísa	1991	1
22006	Aísa	1992	1
22006	Aísa	1993	4
22006	Aísa	1994	3
22006	Aísa	1995	1
22006	Aísa	1996	1
22006	Aísa	1997	4
22006	Aísa	1998	3
22006	Aísa	1999	4
22006	Aísa	2000	3
22006	Aísa	2001	6
22007	Albalate de Cinca	 Antes de 1900	13
22007	Albalate de Cinca	1900 - 1920	7
22007	Albalate de Cinca	1921 - 1940	23
22007	Albalate de Cinca	1941 - 1950	43
22007	Albalate de Cinca	1951 - 1960	89
22007	Albalate de Cinca	1961 - 1970	96
22007	Albalate de Cinca	1971 - 1980	45
22007	Albalate de Cinca	1981 - 1990	39
22007	Albalate de Cinca	1991	9
22007	Albalate de Cinca	1992	4
22007	Albalate de Cinca	1993	4
22007	Albalate de Cinca	1994	4
22007	Albalate de Cinca	1995	3
22007	Albalate de Cinca	1996	3
22007	Albalate de Cinca	1997	7
22007	Albalate de Cinca	1998	11
22007	Albalate de Cinca	1999	1
22007	Albalate de Cinca	2000	3
22007	Albalate de Cinca	2001	6
22008	Albalatillo	 Antes de 1900	26
22008	Albalatillo	1900 - 1920	32
22008	Albalatillo	1921 - 1940	12
22008	Albalatillo	1941 - 1950	13
22008	Albalatillo	1951 - 1960	5
22008	Albalatillo	1961 - 1970	4
22008	Albalatillo	1971 - 1980	19
22008	Albalatillo	1981 - 1990	11
22008	Albalatillo	1994	1
22008	Albalatillo	1999	2
22008	Albalatillo	2001	1
22009	Albelda	 Antes de 1900	19
22009	Albelda	1900 - 1920	58
22009	Albelda	1921 - 1940	86
22009	Albelda	1941 - 1950	74
22009	Albelda	1951 - 1960	29
22009	Albelda	1961 - 1970	35
22009	Albelda	1971 - 1980	36
22009	Albelda	1981 - 1990	67
22009	Albelda	1992	1
22009	Albelda	1993	1
22009	Albelda	1994	4
22009	Albelda	1995	1
22009	Albelda	1996	2
22009	Albelda	1997	2
22009	Albelda	1998	2
22009	Albelda	1999	3
22009	Albelda	2000	10
22009	Albelda	2001	5
22011	Albero Alto	 Antes de 1900	39
22011	Albero Alto	1900 - 1920	4
22011	Albero Alto	1921 - 1940	2
22011	Albero Alto	1941 - 1950	1
22011	Albero Alto	1951 - 1960	2
22011	Albero Alto	1961 - 1970	1
22011	Albero Alto	1971 - 1980	1
22012	Albero Bajo	 Antes de 1900	22
22012	Albero Bajo	1900 - 1920	5
22012	Albero Bajo	1921 - 1940	1
22012	Albero Bajo	1941 - 1950	1
22012	Albero Bajo	1951 - 1960	2
22012	Albero Bajo	1961 - 1970	4
22012	Albero Bajo	1971 - 1980	4
22012	Albero Bajo	1981 - 1990	3
22012	Albero Bajo	1991	1
22012	Albero Bajo	1995	1
22013	Alberuela de Tubo	1921 - 1940	14
22013	Alberuela de Tubo	1941 - 1950	3
22013	Alberuela de Tubo	1951 - 1960	81
22013	Alberuela de Tubo	1961 - 1970	2
22013	Alberuela de Tubo	1971 - 1980	7
22013	Alberuela de Tubo	1981 - 1990	13
22013	Alberuela de Tubo	1991	1
22013	Alberuela de Tubo	1993	1
22013	Alberuela de Tubo	1994	1
22013	Alberuela de Tubo	1995	1
22013	Alberuela de Tubo	1996	4
22013	Alberuela de Tubo	1997	2
22013	Alberuela de Tubo	1998	2
22013	Alberuela de Tubo	2000	3
22013	Alberuela de Tubo	2001	1
22014	Alcalá de Gurrea	 Antes de 1900	29
22014	Alcalá de Gurrea	1900 - 1920	56
22014	Alcalá de Gurrea	1921 - 1940	64
22014	Alcalá de Gurrea	1941 - 1950	24
22014	Alcalá de Gurrea	1951 - 1960	12
22014	Alcalá de Gurrea	1961 - 1970	8
22014	Alcalá de Gurrea	1971 - 1980	12
22014	Alcalá de Gurrea	1981 - 1990	8
22014	Alcalá de Gurrea	1996	1
22014	Alcalá de Gurrea	1999	1
22014	Alcalá de Gurrea	2001	1
22015	Alcalá del Obispo	 Antes de 1900	92
22015	Alcalá del Obispo	1900 - 1920	13
22015	Alcalá del Obispo	1921 - 1940	8
22015	Alcalá del Obispo	1941 - 1950	4
22015	Alcalá del Obispo	1951 - 1960	27
22015	Alcalá del Obispo	1961 - 1970	15
22015	Alcalá del Obispo	1971 - 1980	42
22015	Alcalá del Obispo	1981 - 1990	29
22015	Alcalá del Obispo	1991	2
22015	Alcalá del Obispo	1992	1
22015	Alcalá del Obispo	1993	4
22015	Alcalá del Obispo	1994	3
22015	Alcalá del Obispo	1995	3
22015	Alcalá del Obispo	1996	2
22015	Alcalá del Obispo	1997	7
22015	Alcalá del Obispo	1998	1
22015	Alcalá del Obispo	1999	2
