Año	CCAA nombre	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuya gestión se lleva por el titular de la misma	Explotaciones cuya gestión se lleva por un miembro de la familia, no titular	Explotaciones cuya gestión se lleva por otra persona
1999	Aragón	80021	74544	70308	4002	234
1989	Aragón	100731	97472	94028	3148	296
