Año	Comarca código	Comarca nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	01	La Jacetania	4310700	0	0	363278	3077922	13000	0	856500	0	0	Presupuestos	Consolidada
2004	02	Alto Gállego	3781061,8	0	0	255002,1	2926292,6	3000	0	596767,1	0	0	Presupuestos	Consolidada
2004	03	Sobrarbe	4010662,4	0	0	121515,1	2401960,4	17000	0	1470186,9	0	0	Presupuestos	Consolidada
2004	04	La Ribagorza	3847186	0	0	144000	3701986	1200	0	0	0	0	Presupuestos	Consolidada
2004	05	Cinco Villas	5303557	0	0	369700	3595067	300	0	1338490	0	0	Presupuestos	Consolidada
2004	06	Hoya de Huesca / Plana de Uesca	6719772,8	0	0	516062	4231564,2	6000	0	971189	994957,5	0	Presupuestos	Consolidada
2004	07	Somontano de Barbastro	4487844,3	0	0	291815,2	3145458,5	12865,8	0	1037704,8	0	0	Presupuestos	Consolidada
2004	08	Cinca Medio	3803800	0	0	132800	3122850	600	0	547550	0	0	Presupuestos	Consolidada
2004	09	La Litera / La Llitera	4239193,5	0	0	1445641	2282468	500	0	510584,5	0	0	Presupuestos	Consolidada
2004	10	Los Monegros	5968265	0	0	1000495	3760745,4	0	0	1207024,6	0	0	Presupuestos	Consolidada
2004	11	Bajo Cinca / Baix Cinca											Presupuestos	Sin información
2004	12	Tarazona y el Moncayo	3055900	0	0	60000	2538700	22000	0	435200	0	0	Presupuestos	Consolidada
2004	13	Campo de Borja	3904239,6	0	0	534016,1	1518318	30030,4	0	1821875	0	0	Presupuestos	Consolidada
2004	14	Aranda											Presupuestos	Sin información
2004	15	Ribera Alta del Ebro	3671393,5	0	0	16469	2677489,1	46795,5	0	930639,9	0	0	Presupuestos	Consolidada
2004	16	Valdejalón	1097982,6	0	0	103283,6	661953,6	150,3	0	87595,1	0	245000	Presupuestos	Consolidada
2004	18	Ribera Baja del Ebro	2664039,1	0	0	28215,4	1938838,1	9015,2	0	687970,5	0	0	Presupuestos	Consolidada
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp											Presupuestos	Sin información
2004	20	Comunidad de Calatayud	4368396	0	0	7302	3104677	24648	0	1225769	6000	0	Presupuestos	Consolidada
2004	21	Campo de Cariñena	4142015,1	0	0	2500	1521622,2	6000	0	1411893	0	1200000	Presupuestos	Consolidada
2004	22	Campo de Belchite	1606115	0	0	0	1153958	0	0	452157	0	0	Presupuestos	Consolidada
2004	23	Bajo Martín	1824760,7	0	0	0	1402312,8	8000	0	414448	0	0	Presupuestos	Consolidada
2004	24	Campo de Daroca											Presupuestos	Sin información
2004	25	Jiloca	3915850,8	0	0	7558	2617631,6	6000	400	1284261,3	0	0	Presupuestos	Consolidada
2004	26	Cuencas Mineras	2587477,5	0	0	8000	2023364,8	2000	0	554112,7	0	0	Presupuestos	Consolidada
2004	27	Andorra-Sierra de Arcos	2397050	0	0	171043,2	1670935,5	3000	0	552071,3	0	0	Presupuestos	Consolidada
2004	28	Bajo Aragón	3655607,3	0	0	133000	3212101,3	10000	0	300506,1	0	0	Presupuestos	Consolidada
2004	29	Comunidad de Teruel	3643138,1	0	0	0	2986119	5008	0	652011,1	0	0	Presupuestos	Consolidada
2004	30	Maestrazgo	2001043	0	0	67920	1383078,8	4241	0	545803,2	0	0	Presupuestos	Consolidada
2004	31	Sierra de Albarracín	3163420,6	0	0	18000	1629764,3	10000	0	1505656,3	0	0	Presupuestos	Consolidada
2004	32	Gúdar-Javalambre	1969727,1	0	0	600	1452383,9	12000	0	504743,2	0	0	Presupuestos	Consolidada
