Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
22017	Alcolea de Cinca	2007	1	PSOE	2
22017	Alcolea de Cinca	2007	2	PP	1
22017	Alcolea de Cinca	2007	3	PAR	6
22017	Alcolea de Cinca	2007	4	CHA	0
22017	Alcolea de Cinca	2007	5	IU	0
22017	Alcolea de Cinca	2011	1	PP	1
22017	Alcolea de Cinca	2011	2	PSOE	2
22017	Alcolea de Cinca	2011	3	PAR	6
22017	Alcolea de Cinca	2011	5	IU	0
22017	Alcolea de Cinca	2015	1	PP	2
22017	Alcolea de Cinca	2015	2	PSOE	2
22017	Alcolea de Cinca	2015	4	PAR	4
22017	Alcolea de Cinca	2015	15	CAMBIAR	1
22018	Alcubierre	2007	1	PSOE	4
22018	Alcubierre	2007	3	PAR	3
22018	Alcubierre	2011	2	PSOE	4
22018	Alcubierre	2011	3	PAR	3
22018	Alcubierre	2015	2	PSOE	4
22018	Alcubierre	2015	4	PAR	3
22019	Alerre	2007	1	PSOE	3
22019	Alerre	2007	2	PP	0
22019	Alerre	2007	3	PAR	2
22019	Alerre	2007	4	CHA	0
22019	Alerre	2011	1	PP	0
22019	Alerre	2011	2	PSOE	4
22019	Alerre	2011	3	PAR	1
22019	Alerre	2015	1	PP	0
22019	Alerre	2015	2	PSOE	4
22019	Alerre	2015	4	PAR	1
22020	Alfántega	2007	1	PSOE	1
22020	Alfántega	2007	2	PP	1
22020	Alfántega	2007	3	PAR	3
22020	Alfántega	2007	4	CHA	0
22020	Alfántega	2011	1	PP	0
22020	Alfántega	2011	2	PSOE	1
22020	Alfántega	2011	3	PAR	4
22020	Alfántega	2011	4	CHA	0
22020	Alfántega	2015	1	PP	0
22020	Alfántega	2015	2	PSOE	2
22020	Alfántega	2015	4	PAR	3
22021	Almudévar	2007	1	PSOE	6
22021	Almudévar	2007	2	PP	2
22021	Almudévar	2007	3	PAR	2
22021	Almudévar	2007	4	CHA	1
22021	Almudévar	2011	1	PP	3
22021	Almudévar	2011	2	PSOE	5
22021	Almudévar	2011	3	PAR	1
22021	Almudévar	2011	4	CHA	2
22021	Almudévar	2015	1	PP	5
22021	Almudévar	2015	2	PSOE	5
22021	Almudévar	2015	7	CHA	1
22022	Almunia de San Juan	2007	1	PSOE	5
22022	Almunia de San Juan	2007	2	PP	1
22022	Almunia de San Juan	2007	3	PAR	1
22022	Almunia de San Juan	2011	1	PP	2
22022	Almunia de San Juan	2011	2	PSOE	4
22022	Almunia de San Juan	2011	3	PAR	1
22022	Almunia de San Juan	2015	1	PP	2
22022	Almunia de San Juan	2015	2	PSOE	5
22022	Almunia de San Juan	2015	4	PAR	0
22022	Almunia de San Juan	2015	7	CHA	0
22023	Almuniente	2007	1	PSOE	4
22023	Almuniente	2007	2	PP	2
22023	Almuniente	2007	3	PAR	1
22023	Almuniente	2011	1	PP	2
22023	Almuniente	2011	2	PSOE	4
22023	Almuniente	2011	3	PAR	1
22023	Almuniente	2015	1	PP	3
22023	Almuniente	2015	2	PSOE	4
22024	Alquézar	2007	1	PSOE	3
22024	Alquézar	2007	3	PAR	3
22024	Alquézar	2007	13	LV-GV	1
22024	Alquézar	2011	1	PP	1
22024	Alquézar	2011	2	PSOE	5
22024	Alquézar	2011	3	PAR	1
22024	Alquézar	2015	1	PP	1
22024	Alquézar	2015	2	PSOE	6
22024	Alquézar	2015	4	PAR	0
22025	Altorricón	2007	1	PSOE	6
22025	Altorricón	2007	2	PP	2
22025	Altorricón	2007	3	PAR	1
22025	Altorricón	2011	1	PP	3
22025	Altorricón	2011	2	PSOE	6
22025	Altorricón	2011	3	PAR	0
22025	Altorricón	2015	1	PP	3
22025	Altorricón	2015	2	PSOE	6
22025	Altorricón	2015	4	PAR	0
22027	Angüés	2007	1	PSOE	4
22027	Angüés	2007	2	PP	3
22027	Angüés	2011	2	PSOE	7
22027	Angüés	2015	2	PSOE	7
22028	Ansó	2007	1	PSOE	4
22028	Ansó	2007	3	PAR	3
22028	Ansó	2011	2	PSOE	4
22028	Ansó	2011	3	PAR	3
22028	Ansó	2015	2	PSOE	7
22029	Antillón	2007	1	PSOE	1
