CCAA nombre	CCAA código	Año	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
Aragón	02	2016	981738	699373	282365	17208	20435	661730	71,2382529758449
Aragón	02	2015	986381	727672	258709	23502	34782	669388	73,7718994992807
Aragón	02	2011	1018510	718923	299587	28686	47654	642583	70,5857576263365
Aragón	02	2008	1016420	773865	242555	18908	17006	737951	76,1363412762441
