Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	22001	Abiego	1552,86	12423
2001	22002	Abizanda	477,12	2958
2001	22003	Adahuesca	888,08	7105
2001	22004	Agüero	501,43	2507
2001	22006	Aísa	341,58	1025
2001	22007	Albalate de Cinca	7584,84	49301
2001	22008	Albalatillo	1207,34	7848
2001	22009	Albelda	8997,98	71984
2001	22011	Albero Alto	1162,69	5697
2001	22012	Albero Bajo	1936,85	16657
2001	22013	Alberuela de Tubo	2872,32	21542
2001	22014	Alcalá de Gurrea	4488,68	29176
2001	22015	Alcalá del Obispo	3327,8	9983
2001	22016	Alcampell	4385,23	28504
2001	22017	Alcolea de Cinca	10220,83	81767
2001	22018	Alcubierre	4443,86	26219
2001	22019	Alerre	589,55	3832
2001	22020	Alfántega	1104,45	6074
2001	22021	Almudévar	16206,19	79410
2001	22022	Almunia de San Juan	2352,98	20000
2001	22023	Almuniente	7431,99	39390
2001	22024	Alquézar	603,78	4830
2001	22025	Altorricón	6278,84	48975
2001	22027	Angüés	1950,8	9754
2001	22028	Ansó	801,82	4811
2001	22029	Antillón	930,16	7906
2001	22032	Aragüés del Puerto	228,59	1372
2001	22035	Arén	1258,04	7548
2001	22036	Argavieso	795,81	4377
2001	22037	Arguis	253,58	2155
2001	22039	Ayerbe	2800,89	17366
2001	22040	Azanuy-Alins	965,03	7238
2001	22041	Azara	527,63	1741
2001	22042	Azlor	486,97	1948
2001	22043	Baells	926,95	2781
2001	22044	Bailo	2433,08	15815
2001	22045	Baldellou	440,41	1321
2001	22046	Ballobar	4983,92	26415
2001	22047	Banastás	310,54	1863
2001	22048	Barbastro	8410,85	63081
2001	22049	Barbués	2684,03	11541
2001	22050	Barbuñales	548,24	3838
2001	22051	Bárcabo	877,23	4649
2001	22052	Belver de Cinca	13667,35	64236
2001	22053	Benabarre	3437,2	29560
2001	22054	Benasque	289,65	1303
2001	22055	Berbegal	3116,98	21819
2001	22057	Bielsa	304,78	1524
2001	22058	Bierge	961,67	6251
2001	22059	Biescas	1586,68	7933
2001	22060	Binaced	14901,85	104313
2001	22061	Binéfar	4175,01	16283
2001	22062	Bisaurri	334,49	1338
2001	22063	Biscarrués	1376,57	6883
2001	22064	Blecua y Torres	1664,46	14148
